"Time","{instance=""worker3"", interface=""lxc53e184f941ad""}"
2025-07-07 10:43:30,380 B/s
2025-07-07 10:43:31,388 B/s
2025-07-07 10:43:32,396 B/s
2025-07-07 10:43:33,404 B/s
2025-07-07 10:43:34,469 B/s
2025-07-07 10:43:35,469 B/s
2025-07-07 10:43:36,469 B/s
2025-07-07 10:43:37,469 B/s
2025-07-07 10:43:38,469 B/s
2025-07-07 10:43:39,469 B/s
2025-07-07 10:43:40,469 B/s
2025-07-07 10:43:41,469 B/s
2025-07-07 10:43:42,469 B/s
2025-07-07 10:43:43,405 B/s
2025-07-07 10:43:44,397 B/s
2025-07-07 10:43:45,389 B/s
2025-07-07 10:43:46,381 B/s
2025-07-07 10:43:47,374 B/s
2025-07-07 10:43:48,366 B/s
2025-07-07 10:43:49,468 B/s
2025-07-07 10:43:50,468 B/s
2025-07-07 10:43:51,468 B/s
2025-07-07 10:43:52,468 B/s
2025-07-07 10:43:53,468 B/s
2025-07-07 10:43:54,468 B/s
2025-07-07 10:43:55,468 B/s
2025-07-07 10:43:56,468 B/s
2025-07-07 10:43:57,468 B/s
2025-07-07 10:43:58,468 B/s
2025-07-07 10:43:59,8.82 kB/s
2025-07-07 10:44:00,9.00 kB/s
2025-07-07 10:44:01,9.19 kB/s
2025-07-07 10:44:02,9.37 kB/s
2025-07-07 10:44:03,9.56 kB/s
2025-07-07 10:44:04,11.1 kB/s
2025-07-07 10:44:05,11.1 kB/s
2025-07-07 10:44:06,11.1 kB/s
2025-07-07 10:44:07,11.1 kB/s
2025-07-07 10:44:08,11.1 kB/s
2025-07-07 10:44:09,11.1 kB/s
2025-07-07 10:44:10,11.1 kB/s
2025-07-07 10:44:11,11.1 kB/s
2025-07-07 10:44:12,11.1 kB/s
2025-07-07 10:44:13,9.61 kB/s
2025-07-07 10:44:14,9.43 kB/s
2025-07-07 10:44:15,9.24 kB/s
2025-07-07 10:44:16,9.06 kB/s
2025-07-07 10:44:17,8.87 kB/s
2025-07-07 10:44:18,8.69 kB/s
2025-07-07 10:44:19,11.3 kB/s
2025-07-07 10:44:20,11.3 kB/s
2025-07-07 10:44:21,11.3 kB/s
2025-07-07 10:44:22,11.3 kB/s
2025-07-07 10:44:23,11.3 kB/s
2025-07-07 10:44:24,11.3 kB/s
2025-07-07 10:44:25,11.3 kB/s
2025-07-07 10:44:26,11.3 kB/s
2025-07-07 10:44:27,11.3 kB/s
2025-07-07 10:44:28,11.3 kB/s
2025-07-07 10:44:29,11.1 kB/s
2025-07-07 10:44:30,11.4 kB/s
2025-07-07 10:44:31,11.6 kB/s
2025-07-07 10:44:32,11.8 kB/s
2025-07-07 10:44:33,12.1 kB/s
2025-07-07 10:44:34,14.1 kB/s
2025-07-07 10:44:35,14.1 kB/s
2025-07-07 10:44:36,14.1 kB/s
2025-07-07 10:44:37,14.1 kB/s
2025-07-07 10:44:38,14.1 kB/s
2025-07-07 10:44:39,14.1 kB/s
2025-07-07 10:44:40,14.1 kB/s
2025-07-07 10:44:41,14.1 kB/s
2025-07-07 10:44:42,14.1 kB/s
2025-07-07 10:44:43,12.2 kB/s
2025-07-07 10:44:44,11.9 kB/s
2025-07-07 10:44:45,11.7 kB/s
2025-07-07 10:44:46,11.5 kB/s
2025-07-07 10:44:47,11.2 kB/s
2025-07-07 10:44:48,11.0 kB/s
2025-07-07 10:44:49,2.83 kB/s
2025-07-07 10:44:50,2.83 kB/s
2025-07-07 10:44:51,2.83 kB/s
2025-07-07 10:44:52,2.83 kB/s
2025-07-07 10:44:53,2.83 kB/s
2025-07-07 10:44:54,2.83 kB/s
2025-07-07 10:44:55,2.83 kB/s
2025-07-07 10:44:56,2.83 kB/s
2025-07-07 10:44:57,2.83 kB/s
2025-07-07 10:44:58,2.83 kB/s
2025-07-07 10:44:59,371 B/s
2025-07-07 10:45:00,378 B/s
2025-07-07 10:45:01,386 B/s
2025-07-07 10:45:02,394 B/s
2025-07-07 10:45:03,402 B/s
2025-07-07 10:45:04,469 B/s
2025-07-07 10:45:05,469 B/s
2025-07-07 10:45:06,469 B/s
2025-07-07 10:45:07,469 B/s
2025-07-07 10:45:08,469 B/s
2025-07-07 10:45:09,469 B/s
2025-07-07 10:45:10,469 B/s
2025-07-07 10:45:11,469 B/s
2025-07-07 10:45:12,469 B/s
2025-07-07 10:45:13,469 B/s
2025-07-07 10:45:14,399 B/s
2025-07-07 10:45:15,391 B/s
2025-07-07 10:45:16,383 B/s
2025-07-07 10:45:17,375 B/s
2025-07-07 10:45:18,368 B/s
2025-07-07 10:45:19,470 B/s
2025-07-07 10:45:20,470 B/s
2025-07-07 10:45:21,470 B/s
2025-07-07 10:45:22,470 B/s
2025-07-07 10:45:23,470 B/s
2025-07-07 10:45:24,470 B/s
2025-07-07 10:45:25,470 B/s
2025-07-07 10:45:26,470 B/s
2025-07-07 10:45:27,470 B/s
2025-07-07 10:45:28,470 B/s
2025-07-07 10:45:29,371 B/s
2025-07-07 10:45:30,379 B/s
2025-07-07 10:45:31,387 B/s
2025-07-07 10:45:32,395 B/s
2025-07-07 10:45:33,403 B/s
2025-07-07 10:45:34,471 B/s
2025-07-07 10:45:35,471 B/s
2025-07-07 10:45:36,471 B/s
2025-07-07 10:45:37,471 B/s
2025-07-07 10:45:38,471 B/s
2025-07-07 10:45:39,471 B/s
2025-07-07 10:45:40,471 B/s
2025-07-07 10:45:41,471 B/s
2025-07-07 10:45:42,471 B/s
2025-07-07 10:45:43,471 B/s
2025-07-07 10:45:44,401 B/s
2025-07-07 10:45:45,393 B/s
2025-07-07 10:45:46,385 B/s
2025-07-07 10:45:47,377 B/s
2025-07-07 10:45:48,370 B/s
2025-07-07 10:45:49,482 B/s
2025-07-07 10:45:50,482 B/s
2025-07-07 10:45:51,482 B/s
2025-07-07 10:45:52,482 B/s
2025-07-07 10:45:53,482 B/s
2025-07-07 10:45:54,482 B/s
2025-07-07 10:45:55,482 B/s
2025-07-07 10:45:56,482 B/s
2025-07-07 10:45:57,482 B/s
2025-07-07 10:45:58,482 B/s
2025-07-07 10:45:59,383 B/s
2025-07-07 10:46:00,391 B/s
2025-07-07 10:46:01,399 B/s
2025-07-07 10:46:02,407 B/s
2025-07-07 10:46:03,415 B/s
2025-07-07 10:46:04,486 B/s
2025-07-07 10:46:05,486 B/s
2025-07-07 10:46:06,486 B/s
2025-07-07 10:46:07,486 B/s
2025-07-07 10:46:08,486 B/s
2025-07-07 10:46:09,486 B/s
2025-07-07 10:46:10,486 B/s
2025-07-07 10:46:11,486 B/s
2025-07-07 10:46:12,486 B/s
2025-07-07 10:46:13,486 B/s
2025-07-07 10:46:14,414 B/s
2025-07-07 10:46:15,406 B/s
2025-07-07 10:46:16,398 B/s
2025-07-07 10:46:17,390 B/s
2025-07-07 10:46:18,382 B/s
2025-07-07 10:46:19,482 B/s
2025-07-07 10:46:20,482 B/s
2025-07-07 10:46:21,482 B/s
2025-07-07 10:46:22,482 B/s
2025-07-07 10:46:23,482 B/s
2025-07-07 10:46:24,482 B/s
2025-07-07 10:46:25,482 B/s
2025-07-07 10:46:26,482 B/s
2025-07-07 10:46:27,482 B/s
2025-07-07 10:46:28,482 B/s
2025-07-07 10:46:29,6.55 kB/s
2025-07-07 10:46:30,6.69 kB/s
2025-07-07 10:46:31,6.83 kB/s
2025-07-07 10:46:32,6.96 kB/s
2025-07-07 10:46:33,7.10 kB/s
2025-07-07 10:46:34,8.33 kB/s
2025-07-07 10:46:35,8.33 kB/s
2025-07-07 10:46:36,8.33 kB/s
2025-07-07 10:46:37,8.33 kB/s
2025-07-07 10:46:38,8.33 kB/s
2025-07-07 10:46:39,8.33 kB/s
2025-07-07 10:46:40,8.33 kB/s
2025-07-07 10:46:41,8.33 kB/s
2025-07-07 10:46:42,8.33 kB/s
2025-07-07 10:46:43,8.33 kB/s
2025-07-07 10:46:44,7.12 kB/s
2025-07-07 10:46:45,6.98 kB/s
2025-07-07 10:46:46,6.84 kB/s
2025-07-07 10:46:47,6.70 kB/s
2025-07-07 10:46:48,6.56 kB/s
2025-07-07 10:46:49,23.7 kB/s
2025-07-07 10:46:50,23.7 kB/s
2025-07-07 10:46:51,23.7 kB/s
2025-07-07 10:46:52,23.7 kB/s
2025-07-07 10:46:53,23.7 kB/s
2025-07-07 10:46:54,23.7 kB/s
2025-07-07 10:46:55,23.7 kB/s
2025-07-07 10:46:56,23.7 kB/s
2025-07-07 10:46:57,23.7 kB/s
