"Time","{instance=""worker3"", interface=""lxc53e184f941ad""}"
2025-07-07 10:43:30,380 B/s
2025-07-07 10:43:31,388 B/s
2025-07-07 10:43:32,395 B/s
2025-07-07 10:43:33,403 B/s
2025-07-07 10:43:34,468 B/s
2025-07-07 10:43:35,468 B/s
2025-07-07 10:43:36,468 B/s
2025-07-07 10:43:37,468 B/s
2025-07-07 10:43:38,468 B/s
2025-07-07 10:43:39,468 B/s
2025-07-07 10:43:40,468 B/s
2025-07-07 10:43:41,468 B/s
2025-07-07 10:43:42,468 B/s
2025-07-07 10:43:43,404 B/s
2025-07-07 10:43:44,396 B/s
2025-07-07 10:43:45,389 B/s
2025-07-07 10:43:46,381 B/s
2025-07-07 10:43:47,373 B/s
2025-07-07 10:43:48,365 B/s
2025-07-07 10:43:49,472 B/s
2025-07-07 10:43:50,472 B/s
2025-07-07 10:43:51,472 B/s
2025-07-07 10:43:52,472 B/s
2025-07-07 10:43:53,472 B/s
2025-07-07 10:43:54,472 B/s
2025-07-07 10:43:55,472 B/s
2025-07-07 10:43:56,472 B/s
2025-07-07 10:43:57,472 B/s
2025-07-07 10:43:58,472 B/s
2025-07-07 10:43:59,2.28 MB/s
2025-07-07 10:44:00,2.33 MB/s
2025-07-07 10:44:01,2.38 MB/s
2025-07-07 10:44:02,2.42 MB/s
2025-07-07 10:44:03,2.47 MB/s
2025-07-07 10:44:04,2.87 MB/s
2025-07-07 10:44:05,2.87 MB/s
2025-07-07 10:44:06,2.87 MB/s
2025-07-07 10:44:07,2.87 MB/s
2025-07-07 10:44:08,2.87 MB/s
2025-07-07 10:44:09,2.87 MB/s
2025-07-07 10:44:10,2.87 MB/s
2025-07-07 10:44:11,2.87 MB/s
2025-07-07 10:44:12,2.87 MB/s
2025-07-07 10:44:13,2.48 MB/s
2025-07-07 10:44:14,2.44 MB/s
2025-07-07 10:44:15,2.39 MB/s
2025-07-07 10:44:16,2.34 MB/s
2025-07-07 10:44:17,2.29 MB/s
2025-07-07 10:44:18,2.25 MB/s
2025-07-07 10:44:19,2.87 MB/s
2025-07-07 10:44:20,2.87 MB/s
2025-07-07 10:44:21,2.87 MB/s
2025-07-07 10:44:22,2.87 MB/s
2025-07-07 10:44:23,2.87 MB/s
2025-07-07 10:44:24,2.87 MB/s
2025-07-07 10:44:25,2.87 MB/s
2025-07-07 10:44:26,2.87 MB/s
2025-07-07 10:44:27,2.87 MB/s
2025-07-07 10:44:28,2.87 MB/s
2025-07-07 10:44:29,2.85 MB/s
2025-07-07 10:44:30,2.91 MB/s
2025-07-07 10:44:31,2.97 MB/s
2025-07-07 10:44:32,3.03 MB/s
2025-07-07 10:44:33,3.09 MB/s
2025-07-07 10:44:34,3.59 MB/s
2025-07-07 10:44:35,3.59 MB/s
2025-07-07 10:44:36,3.59 MB/s
2025-07-07 10:44:37,3.59 MB/s
2025-07-07 10:44:38,3.59 MB/s
2025-07-07 10:44:39,3.59 MB/s
2025-07-07 10:44:40,3.59 MB/s
2025-07-07 10:44:41,3.59 MB/s
2025-07-07 10:44:42,3.59 MB/s
2025-07-07 10:44:43,3.11 MB/s
2025-07-07 10:44:44,3.05 MB/s
2025-07-07 10:44:45,2.99 MB/s
2025-07-07 10:44:46,2.93 MB/s
2025-07-07 10:44:47,2.87 MB/s
2025-07-07 10:44:48,2.81 MB/s
2025-07-07 10:44:49,576 kB/s
2025-07-07 10:44:50,576 kB/s
2025-07-07 10:44:51,576 kB/s
2025-07-07 10:44:52,576 kB/s
2025-07-07 10:44:53,576 kB/s
2025-07-07 10:44:54,576 kB/s
2025-07-07 10:44:55,576 kB/s
2025-07-07 10:44:56,576 kB/s
2025-07-07 10:44:57,576 kB/s
2025-07-07 10:44:58,576 kB/s
2025-07-07 10:44:59,371 B/s
2025-07-07 10:45:00,379 B/s
2025-07-07 10:45:01,387 B/s
2025-07-07 10:45:02,395 B/s
2025-07-07 10:45:03,403 B/s
2025-07-07 10:45:04,470 B/s
2025-07-07 10:45:05,470 B/s
2025-07-07 10:45:06,470 B/s
2025-07-07 10:45:07,470 B/s
2025-07-07 10:45:08,470 B/s
2025-07-07 10:45:09,470 B/s
2025-07-07 10:45:10,470 B/s
2025-07-07 10:45:11,470 B/s
2025-07-07 10:45:12,470 B/s
2025-07-07 10:45:13,470 B/s
2025-07-07 10:45:14,400 B/s
2025-07-07 10:45:15,392 B/s
2025-07-07 10:45:16,384 B/s
2025-07-07 10:45:17,376 B/s
2025-07-07 10:45:18,368 B/s
2025-07-07 10:45:19,472 B/s
2025-07-07 10:45:20,472 B/s
2025-07-07 10:45:21,472 B/s
2025-07-07 10:45:22,472 B/s
2025-07-07 10:45:23,472 B/s
2025-07-07 10:45:24,472 B/s
2025-07-07 10:45:25,472 B/s
2025-07-07 10:45:26,472 B/s
2025-07-07 10:45:27,472 B/s
2025-07-07 10:45:28,472 B/s
2025-07-07 10:45:29,372 B/s
2025-07-07 10:45:30,380 B/s
2025-07-07 10:45:31,388 B/s
2025-07-07 10:45:32,396 B/s
2025-07-07 10:45:33,404 B/s
2025-07-07 10:45:34,472 B/s
2025-07-07 10:45:35,472 B/s
2025-07-07 10:45:36,472 B/s
2025-07-07 10:45:37,472 B/s
2025-07-07 10:45:38,472 B/s
2025-07-07 10:45:39,472 B/s
2025-07-07 10:45:40,472 B/s
2025-07-07 10:45:41,472 B/s
2025-07-07 10:45:42,472 B/s
2025-07-07 10:45:43,472 B/s
2025-07-07 10:45:44,402 B/s
2025-07-07 10:45:45,394 B/s
2025-07-07 10:45:46,386 B/s
2025-07-07 10:45:47,378 B/s
2025-07-07 10:45:48,370 B/s
2025-07-07 10:45:49,483 B/s
2025-07-07 10:45:50,483 B/s
2025-07-07 10:45:51,483 B/s
2025-07-07 10:45:52,483 B/s
2025-07-07 10:45:53,483 B/s
2025-07-07 10:45:54,483 B/s
2025-07-07 10:45:55,483 B/s
2025-07-07 10:45:56,483 B/s
2025-07-07 10:45:57,483 B/s
2025-07-07 10:45:58,483 B/s
2025-07-07 10:45:59,384 B/s
2025-07-07 10:46:00,392 B/s
2025-07-07 10:46:01,400 B/s
2025-07-07 10:46:02,409 B/s
2025-07-07 10:46:03,417 B/s
2025-07-07 10:46:04,488 B/s
2025-07-07 10:46:05,488 B/s
2025-07-07 10:46:06,488 B/s
2025-07-07 10:46:07,488 B/s
2025-07-07 10:46:08,488 B/s
2025-07-07 10:46:09,488 B/s
2025-07-07 10:46:10,488 B/s
2025-07-07 10:46:11,488 B/s
2025-07-07 10:46:12,488 B/s
2025-07-07 10:46:13,488 B/s
2025-07-07 10:46:14,416 B/s
2025-07-07 10:46:15,408 B/s
2025-07-07 10:46:16,400 B/s
2025-07-07 10:46:17,392 B/s
2025-07-07 10:46:18,384 B/s
2025-07-07 10:46:19,485 B/s
2025-07-07 10:46:20,485 B/s
2025-07-07 10:46:21,485 B/s
2025-07-07 10:46:22,485 B/s
2025-07-07 10:46:23,485 B/s
2025-07-07 10:46:24,485 B/s
2025-07-07 10:46:25,485 B/s
2025-07-07 10:46:26,485 B/s
2025-07-07 10:46:27,485 B/s
2025-07-07 10:46:28,485 B/s
2025-07-07 10:46:29,1.65 MB/s
2025-07-07 10:46:30,1.68 MB/s
2025-07-07 10:46:31,1.72 MB/s
2025-07-07 10:46:32,1.75 MB/s
2025-07-07 10:46:33,1.79 MB/s
2025-07-07 10:46:34,2.10 MB/s
2025-07-07 10:46:35,2.10 MB/s
2025-07-07 10:46:36,2.10 MB/s
2025-07-07 10:46:37,2.10 MB/s
2025-07-07 10:46:38,2.10 MB/s
2025-07-07 10:46:39,2.10 MB/s
2025-07-07 10:46:40,2.10 MB/s
2025-07-07 10:46:41,2.10 MB/s
2025-07-07 10:46:42,2.10 MB/s
2025-07-07 10:46:43,2.10 MB/s
2025-07-07 10:46:44,1.79 MB/s
2025-07-07 10:46:45,1.76 MB/s
2025-07-07 10:46:46,1.72 MB/s
2025-07-07 10:46:47,1.69 MB/s
2025-07-07 10:46:48,1.65 MB/s
2025-07-07 10:46:49,5.78 MB/s
2025-07-07 10:46:50,5.78 MB/s
2025-07-07 10:46:51,5.78 MB/s
2025-07-07 10:46:52,5.78 MB/s
2025-07-07 10:46:53,5.78 MB/s
2025-07-07 10:46:54,5.78 MB/s
2025-07-07 10:46:55,5.78 MB/s
2025-07-07 10:46:56,5.78 MB/s
2025-07-07 10:46:57,5.78 MB/s
2025-07-07 10:46:58,5.78 MB/s
