"Time","image-filter-cfbfd9b5f-zgrv9"
2025-07-07 10:43:30,29.0 MiB
2025-07-07 10:43:31,29.0 MiB
2025-07-07 10:43:32,29.0 MiB
2025-07-07 10:43:33,29.0 MiB
2025-07-07 10:43:34,29.2 MiB
2025-07-07 10:43:35,29.2 MiB
2025-07-07 10:43:36,29.2 MiB
2025-07-07 10:43:37,29.2 MiB
2025-07-07 10:43:38,29.2 MiB
2025-07-07 10:43:39,29.2 MiB
2025-07-07 10:43:40,29.2 MiB
2025-07-07 10:43:41,29.2 MiB
2025-07-07 10:43:42,29.2 MiB
2025-07-07 10:43:43,29.2 MiB
2025-07-07 10:43:44,29.2 MiB
2025-07-07 10:43:45,29.2 MiB
2025-07-07 10:43:46,29.0 MiB
2025-07-07 10:43:47,29.0 MiB
2025-07-07 10:43:48,29.0 MiB
2025-07-07 10:43:49,29.0 MiB
2025-07-07 10:43:50,29.0 MiB
2025-07-07 10:43:51,29.0 MiB
2025-07-07 10:43:52,29.0 MiB
2025-07-07 10:43:53,29.0 MiB
2025-07-07 10:43:54,29.0 MiB
2025-07-07 10:43:55,29.0 MiB
2025-07-07 10:43:56,30.0 MiB
2025-07-07 10:43:57,30.0 MiB
2025-07-07 10:43:58,30.0 MiB
2025-07-07 10:43:59,30.0 MiB
2025-07-07 10:44:00,30.0 MiB
2025-07-07 10:44:01,30.0 MiB
2025-07-07 10:44:02,30.0 MiB
2025-07-07 10:44:03,30.0 MiB
2025-07-07 10:44:04,30.0 MiB
2025-07-07 10:44:05,30.0 MiB
2025-07-07 10:44:06,30.0 MiB
2025-07-07 10:44:07,30.0 MiB
2025-07-07 10:44:08,30.0 MiB
2025-07-07 10:44:09,30.0 MiB
2025-07-07 10:44:10,30.0 MiB
2025-07-07 10:44:11,30.0 MiB
2025-07-07 10:44:12,30.0 MiB
2025-07-07 10:44:13,30.0 MiB
2025-07-07 10:44:14,30.0 MiB
2025-07-07 10:44:15,30.0 MiB
2025-07-07 10:44:16,30.0 MiB
2025-07-07 10:44:17,30.0 MiB
2025-07-07 10:44:18,31.4 MiB
2025-07-07 10:44:19,31.4 MiB
2025-07-07 10:44:20,31.4 MiB
2025-07-07 10:44:21,31.4 MiB
2025-07-07 10:44:22,31.4 MiB
2025-07-07 10:44:23,31.4 MiB
2025-07-07 10:44:24,31.4 MiB
2025-07-07 10:44:25,31.4 MiB
2025-07-07 10:44:26,31.4 MiB
2025-07-07 10:44:27,31.4 MiB
2025-07-07 10:44:28,31.4 MiB
2025-07-07 10:44:29,31.4 MiB
2025-07-07 10:44:30,31.4 MiB
2025-07-07 10:44:31,31.4 MiB
2025-07-07 10:44:32,31.4 MiB
2025-07-07 10:44:33,31.4 MiB
2025-07-07 10:44:34,31.4 MiB
2025-07-07 10:44:35,31.4 MiB
2025-07-07 10:44:36,31.4 MiB
2025-07-07 10:44:37,31.4 MiB
2025-07-07 10:44:38,31.4 MiB
2025-07-07 10:44:39,31.4 MiB
2025-07-07 10:44:40,31.4 MiB
2025-07-07 10:44:41,31.4 MiB
2025-07-07 10:44:42,31.4 MiB
2025-07-07 10:44:43,31.4 MiB
2025-07-07 10:44:44,31.4 MiB
2025-07-07 10:44:45,31.4 MiB
2025-07-07 10:44:46,31.4 MiB
2025-07-07 10:44:47,31.4 MiB
2025-07-07 10:44:48,31.4 MiB
2025-07-07 10:44:49,31.4 MiB
2025-07-07 10:44:50,31.5 MiB
2025-07-07 10:44:51,31.5 MiB
2025-07-07 10:44:52,31.5 MiB
2025-07-07 10:44:53,31.5 MiB
2025-07-07 10:44:54,31.5 MiB
2025-07-07 10:44:55,31.5 MiB
2025-07-07 10:44:56,31.5 MiB
2025-07-07 10:44:57,31.5 MiB
2025-07-07 10:44:58,31.5 MiB
2025-07-07 10:44:59,31.5 MiB
2025-07-07 10:45:00,31.5 MiB
2025-07-07 10:45:01,31.5 MiB
2025-07-07 10:45:02,31.5 MiB
2025-07-07 10:45:03,31.5 MiB
2025-07-07 10:45:04,31.5 MiB
2025-07-07 10:45:05,31.3 MiB
2025-07-07 10:45:06,31.3 MiB
2025-07-07 10:45:07,31.3 MiB
2025-07-07 10:45:08,31.3 MiB
2025-07-07 10:45:09,31.3 MiB
2025-07-07 10:45:10,31.3 MiB
2025-07-07 10:45:11,31.3 MiB
2025-07-07 10:45:12,31.3 MiB
2025-07-07 10:45:13,31.3 MiB
2025-07-07 10:45:14,31.3 MiB
2025-07-07 10:45:15,31.3 MiB
2025-07-07 10:45:16,31.3 MiB
2025-07-07 10:45:17,31.3 MiB
2025-07-07 10:45:18,31.3 MiB
2025-07-07 10:45:19,31.3 MiB
2025-07-07 10:45:20,31.3 MiB
2025-07-07 10:45:21,31.3 MiB
2025-07-07 10:45:22,31.3 MiB
2025-07-07 10:45:23,31.3 MiB
2025-07-07 10:45:24,31.3 MiB
2025-07-07 10:45:25,31.3 MiB
2025-07-07 10:45:26,31.3 MiB
2025-07-07 10:45:27,31.3 MiB
2025-07-07 10:45:28,31.3 MiB
2025-07-07 10:45:29,31.3 MiB
2025-07-07 10:45:30,31.3 MiB
2025-07-07 10:45:31,31.3 MiB
2025-07-07 10:45:32,31.3 MiB
2025-07-07 10:45:33,31.3 MiB
2025-07-07 10:45:34,31.3 MiB
2025-07-07 10:45:35,31.3 MiB
2025-07-07 10:45:36,31.3 MiB
2025-07-07 10:45:37,31.3 MiB
2025-07-07 10:45:38,31.3 MiB
2025-07-07 10:45:39,31.3 MiB
2025-07-07 10:45:40,31.3 MiB
2025-07-07 10:45:41,31.3 MiB
2025-07-07 10:45:42,31.3 MiB
2025-07-07 10:45:43,31.3 MiB
2025-07-07 10:45:44,31.4 MiB
2025-07-07 10:45:45,31.4 MiB
2025-07-07 10:45:46,31.4 MiB
2025-07-07 10:45:47,31.4 MiB
2025-07-07 10:45:48,31.4 MiB
2025-07-07 10:45:49,31.4 MiB
2025-07-07 10:45:50,31.4 MiB
2025-07-07 10:45:51,31.4 MiB
2025-07-07 10:45:52,31.4 MiB
2025-07-07 10:45:53,31.4 MiB
2025-07-07 10:45:54,31.4 MiB
2025-07-07 10:45:55,31.4 MiB
2025-07-07 10:45:56,31.4 MiB
2025-07-07 10:45:57,31.4 MiB
2025-07-07 10:45:58,31.4 MiB
2025-07-07 10:45:59,31.4 MiB
2025-07-07 10:46:00,31.3 MiB
2025-07-07 10:46:01,31.3 MiB
2025-07-07 10:46:02,31.3 MiB
2025-07-07 10:46:03,31.3 MiB
2025-07-07 10:46:04,31.3 MiB
2025-07-07 10:46:05,31.3 MiB
2025-07-07 10:46:06,31.3 MiB
2025-07-07 10:46:07,31.3 MiB
2025-07-07 10:46:08,31.3 MiB
2025-07-07 10:46:09,31.3 MiB
2025-07-07 10:46:10,31.3 MiB
2025-07-07 10:46:11,31.3 MiB
2025-07-07 10:46:12,31.3 MiB
2025-07-07 10:46:13,31.3 MiB
2025-07-07 10:46:14,31.3 MiB
2025-07-07 10:46:15,29.1 MiB
2025-07-07 10:46:16,29.1 MiB
2025-07-07 10:46:17,29.1 MiB
2025-07-07 10:46:18,29.1 MiB
2025-07-07 10:46:19,29.1 MiB
2025-07-07 10:46:20,29.1 MiB
2025-07-07 10:46:21,29.1 MiB
2025-07-07 10:46:22,29.1 MiB
2025-07-07 10:46:23,29.1 MiB
2025-07-07 10:46:24,29.1 MiB
2025-07-07 10:46:25,29.1 MiB
2025-07-07 10:46:26,29.1 MiB
2025-07-07 10:46:27,29.1 MiB
2025-07-07 10:46:28,29.1 MiB
2025-07-07 10:46:29,29.1 MiB
2025-07-07 10:46:30,29.1 MiB
2025-07-07 10:46:31,29.1 MiB
2025-07-07 10:46:32,30.9 MiB
2025-07-07 10:46:33,30.9 MiB
2025-07-07 10:46:34,30.9 MiB
2025-07-07 10:46:35,30.9 MiB
2025-07-07 10:46:36,30.9 MiB
2025-07-07 10:46:37,30.9 MiB
2025-07-07 10:46:38,30.9 MiB
2025-07-07 10:46:39,30.9 MiB
2025-07-07 10:46:40,30.9 MiB
2025-07-07 10:46:41,30.9 MiB
2025-07-07 10:46:42,30.9 MiB
2025-07-07 10:46:43,30.9 MiB
2025-07-07 10:46:44,30.9 MiB
2025-07-07 10:46:45,30.9 MiB
2025-07-07 10:46:46,30.9 MiB
2025-07-07 10:46:47,30.9 MiB
2025-07-07 10:46:48,30.9 MiB
2025-07-07 10:46:49,30.9 MiB
2025-07-07 10:46:50,31.8 MiB
2025-07-07 10:46:51,31.8 MiB
2025-07-07 10:46:52,31.8 MiB
2025-07-07 10:46:53,31.8 MiB
2025-07-07 10:46:54,31.8 MiB
2025-07-07 10:46:55,31.8 MiB
2025-07-07 10:46:56,31.8 MiB
2025-07-07 10:46:57,31.8 MiB
2025-07-07 10:46:58,31.8 MiB
2025-07-07 10:46:59,31.8 MiB
2025-07-07 10:47:00,31.8 MiB
2025-07-07 10:47:01,31.8 MiB
2025-07-07 10:47:02,31.8 MiB
2025-07-07 10:47:03,31.8 MiB
2025-07-07 10:47:04,31.8 MiB
2025-07-07 10:47:05,31.8 MiB
2025-07-07 10:47:06,31.8 MiB
2025-07-07 10:47:07,31.8 MiB
2025-07-07 10:47:08,31.8 MiB
2025-07-07 10:47:09,31.8 MiB
2025-07-07 10:47:10,31.8 MiB
2025-07-07 10:47:11,31.8 MiB
2025-07-07 10:47:12,31.8 MiB
2025-07-07 10:47:13,31.8 MiB
2025-07-07 10:47:14,31.8 MiB
2025-07-07 10:47:15,31.8 MiB
2025-07-07 10:47:16,31.8 MiB
2025-07-07 10:47:17,31.8 MiB
2025-07-07 10:47:18,31.8 MiB
2025-07-07 10:47:19,31.8 MiB
2025-07-07 10:47:20,31.8 MiB
2025-07-07 10:47:21,31.8 MiB
2025-07-07 10:47:22,31.8 MiB
2025-07-07 10:47:23,31.8 MiB
2025-07-07 10:47:24,31.8 MiB
2025-07-07 10:47:25,31.8 MiB
2025-07-07 10:47:26,31.8 MiB
2025-07-07 10:47:27,31.8 MiB
2025-07-07 10:47:28,31.8 MiB
2025-07-07 10:47:29,31.8 MiB
2025-07-07 10:47:30,31.8 MiB
2025-07-07 10:47:31,31.8 MiB
2025-07-07 10:47:32,31.8 MiB
