"Time","image-stats-746c9bfb67-85h7x"
2025-07-07 10:43:30,35.6 MiB
2025-07-07 10:43:31,35.6 MiB
2025-07-07 10:43:32,35.6 MiB
2025-07-07 10:43:33,35.6 MiB
2025-07-07 10:43:34,35.6 MiB
2025-07-07 10:43:35,35.6 MiB
2025-07-07 10:43:36,35.6 MiB
2025-07-07 10:43:37,35.6 MiB
2025-07-07 10:43:38,35.6 MiB
2025-07-07 10:43:39,35.6 MiB
2025-07-07 10:43:40,35.6 MiB
2025-07-07 10:43:41,35.6 MiB
2025-07-07 10:43:42,35.6 MiB
2025-07-07 10:43:43,35.7 MiB
2025-07-07 10:43:44,35.7 MiB
2025-07-07 10:43:45,35.7 MiB
2025-07-07 10:43:46,35.7 MiB
2025-07-07 10:43:47,35.7 MiB
2025-07-07 10:43:48,35.7 MiB
2025-07-07 10:43:49,35.7 MiB
2025-07-07 10:43:50,35.7 MiB
2025-07-07 10:43:51,35.7 MiB
2025-07-07 10:43:52,35.7 MiB
2025-07-07 10:43:53,35.7 MiB
2025-07-07 10:43:54,35.7 MiB
2025-07-07 10:43:55,35.7 MiB
2025-07-07 10:43:56,35.7 MiB
2025-07-07 10:43:57,35.7 MiB
2025-07-07 10:43:58,35.7 MiB
2025-07-07 10:43:59,35.7 MiB
2025-07-07 10:44:00,35.7 MiB
2025-07-07 10:44:01,36.2 MiB
2025-07-07 10:44:02,36.2 MiB
2025-07-07 10:44:03,36.2 MiB
2025-07-07 10:44:04,36.2 MiB
2025-07-07 10:44:05,36.2 MiB
2025-07-07 10:44:06,36.2 MiB
2025-07-07 10:44:07,36.2 MiB
2025-07-07 10:44:08,36.2 MiB
2025-07-07 10:44:09,36.2 MiB
2025-07-07 10:44:10,36.2 MiB
2025-07-07 10:44:11,36.2 MiB
2025-07-07 10:44:12,36.2 MiB
2025-07-07 10:44:13,36.2 MiB
2025-07-07 10:44:14,36.2 MiB
2025-07-07 10:44:15,36.2 MiB
2025-07-07 10:44:16,36.2 MiB
2025-07-07 10:44:17,36.2 MiB
2025-07-07 10:44:18,36.2 MiB
2025-07-07 10:44:19,36.2 MiB
2025-07-07 10:44:20,36.2 MiB
2025-07-07 10:44:21,36.2 MiB
2025-07-07 10:44:22,36.2 MiB
2025-07-07 10:44:23,36.2 MiB
2025-07-07 10:44:24,36.2 MiB
2025-07-07 10:44:25,36.2 MiB
2025-07-07 10:44:26,36.2 MiB
2025-07-07 10:44:27,36.2 MiB
2025-07-07 10:44:28,36.2 MiB
2025-07-07 10:44:29,36.2 MiB
2025-07-07 10:44:30,36.2 MiB
2025-07-07 10:44:31,36.2 MiB
2025-07-07 10:44:32,36.2 MiB
2025-07-07 10:44:33,36.2 MiB
2025-07-07 10:44:34,36.2 MiB
2025-07-07 10:44:35,36.2 MiB
2025-07-07 10:44:36,36.2 MiB
2025-07-07 10:44:37,36.2 MiB
2025-07-07 10:44:38,36.2 MiB
2025-07-07 10:44:39,36.2 MiB
2025-07-07 10:44:40,36.2 MiB
2025-07-07 10:44:41,36.2 MiB
2025-07-07 10:44:42,36.2 MiB
2025-07-07 10:44:43,36.2 MiB
2025-07-07 10:44:44,36.3 MiB
2025-07-07 10:44:45,36.3 MiB
2025-07-07 10:44:46,36.3 MiB
2025-07-07 10:44:47,36.3 MiB
2025-07-07 10:44:48,36.3 MiB
2025-07-07 10:44:49,36.3 MiB
2025-07-07 10:44:50,36.3 MiB
2025-07-07 10:44:51,36.3 MiB
2025-07-07 10:44:52,36.3 MiB
2025-07-07 10:44:53,36.3 MiB
2025-07-07 10:44:54,36.3 MiB
2025-07-07 10:44:55,36.3 MiB
2025-07-07 10:44:56,36.3 MiB
2025-07-07 10:44:57,36.3 MiB
2025-07-07 10:44:58,36.3 MiB
2025-07-07 10:44:59,36.3 MiB
2025-07-07 10:45:00,36.3 MiB
2025-07-07 10:45:01,36.3 MiB
