"Time","image-stats-746c9bfb67-ghlvr"
2025-07-07 21:43:15,0.000744 cores
2025-07-07 21:43:16,0.000744 cores
2025-07-07 21:43:17,0.000744 cores
2025-07-07 21:43:18,0.000744 cores
2025-07-07 21:43:19,0.000744 cores
2025-07-07 21:43:20,0.000744 cores
2025-07-07 21:43:21,0.000744 cores
2025-07-07 21:43:22,0.000744 cores
2025-07-07 21:43:23,0.000744 cores
2025-07-07 21:43:24,0.000744 cores
2025-07-07 21:43:25,0.000744 cores
2025-07-07 21:43:26,0.000744 cores
2025-07-07 21:43:27,0.000744 cores
2025-07-07 21:43:28,0.000744 cores
2025-07-07 21:43:29,0.000744 cores
2025-07-07 21:43:30,0.000744 cores
2025-07-07 21:43:31,0.000744 cores
2025-07-07 21:43:32,0.000744 cores
2025-07-07 21:43:33,0.000520 cores
2025-07-07 21:43:34,0.000533 cores
2025-07-07 21:43:35,0.000546 cores
2025-07-07 21:43:36,0.000560 cores
2025-07-07 21:43:37,0.000573 cores
2025-07-07 21:43:38,0.000587 cores
2025-07-07 21:43:39,0.000600 cores
2025-07-07 21:43:40,0.000614 cores
2025-07-07 21:43:41,0.000627 cores
2025-07-07 21:43:42,0.000640 cores
2025-07-07 21:43:43,0.000654 cores
2025-07-07 21:43:44,0.000667 cores
2025-07-07 21:43:45,0.000681 cores
2025-07-07 21:43:46,0.00249 cores
2025-07-07 21:43:47,0.00292 cores
2025-07-07 21:43:48,0.00292 cores
2025-07-07 21:43:49,0.00292 cores
2025-07-07 21:43:50,0.00292 cores
2025-07-07 21:43:51,0.00292 cores
2025-07-07 21:43:52,0.00292 cores
2025-07-07 21:43:53,0.00292 cores
2025-07-07 21:43:54,0.00292 cores
2025-07-07 21:43:55,0.00292 cores
2025-07-07 21:43:56,0.00292 cores
2025-07-07 21:43:57,0.00292 cores
2025-07-07 21:43:58,0.00292 cores
2025-07-07 21:43:59,0.00292 cores
2025-07-07 21:44:00,0.00339 cores
2025-07-07 21:44:01,0.00339 cores
2025-07-07 21:44:02,0.00339 cores
2025-07-07 21:44:03,0.00412 cores
2025-07-07 21:44:04,0.00412 cores
2025-07-07 21:44:05,0.00412 cores
2025-07-07 21:44:06,0.00412 cores
2025-07-07 21:44:07,0.00412 cores
2025-07-07 21:44:08,0.00412 cores
2025-07-07 21:44:09,0.00412 cores
2025-07-07 21:44:10,0.00412 cores
2025-07-07 21:44:11,0.00412 cores
2025-07-07 21:44:12,0.00412 cores
2025-07-07 21:44:13,0.00412 cores
2025-07-07 21:44:14,0.00412 cores
2025-07-07 21:44:15,0.00352 cores
2025-07-07 21:44:16,0.00359 cores
2025-07-07 21:44:17,0.00367 cores
2025-07-07 21:44:18,0.00430 cores
2025-07-07 21:44:19,0.00430 cores
2025-07-07 21:44:20,0.00430 cores
2025-07-07 21:44:21,0.00430 cores
2025-07-07 21:44:22,0.00430 cores
2025-07-07 21:44:23,0.00430 cores
2025-07-07 21:44:24,0.00430 cores
2025-07-07 21:44:25,0.00430 cores
2025-07-07 21:44:26,0.00430 cores
2025-07-07 21:44:27,0.00430 cores
2025-07-07 21:44:28,0.00430 cores
2025-07-07 21:44:29,0.00430 cores
2025-07-07 21:44:30,0.00430 cores
2025-07-07 21:44:31,0.00365 cores
2025-07-07 21:44:32,0.00357 cores
2025-07-07 21:44:33,0.00192 cores
2025-07-07 21:44:34,0.00192 cores
2025-07-07 21:44:35,0.00192 cores
2025-07-07 21:44:36,0.00192 cores
2025-07-07 21:44:37,0.00192 cores
2025-07-07 21:44:38,0.00192 cores
2025-07-07 21:44:39,0.00192 cores
2025-07-07 21:44:40,0.00192 cores
2025-07-07 21:44:41,0.00192 cores
2025-07-07 21:44:42,0.00192 cores
2025-07-07 21:44:43,0.00192 cores
2025-07-07 21:44:44,0.00192 cores
2025-07-07 21:44:45,0.00192 cores
2025-07-07 21:44:46,0.000687 cores
2025-07-07 21:44:47,0.000687 cores
2025-07-07 21:44:48,0.000687 cores
2025-07-07 21:44:49,0.000687 cores
2025-07-07 21:44:50,0.000687 cores
2025-07-07 21:44:51,0.000660 cores
2025-07-07 21:44:52,0.000660 cores
2025-07-07 21:44:53,0.000660 cores
2025-07-07 21:44:54,0.000660 cores
2025-07-07 21:44:55,0.000660 cores
2025-07-07 21:44:56,0.000660 cores
2025-07-07 21:44:57,0.000660 cores
2025-07-07 21:44:58,0.000660 cores
2025-07-07 21:44:59,0.000660 cores
2025-07-07 21:45:00,0.000641 cores
