"Time","{instance=""worker3"", interface=""lxce5d4796c6279""}"
2025-07-07 21:43:15,424 B/s
2025-07-07 21:43:16,431 B/s
2025-07-07 21:43:17,438 B/s
2025-07-07 21:43:18,444 B/s
2025-07-07 21:43:19,444 B/s
2025-07-07 21:43:20,464 B/s
2025-07-07 21:43:21,466 B/s
2025-07-07 21:43:22,466 B/s
2025-07-07 21:43:23,466 B/s
2025-07-07 21:43:24,466 B/s
2025-07-07 21:43:25,466 B/s
2025-07-07 21:43:26,466 B/s
2025-07-07 21:43:27,401 B/s
2025-07-07 21:43:28,393 B/s
2025-07-07 21:43:29,385 B/s
2025-07-07 21:43:30,378 B/s
2025-07-07 21:43:31,370 B/s
2025-07-07 21:43:32,467 B/s
2025-07-07 21:43:33,467 B/s
2025-07-07 21:43:34,467 B/s
2025-07-07 21:43:35,467 B/s
2025-07-07 21:43:36,467 B/s
2025-07-07 21:43:37,467 B/s
2025-07-07 21:43:38,467 B/s
2025-07-07 21:43:39,467 B/s
2025-07-07 21:43:40,467 B/s
2025-07-07 21:43:41,467 B/s
2025-07-07 21:43:42,1.01 MB/s
2025-07-07 21:43:43,1.03 MB/s
2025-07-07 21:43:44,1.06 MB/s
2025-07-07 21:43:45,1.08 MB/s
2025-07-07 21:43:46,1.11 MB/s
2025-07-07 21:43:47,1.13 MB/s
2025-07-07 21:43:48,1.16 MB/s
2025-07-07 21:43:49,1.18 MB/s
2025-07-07 21:43:50,1.21 MB/s
2025-07-07 21:43:51,1.23 MB/s
2025-07-07 21:43:52,1.26 MB/s
2025-07-07 21:43:53,1.28 MB/s
2025-07-07 21:43:54,1.31 MB/s
2025-07-07 21:43:55,1.33 MB/s
2025-07-07 21:43:56,1.36 MB/s
2025-07-07 21:43:57,1.18 MB/s
2025-07-07 21:43:58,1.18 MB/s
2025-07-07 21:43:59,1.18 MB/s
2025-07-07 21:44:00,1.18 MB/s
2025-07-07 21:44:01,1.18 MB/s
2025-07-07 21:44:02,1.26 MB/s
2025-07-07 21:44:03,2.45 MB/s
2025-07-07 21:44:04,2.49 MB/s
2025-07-07 21:44:05,2.54 MB/s
2025-07-07 21:44:06,2.59 MB/s
2025-07-07 21:44:07,2.64 MB/s
2025-07-07 21:44:08,2.68 MB/s
2025-07-07 21:44:09,2.73 MB/s
2025-07-07 21:44:10,2.78 MB/s
2025-07-07 21:44:11,2.83 MB/s
2025-07-07 21:44:12,3.19 MB/s
2025-07-07 21:44:13,2.45 MB/s
2025-07-07 21:44:14,2.51 MB/s
2025-07-07 21:44:15,2.57 MB/s
2025-07-07 21:44:16,2.63 MB/s
2025-07-07 21:44:17,2.69 MB/s
2025-07-07 21:44:18,2.75 MB/s
2025-07-07 21:44:19,2.81 MB/s
2025-07-07 21:44:20,2.87 MB/s
2025-07-07 21:44:21,2.93 MB/s
2025-07-07 21:44:22,2.99 MB/s
2025-07-07 21:44:23,3.05 MB/s
2025-07-07 21:44:24,3.11 MB/s
2025-07-07 21:44:25,3.17 MB/s
2025-07-07 21:44:26,3.23 MB/s
2025-07-07 21:44:27,2.80 MB/s
2025-07-07 21:44:28,2.80 MB/s
2025-07-07 21:44:29,2.80 MB/s
2025-07-07 21:44:30,2.80 MB/s
2025-07-07 21:44:31,2.80 MB/s
2025-07-07 21:44:32,2.20 MB/s
2025-07-07 21:44:33,1.66 MB/s
2025-07-07 21:44:34,1.66 MB/s
2025-07-07 21:44:35,1.66 MB/s
2025-07-07 21:44:36,1.66 MB/s
2025-07-07 21:44:37,1.66 MB/s
2025-07-07 21:44:38,1.66 MB/s
2025-07-07 21:44:39,1.66 MB/s
2025-07-07 21:44:40,1.66 MB/s
2025-07-07 21:44:41,1.66 MB/s
2025-07-07 21:44:42,368 B/s
2025-07-07 21:44:43,368 B/s
2025-07-07 21:44:44,376 B/s
2025-07-07 21:44:45,383 B/s
2025-07-07 21:44:46,391 B/s
2025-07-07 21:44:47,399 B/s
2025-07-07 21:44:48,463 B/s
2025-07-07 21:44:49,463 B/s
2025-07-07 21:44:50,463 B/s
2025-07-07 21:44:51,463 B/s
2025-07-07 21:44:52,463 B/s
2025-07-07 21:44:53,463 B/s
2025-07-07 21:44:54,463 B/s
2025-07-07 21:44:55,463 B/s
2025-07-07 21:44:56,463 B/s
2025-07-07 21:44:57,400 B/s
2025-07-07 21:44:58,392 B/s
2025-07-07 21:44:59,385 B/s
2025-07-07 21:45:00,377 B/s
