"Time","image-stats-746c9bfb67-ghlvr"
2025-07-07 21:43:15,31.4 MiB
2025-07-07 21:43:16,31.4 MiB
2025-07-07 21:43:17,31.4 MiB
2025-07-07 21:43:18,31.4 MiB
2025-07-07 21:43:19,31.4 MiB
2025-07-07 21:43:20,31.4 MiB
2025-07-07 21:43:21,31.4 MiB
2025-07-07 21:43:22,31.4 MiB
2025-07-07 21:43:23,31.4 MiB
2025-07-07 21:43:24,31.4 MiB
2025-07-07 21:43:25,31.4 MiB
2025-07-07 21:43:26,31.4 MiB
2025-07-07 21:43:27,31.4 MiB
2025-07-07 21:43:28,31.4 MiB
2025-07-07 21:43:29,31.4 MiB
2025-07-07 21:43:30,31.4 MiB
2025-07-07 21:43:31,31.4 MiB
2025-07-07 21:43:32,31.4 MiB
2025-07-07 21:43:33,31.6 MiB
2025-07-07 21:43:34,31.6 MiB
2025-07-07 21:43:35,31.6 MiB
2025-07-07 21:43:36,31.6 MiB
2025-07-07 21:43:37,31.6 MiB
2025-07-07 21:43:38,31.6 MiB
2025-07-07 21:43:39,31.6 MiB
2025-07-07 21:43:40,31.6 MiB
2025-07-07 21:43:41,31.6 MiB
2025-07-07 21:43:42,31.6 MiB
2025-07-07 21:43:43,31.6 MiB
2025-07-07 21:43:44,31.6 MiB
2025-07-07 21:43:45,31.6 MiB
2025-07-07 21:43:46,34.2 MiB
2025-07-07 21:43:47,34.2 MiB
2025-07-07 21:43:48,34.2 MiB
2025-07-07 21:43:49,34.2 MiB
2025-07-07 21:43:50,34.2 MiB
2025-07-07 21:43:51,34.2 MiB
2025-07-07 21:43:52,34.2 MiB
2025-07-07 21:43:53,34.2 MiB
2025-07-07 21:43:54,34.2 MiB
2025-07-07 21:43:55,34.2 MiB
2025-07-07 21:43:56,34.2 MiB
2025-07-07 21:43:57,34.2 MiB
2025-07-07 21:43:58,34.2 MiB
2025-07-07 21:43:59,34.2 MiB
2025-07-07 21:44:00,34.6 MiB
2025-07-07 21:44:01,34.6 MiB
2025-07-07 21:44:02,34.6 MiB
2025-07-07 21:44:03,34.6 MiB
2025-07-07 21:44:04,34.6 MiB
2025-07-07 21:44:05,34.6 MiB
2025-07-07 21:44:06,34.6 MiB
2025-07-07 21:44:07,34.6 MiB
2025-07-07 21:44:08,34.6 MiB
2025-07-07 21:44:09,34.6 MiB
2025-07-07 21:44:10,34.6 MiB
2025-07-07 21:44:11,34.6 MiB
2025-07-07 21:44:12,34.6 MiB
2025-07-07 21:44:13,34.6 MiB
2025-07-07 21:44:14,34.6 MiB
2025-07-07 21:44:15,34.7 MiB
2025-07-07 21:44:16,34.7 MiB
2025-07-07 21:44:17,34.7 MiB
2025-07-07 21:44:18,34.7 MiB
2025-07-07 21:44:19,34.7 MiB
2025-07-07 21:44:20,34.7 MiB
2025-07-07 21:44:21,34.7 MiB
2025-07-07 21:44:22,34.7 MiB
2025-07-07 21:44:23,34.7 MiB
2025-07-07 21:44:24,34.7 MiB
2025-07-07 21:44:25,34.7 MiB
2025-07-07 21:44:26,34.7 MiB
2025-07-07 21:44:27,34.7 MiB
2025-07-07 21:44:28,34.7 MiB
2025-07-07 21:44:29,34.7 MiB
2025-07-07 21:44:30,34.7 MiB
2025-07-07 21:44:31,34.7 MiB
2025-07-07 21:44:32,34.7 MiB
2025-07-07 21:44:33,34.9 MiB
2025-07-07 21:44:34,34.9 MiB
2025-07-07 21:44:35,34.9 MiB
2025-07-07 21:44:36,34.9 MiB
2025-07-07 21:44:37,34.9 MiB
2025-07-07 21:44:38,34.9 MiB
2025-07-07 21:44:39,34.9 MiB
2025-07-07 21:44:40,34.9 MiB
2025-07-07 21:44:41,34.9 MiB
2025-07-07 21:44:42,34.9 MiB
2025-07-07 21:44:43,34.9 MiB
2025-07-07 21:44:44,34.9 MiB
2025-07-07 21:44:45,34.9 MiB
2025-07-07 21:44:46,34.9 MiB
2025-07-07 21:44:47,34.9 MiB
2025-07-07 21:44:48,34.9 MiB
2025-07-07 21:44:49,34.9 MiB
2025-07-07 21:44:50,34.9 MiB
2025-07-07 21:44:51,34.8 MiB
2025-07-07 21:44:52,34.8 MiB
2025-07-07 21:44:53,34.8 MiB
2025-07-07 21:44:54,34.8 MiB
2025-07-07 21:44:55,34.8 MiB
2025-07-07 21:44:56,34.8 MiB
2025-07-07 21:44:57,34.8 MiB
2025-07-07 21:44:58,34.8 MiB
2025-07-07 21:44:59,34.8 MiB
2025-07-07 21:45:00,34.8 MiB
