"Time","{instance=""worker3"", interface=""lxcb81b67412fbb""}"
2025-07-07 20:34:35,474 B/s
2025-07-07 20:34:36,474 B/s
2025-07-07 20:34:37,474 B/s
2025-07-07 20:34:38,474 B/s
2025-07-07 20:34:39,474 B/s
2025-07-07 20:34:40,474 B/s
2025-07-07 20:34:41,474 B/s
2025-07-07 20:34:42,474 B/s
2025-07-07 20:34:43,10.7 kB/s
2025-07-07 20:34:44,11.0 kB/s
2025-07-07 20:34:45,11.2 kB/s
2025-07-07 20:34:46,11.5 kB/s
2025-07-07 20:34:47,11.7 kB/s
2025-07-07 20:34:48,12.0 kB/s
2025-07-07 20:34:49,12.2 kB/s
2025-07-07 20:34:50,12.4 kB/s
2025-07-07 20:34:51,12.7 kB/s
2025-07-07 20:34:52,12.9 kB/s
2025-07-07 20:34:53,13.2 kB/s
2025-07-07 20:34:54,13.4 kB/s
2025-07-07 20:34:55,13.7 kB/s
2025-07-07 20:34:56,13.9 kB/s
2025-07-07 20:34:57,12.2 kB/s
2025-07-07 20:34:58,12.2 kB/s
2025-07-07 20:34:59,12.2 kB/s
2025-07-07 20:35:00,12.1 kB/s
2025-07-07 20:35:01,11.8 kB/s
2025-07-07 20:35:02,11.6 kB/s
2025-07-07 20:35:03,12.8 kB/s
2025-07-07 20:35:04,13.0 kB/s
2025-07-07 20:35:05,13.3 kB/s
2025-07-07 20:35:06,13.5 kB/s
2025-07-07 20:35:07,13.7 kB/s
2025-07-07 20:35:08,14.0 kB/s
2025-07-07 20:35:09,14.2 kB/s
2025-07-07 20:35:10,14.2 kB/s
2025-07-07 20:35:11,14.2 kB/s
2025-07-07 20:35:12,14.2 kB/s
2025-07-07 20:35:13,12.9 kB/s
2025-07-07 20:35:14,13.2 kB/s
2025-07-07 20:35:15,13.5 kB/s
2025-07-07 20:35:16,13.8 kB/s
2025-07-07 20:35:17,14.1 kB/s
2025-07-07 20:35:18,14.4 kB/s
2025-07-07 20:35:19,14.7 kB/s
2025-07-07 20:35:20,15.0 kB/s
2025-07-07 20:35:21,15.3 kB/s
2025-07-07 20:35:22,15.5 kB/s
2025-07-07 20:35:23,15.8 kB/s
2025-07-07 20:35:24,16.1 kB/s
2025-07-07 20:35:25,16.4 kB/s
2025-07-07 20:35:26,16.7 kB/s
2025-07-07 20:35:27,14.7 kB/s
2025-07-07 20:35:28,14.7 kB/s
2025-07-07 20:35:29,14.7 kB/s
2025-07-07 20:35:30,14.4 kB/s
2025-07-07 20:35:31,14.1 kB/s
2025-07-07 20:35:32,13.8 kB/s
2025-07-07 20:35:33,2.77 kB/s
2025-07-07 20:35:34,2.77 kB/s
2025-07-07 20:35:35,2.77 kB/s
2025-07-07 20:35:36,2.77 kB/s
2025-07-07 20:35:37,2.77 kB/s
2025-07-07 20:35:38,2.77 kB/s
2025-07-07 20:35:39,2.77 kB/s
2025-07-07 20:35:40,2.77 kB/s
2025-07-07 20:35:41,2.77 kB/s
2025-07-07 20:35:42,2.77 kB/s
2025-07-07 20:35:43,373 B/s
2025-07-07 20:35:44,381 B/s
2025-07-07 20:35:45,389 B/s
2025-07-07 20:35:46,397 B/s
2025-07-07 20:35:47,405 B/s
2025-07-07 20:35:48,472 B/s
2025-07-07 20:35:49,472 B/s
2025-07-07 20:35:50,472 B/s
