"Time","image-preprocess-84f589b9df-p82f4"
2025-07-07 20:34:35,0.000711 cores
2025-07-07 20:34:36,0.000711 cores
2025-07-07 20:34:37,0.000711 cores
2025-07-07 20:34:38,0.000711 cores
2025-07-07 20:34:39,0.000711 cores
2025-07-07 20:34:40,0.000711 cores
2025-07-07 20:34:41,0.000711 cores
2025-07-07 20:34:42,0.000711 cores
2025-07-07 20:34:43,0.000612 cores
2025-07-07 20:34:44,0.000600 cores
2025-07-07 20:34:45,0.141 cores
2025-07-07 20:34:46,0.144 cores
2025-07-07 20:34:47,0.146 cores
2025-07-07 20:34:48,0.146 cores
2025-07-07 20:34:49,0.154 cores
2025-07-07 20:34:50,0.157 cores
2025-07-07 20:34:51,0.160 cores
2025-07-07 20:34:52,0.163 cores
2025-07-07 20:34:53,0.167 cores
2025-07-07 20:34:54,0.170 cores
2025-07-07 20:34:55,0.173 cores
2025-07-07 20:34:56,0.176 cores
2025-07-07 20:34:57,0.179 cores
2025-07-07 20:34:58,0.182 cores
2025-07-07 20:34:59,0.185 cores
2025-07-07 20:35:00,0.186 cores
2025-07-07 20:35:01,0.173 cores
2025-07-07 20:35:02,0.173 cores
2025-07-07 20:35:03,0.141 cores
2025-07-07 20:35:04,0.143 cores
2025-07-07 20:35:05,0.146 cores
2025-07-07 20:35:06,0.149 cores
2025-07-07 20:35:07,0.152 cores
2025-07-07 20:35:08,0.155 cores
2025-07-07 20:35:09,0.158 cores
2025-07-07 20:35:10,0.160 cores
2025-07-07 20:35:11,0.163 cores
2025-07-07 20:35:12,0.166 cores
2025-07-07 20:35:13,0.169 cores
2025-07-07 20:35:14,0.170 cores
2025-07-07 20:35:15,0.188 cores
2025-07-07 20:35:16,0.192 cores
2025-07-07 20:35:17,0.196 cores
2025-07-07 20:35:18,0.141 cores
2025-07-07 20:35:19,0.144 cores
2025-07-07 20:35:20,0.147 cores
2025-07-07 20:35:21,0.149 cores
2025-07-07 20:35:22,0.152 cores
2025-07-07 20:35:23,0.155 cores
2025-07-07 20:35:24,0.158 cores
2025-07-07 20:35:25,0.160 cores
2025-07-07 20:35:26,0.163 cores
2025-07-07 20:35:27,0.164 cores
2025-07-07 20:35:28,0.164 cores
2025-07-07 20:35:29,0.000745 cores
2025-07-07 20:35:30,0.000745 cores
2025-07-07 20:35:31,0.000745 cores
2025-07-07 20:35:32,0.000745 cores
2025-07-07 20:35:33,0.000745 cores
2025-07-07 20:35:34,0.000745 cores
2025-07-07 20:35:35,0.000745 cores
2025-07-07 20:35:36,0.000617 cores
2025-07-07 20:35:37,0.000605 cores
2025-07-07 20:35:38,0.000592 cores
2025-07-07 20:35:39,0.000580 cores
2025-07-07 20:35:40,0.000568 cores
2025-07-07 20:35:41,0.000555 cores
2025-07-07 20:35:42,0.000543 cores
2025-07-07 20:35:43,0.000530 cores
2025-07-07 20:35:44,0.000518 cores
2025-07-07 20:35:45,0.000352 cores
2025-07-07 20:35:46,0.000352 cores
2025-07-07 20:35:47,0.000449 cores
2025-07-07 20:35:48,0.000711 cores
2025-07-07 20:35:49,0.000711 cores
2025-07-07 20:35:50,0.000711 cores
