"Time","image-stats-746c9bfb67-r4bb7"
2025-07-07 20:34:35,0.000803 cores
2025-07-07 20:34:36,0.000803 cores
2025-07-07 20:34:37,0.000803 cores
2025-07-07 20:34:38,0.000803 cores
2025-07-07 20:34:39,0.000803 cores
2025-07-07 20:34:40,0.000803 cores
2025-07-07 20:34:41,0.000803 cores
2025-07-07 20:34:42,0.000803 cores
2025-07-07 20:34:43,0.000803 cores
2025-07-07 20:34:44,0.000803 cores
2025-07-07 20:34:45,0.00333 cores
2025-07-07 20:34:46,0.00333 cores
2025-07-07 20:34:47,0.00333 cores
2025-07-07 20:34:48,0.00435 cores
2025-07-07 20:34:49,0.00435 cores
2025-07-07 20:34:50,0.00435 cores
2025-07-07 20:34:51,0.00435 cores
2025-07-07 20:34:52,0.00435 cores
2025-07-07 20:34:53,0.00435 cores
2025-07-07 20:34:54,0.00435 cores
2025-07-07 20:34:55,0.00435 cores
2025-07-07 20:34:56,0.00435 cores
2025-07-07 20:34:57,0.00435 cores
2025-07-07 20:34:58,0.00435 cores
2025-07-07 20:34:59,0.00435 cores
2025-07-07 20:35:00,0.00435 cores
2025-07-07 20:35:01,0.00337 cores
2025-07-07 20:35:02,0.00337 cores
2025-07-07 20:35:03,0.00337 cores
2025-07-07 20:35:04,0.00386 cores
2025-07-07 20:35:05,0.00396 cores
2025-07-07 20:35:06,0.00407 cores
2025-07-07 20:35:07,0.00417 cores
2025-07-07 20:35:08,0.00427 cores
2025-07-07 20:35:09,0.00438 cores
2025-07-07 20:35:10,0.00448 cores
2025-07-07 20:35:11,0.00458 cores
2025-07-07 20:35:12,0.00345 cores
2025-07-07 20:35:13,0.00353 cores
2025-07-07 20:35:14,0.00361 cores
2025-07-07 20:35:15,0.00368 cores
2025-07-07 20:35:16,0.00376 cores
2025-07-07 20:35:17,0.00384 cores
2025-07-07 20:35:18,0.00391 cores
2025-07-07 20:35:19,0.00399 cores
2025-07-07 20:35:20,0.00461 cores
2025-07-07 20:35:21,0.00461 cores
2025-07-07 20:35:22,0.00461 cores
2025-07-07 20:35:23,0.00461 cores
2025-07-07 20:35:24,0.00461 cores
2025-07-07 20:35:25,0.00461 cores
2025-07-07 20:35:26,0.00397 cores
2025-07-07 20:35:27,0.00389 cores
2025-07-07 20:35:28,0.00382 cores
2025-07-07 20:35:29,0.00347 cores
2025-07-07 20:35:30,0.00347 cores
2025-07-07 20:35:31,0.00347 cores
2025-07-07 20:35:32,0.00347 cores
2025-07-07 20:35:33,0.00347 cores
2025-07-07 20:35:34,0.000823 cores
2025-07-07 20:35:35,0.000823 cores
2025-07-07 20:35:36,0.000823 cores
2025-07-07 20:35:37,0.000823 cores
2025-07-07 20:35:38,0.000823 cores
2025-07-07 20:35:39,0.000823 cores
2025-07-07 20:35:40,0.000823 cores
2025-07-07 20:35:41,0.000819 cores
2025-07-07 20:35:42,0.000819 cores
2025-07-07 20:35:43,0.000819 cores
2025-07-07 20:35:44,0.000819 cores
2025-07-07 20:35:45,0.000707 cores
2025-07-07 20:35:46,0.000825 cores
2025-07-07 20:35:47,0.000825 cores
2025-07-07 20:35:48,0.000825 cores
2025-07-07 20:35:49,0.000825 cores
2025-07-07 20:35:50,0.000825 cores
