"Time","image-stats-746c9bfb67-bvjsp"
2025-07-07 19:49:00,0.000815 cores
2025-07-07 19:49:01,0.000815 cores
2025-07-07 19:49:02,0.000815 cores
2025-07-07 19:49:03,0.000815 cores
2025-07-07 19:49:04,0.000815 cores
2025-07-07 19:49:05,0.000770 cores
2025-07-07 19:49:06,0.000770 cores
2025-07-07 19:49:07,0.000770 cores
2025-07-07 19:49:08,0.000770 cores
2025-07-07 19:49:09,0.000770 cores
2025-07-07 19:49:10,0.000730 cores
2025-07-07 19:49:11,0.000730 cores
2025-07-07 19:49:12,0.000730 cores
2025-07-07 19:49:13,0.000730 cores
2025-07-07 19:49:14,0.000730 cores
2025-07-07 19:49:15,0.000730 cores
2025-07-07 19:49:16,0.000730 cores
2025-07-07 19:49:17,0.000730 cores
2025-07-07 19:49:18,0.000730 cores
2025-07-07 19:49:19,0.000730 cores
2025-07-07 19:49:20,0.000730 cores
2025-07-07 19:49:21,0.000730 cores
2025-07-07 19:49:22,0.000730 cores
2025-07-07 19:49:23,0.000730 cores
2025-07-07 19:49:24,0.000730 cores
2025-07-07 19:49:25,0.000684 cores
2025-07-07 19:49:26,0.000684 cores
2025-07-07 19:49:27,0.000684 cores
2025-07-07 19:49:28,0.000684 cores
2025-07-07 19:49:29,0.000684 cores
2025-07-07 19:49:30,0.000684 cores
2025-07-07 19:49:31,0.000684 cores
2025-07-07 19:49:32,0.000684 cores
2025-07-07 19:49:33,0.000684 cores
2025-07-07 19:49:34,0.000684 cores
2025-07-07 19:49:35,0.000684 cores
2025-07-07 19:49:36,0.000420 cores
2025-07-07 19:49:37,0.000431 cores
2025-07-07 19:49:38,0.000441 cores
2025-07-07 19:49:39,0.000451 cores
2025-07-07 19:49:40,0.000461 cores
2025-07-07 19:49:41,0.000472 cores
2025-07-07 19:49:42,0.00125 cores
2025-07-07 19:49:43,0.00128 cores
2025-07-07 19:49:44,0.00131 cores
2025-07-07 19:49:45,0.00163 cores
2025-07-07 19:49:46,0.00163 cores
2025-07-07 19:49:47,0.00163 cores
2025-07-07 19:49:48,0.00163 cores
2025-07-07 19:49:49,0.00163 cores
2025-07-07 19:49:50,0.00163 cores
2025-07-07 19:49:51,0.00163 cores
2025-07-07 19:49:52,0.00163 cores
2025-07-07 19:49:53,0.00163 cores
2025-07-07 19:49:54,0.00163 cores
2025-07-07 19:49:55,0.00163 cores
2025-07-07 19:49:56,0.00163 cores
2025-07-07 19:49:57,0.00163 cores
2025-07-07 19:49:58,0.00163 cores
2025-07-07 19:49:59,0.00163 cores
2025-07-07 19:50:00,0.00163 cores
2025-07-07 19:50:01,0.00163 cores
2025-07-07 19:50:02,0.00131 cores
2025-07-07 19:50:03,0.00129 cores
2025-07-07 19:50:04,0.00202 cores
2025-07-07 19:50:05,0.00272 cores
2025-07-07 19:50:06,0.00272 cores
2025-07-07 19:50:07,0.00272 cores
2025-07-07 19:50:08,0.00272 cores
2025-07-07 19:50:09,0.00272 cores
2025-07-07 19:50:10,0.00272 cores
2025-07-07 19:50:11,0.00272 cores
2025-07-07 19:50:12,0.00272 cores
2025-07-07 19:50:13,0.00272 cores
2025-07-07 19:50:14,0.00272 cores
2025-07-07 19:50:15,0.00272 cores
2025-07-07 19:50:16,0.00272 cores
2025-07-07 19:50:17,0.00272 cores
2025-07-07 19:50:18,0.00272 cores
2025-07-07 19:50:19,0.00273 cores
2025-07-07 19:50:20,0.00273 cores
2025-07-07 19:50:21,0.00273 cores
2025-07-07 19:50:22,0.00273 cores
2025-07-07 19:50:23,0.00273 cores
2025-07-07 19:50:24,0.00273 cores
2025-07-07 19:50:25,0.00269 cores
2025-07-07 19:50:26,0.00269 cores
