"Time","{instance=""worker3"", interface=""lxc1b3db75e6ca7""}"
2025-07-07 19:49:00,421 B/s
2025-07-07 19:49:01,412 B/s
2025-07-07 19:49:02,404 B/s
2025-07-07 19:49:03,396 B/s
2025-07-07 19:49:04,388 B/s
2025-07-07 19:49:05,490 B/s
2025-07-07 19:49:06,490 B/s
2025-07-07 19:49:07,490 B/s
2025-07-07 19:49:08,490 B/s
2025-07-07 19:49:09,490 B/s
2025-07-07 19:49:10,490 B/s
2025-07-07 19:49:11,490 B/s
2025-07-07 19:49:12,490 B/s
2025-07-07 19:49:13,490 B/s
2025-07-07 19:49:14,490 B/s
2025-07-07 19:49:15,380 B/s
2025-07-07 19:49:16,388 B/s
2025-07-07 19:49:17,396 B/s
2025-07-07 19:49:18,404 B/s
2025-07-07 19:49:19,412 B/s
2025-07-07 19:49:20,481 B/s
2025-07-07 19:49:21,481 B/s
2025-07-07 19:49:22,481 B/s
2025-07-07 19:49:23,481 B/s
2025-07-07 19:49:24,481 B/s
2025-07-07 19:49:25,481 B/s
2025-07-07 19:49:26,481 B/s
2025-07-07 19:49:27,481 B/s
2025-07-07 19:49:28,481 B/s
2025-07-07 19:49:29,481 B/s
2025-07-07 19:49:30,409 B/s
2025-07-07 19:49:31,401 B/s
2025-07-07 19:49:32,393 B/s
2025-07-07 19:49:33,385 B/s
2025-07-07 19:49:34,377 B/s
2025-07-07 19:49:35,1.28 kB/s
2025-07-07 19:49:36,1.28 kB/s
2025-07-07 19:49:37,1.28 kB/s
2025-07-07 19:49:38,1.28 kB/s
2025-07-07 19:49:39,1.28 kB/s
2025-07-07 19:49:40,1.28 kB/s
2025-07-07 19:49:41,1.28 kB/s
2025-07-07 19:49:42,1.28 kB/s
2025-07-07 19:49:43,1.28 kB/s
2025-07-07 19:49:44,1.28 kB/s
2025-07-07 19:49:45,2.67 kB/s
2025-07-07 19:49:46,2.72 kB/s
2025-07-07 19:49:47,2.78 kB/s
2025-07-07 19:49:48,2.83 kB/s
2025-07-07 19:49:49,2.89 kB/s
