"Time","{instance=""worker3"", interface=""lxc1b3db75e6ca7""}"
2025-07-07 19:49:00,413 B/s
2025-07-07 19:49:01,404 B/s
2025-07-07 19:49:02,396 B/s
2025-07-07 19:49:03,388 B/s
2025-07-07 19:49:04,380 B/s
2025-07-07 19:49:05,488 B/s
2025-07-07 19:49:06,488 B/s
2025-07-07 19:49:07,488 B/s
2025-07-07 19:49:08,488 B/s
2025-07-07 19:49:09,488 B/s
2025-07-07 19:49:10,488 B/s
2025-07-07 19:49:11,488 B/s
2025-07-07 19:49:12,488 B/s
2025-07-07 19:49:13,488 B/s
2025-07-07 19:49:14,488 B/s
2025-07-07 19:49:15,386 B/s
2025-07-07 19:49:16,395 B/s
2025-07-07 19:49:17,403 B/s
2025-07-07 19:49:18,411 B/s
2025-07-07 19:49:19,419 B/s
2025-07-07 19:49:20,488 B/s
2025-07-07 19:49:21,488 B/s
2025-07-07 19:49:22,488 B/s
2025-07-07 19:49:23,488 B/s
2025-07-07 19:49:24,488 B/s
2025-07-07 19:49:25,488 B/s
2025-07-07 19:49:26,488 B/s
2025-07-07 19:49:27,488 B/s
2025-07-07 19:49:28,488 B/s
2025-07-07 19:49:29,488 B/s
2025-07-07 19:49:30,415 B/s
2025-07-07 19:49:31,407 B/s
2025-07-07 19:49:32,399 B/s
2025-07-07 19:49:33,391 B/s
2025-07-07 19:49:34,383 B/s
2025-07-07 19:49:35,195 kB/s
2025-07-07 19:49:36,199 kB/s
2025-07-07 19:49:37,202 kB/s
2025-07-07 19:49:38,206 kB/s
2025-07-07 19:49:39,210 kB/s
2025-07-07 19:49:40,214 kB/s
2025-07-07 19:49:41,218 kB/s
2025-07-07 19:49:42,222 kB/s
2025-07-07 19:49:43,225 kB/s
2025-07-07 19:49:44,229 kB/s
2025-07-07 19:49:45,535 kB/s
2025-07-07 19:49:46,548 kB/s
2025-07-07 19:49:47,561 kB/s
2025-07-07 19:49:48,574 kB/s
2025-07-07 19:49:49,588 kB/s
2025-07-07 19:49:50,601 kB/s
2025-07-07 19:49:51,614 kB/s
2025-07-07 19:49:52,627 kB/s
2025-07-07 19:49:53,640 kB/s
2025-07-07 19:49:54,653 kB/s
2025-07-07 19:49:55,666 kB/s
2025-07-07 19:49:56,679 kB/s
2025-07-07 19:49:57,693 kB/s
2025-07-07 19:49:58,706 kB/s
2025-07-07 19:49:59,719 kB/s
2025-07-07 19:50:00,615 kB/s
2025-07-07 19:50:01,615 kB/s
2025-07-07 19:50:02,615 kB/s
2025-07-07 19:50:03,615 kB/s
2025-07-07 19:50:04,615 kB/s
2025-07-07 19:50:05,1.11 MB/s
2025-07-07 19:50:06,1.13 MB/s
2025-07-07 19:50:07,1.16 MB/s
2025-07-07 19:50:08,1.18 MB/s
2025-07-07 19:50:09,1.20 MB/s
2025-07-07 19:50:10,1.22 MB/s
2025-07-07 19:50:11,1.24 MB/s
2025-07-07 19:50:12,1.27 MB/s
2025-07-07 19:50:13,1.29 MB/s
2025-07-07 19:50:14,1.31 MB/s
2025-07-07 19:50:15,1.40 MB/s
2025-07-07 19:50:16,1.43 MB/s
2025-07-07 19:50:17,1.46 MB/s
2025-07-07 19:50:18,1.49 MB/s
2025-07-07 19:50:19,1.52 MB/s
2025-07-07 19:50:20,1.55 MB/s
2025-07-07 19:50:21,1.58 MB/s
2025-07-07 19:50:22,1.61 MB/s
2025-07-07 19:50:23,1.64 MB/s
2025-07-07 19:50:24,1.67 MB/s
2025-07-07 19:50:25,1.70 MB/s
2025-07-07 19:50:26,1.73 MB/s
2025-07-07 19:50:27,1.76 MB/s
2025-07-07 19:50:28,1.79 MB/s
2025-07-07 19:50:29,1.79 MB/s
2025-07-07 19:50:30,1.53 MB/s
2025-07-07 19:50:31,1.50 MB/s
2025-07-07 19:50:32,1.47 MB/s
2025-07-07 19:50:33,1.44 MB/s
2025-07-07 19:50:34,1.41 MB/s
2025-07-07 19:50:35,1.72 MB/s
2025-07-07 19:50:36,1.72 MB/s
2025-07-07 19:50:37,1.72 MB/s
2025-07-07 19:50:38,1.72 MB/s
2025-07-07 19:50:39,1.72 MB/s
2025-07-07 19:50:40,1.72 MB/s
2025-07-07 19:50:41,1.72 MB/s
2025-07-07 19:50:42,1.72 MB/s
2025-07-07 19:50:43,1.72 MB/s
2025-07-07 19:50:44,1.72 MB/s
2025-07-07 19:50:45,1.35 MB/s
2025-07-07 19:50:46,1.38 MB/s
2025-07-07 19:50:47,1.41 MB/s
2025-07-07 19:50:48,1.44 MB/s
2025-07-07 19:50:49,1.46 MB/s
2025-07-07 19:50:50,1.72 MB/s
2025-07-07 19:50:51,1.72 MB/s
2025-07-07 19:50:52,1.72 MB/s
2025-07-07 19:50:53,1.72 MB/s
2025-07-07 19:50:54,1.72 MB/s
2025-07-07 19:50:55,1.72 MB/s
2025-07-07 19:50:56,1.72 MB/s
2025-07-07 19:50:57,1.72 MB/s
2025-07-07 19:50:58,1.72 MB/s
2025-07-07 19:50:59,1.72 MB/s
2025-07-07 19:51:00,1.47 MB/s
2025-07-07 19:51:01,1.44 MB/s
2025-07-07 19:51:02,1.41 MB/s
2025-07-07 19:51:03,1.38 MB/s
2025-07-07 19:51:04,1.35 MB/s
2025-07-07 19:51:05,1.20 MB/s
2025-07-07 19:51:06,1.20 MB/s
2025-07-07 19:51:07,1.20 MB/s
2025-07-07 19:51:08,1.20 MB/s
2025-07-07 19:51:09,1.20 MB/s
2025-07-07 19:51:10,1.20 MB/s
2025-07-07 19:51:11,1.20 MB/s
2025-07-07 19:51:12,1.20 MB/s
2025-07-07 19:51:13,1.20 MB/s
2025-07-07 19:51:14,1.20 MB/s
2025-07-07 19:51:15,505 kB/s
2025-07-07 19:51:16,516 kB/s
2025-07-07 19:51:17,527 kB/s
2025-07-07 19:51:18,537 kB/s
2025-07-07 19:51:19,548 kB/s
2025-07-07 19:51:20,643 kB/s
2025-07-07 19:51:21,643 kB/s
2025-07-07 19:51:22,643 kB/s
2025-07-07 19:51:23,643 kB/s
2025-07-07 19:51:24,643 kB/s
2025-07-07 19:51:25,643 kB/s
2025-07-07 19:51:26,643 kB/s
2025-07-07 19:51:27,643 kB/s
2025-07-07 19:51:28,643 kB/s
