"Time","image-stats-746c9bfb67-bvjsp"
2025-07-07 19:49:00,31.7 MiB
2025-07-07 19:49:01,31.7 MiB
2025-07-07 19:49:02,31.7 MiB
2025-07-07 19:49:03,31.7 MiB
2025-07-07 19:49:04,31.7 MiB
2025-07-07 19:49:05,31.7 MiB
2025-07-07 19:49:06,31.7 MiB
2025-07-07 19:49:07,31.7 MiB
2025-07-07 19:49:08,31.7 MiB
2025-07-07 19:49:09,31.7 MiB
2025-07-07 19:49:10,31.7 MiB
2025-07-07 19:49:11,31.7 MiB
2025-07-07 19:49:12,31.7 MiB
2025-07-07 19:49:13,31.7 MiB
2025-07-07 19:49:14,31.7 MiB
2025-07-07 19:49:15,31.7 MiB
2025-07-07 19:49:16,31.7 MiB
2025-07-07 19:49:17,31.7 MiB
2025-07-07 19:49:18,31.7 MiB
2025-07-07 19:49:19,31.7 MiB
2025-07-07 19:49:20,31.7 MiB
2025-07-07 19:49:21,31.7 MiB
2025-07-07 19:49:22,31.7 MiB
2025-07-07 19:49:23,31.7 MiB
2025-07-07 19:49:24,31.7 MiB
2025-07-07 19:49:25,31.8 MiB
2025-07-07 19:49:26,31.8 MiB
2025-07-07 19:49:27,31.8 MiB
2025-07-07 19:49:28,31.8 MiB
2025-07-07 19:49:29,31.8 MiB
2025-07-07 19:49:30,31.8 MiB
2025-07-07 19:49:31,31.8 MiB
2025-07-07 19:49:32,31.8 MiB
2025-07-07 19:49:33,31.8 MiB
2025-07-07 19:49:34,31.8 MiB
2025-07-07 19:49:35,31.8 MiB
2025-07-07 19:49:36,31.8 MiB
2025-07-07 19:49:37,31.8 MiB
2025-07-07 19:49:38,31.8 MiB
2025-07-07 19:49:39,31.8 MiB
2025-07-07 19:49:40,31.8 MiB
2025-07-07 19:49:41,31.8 MiB
2025-07-07 19:49:42,34.2 MiB
2025-07-07 19:49:43,34.2 MiB
2025-07-07 19:49:44,34.2 MiB
2025-07-07 19:49:45,34.2 MiB
2025-07-07 19:49:46,34.2 MiB
2025-07-07 19:49:47,34.2 MiB
2025-07-07 19:49:48,34.2 MiB
2025-07-07 19:49:49,34.2 MiB
2025-07-07 19:49:50,34.2 MiB
2025-07-07 19:49:51,34.2 MiB
2025-07-07 19:49:52,34.2 MiB
2025-07-07 19:49:53,34.2 MiB
2025-07-07 19:49:54,34.2 MiB
2025-07-07 19:49:55,34.2 MiB
2025-07-07 19:49:56,34.2 MiB
2025-07-07 19:49:57,34.2 MiB
2025-07-07 19:49:58,34.2 MiB
2025-07-07 19:49:59,34.2 MiB
2025-07-07 19:50:00,34.2 MiB
2025-07-07 19:50:01,34.2 MiB
2025-07-07 19:50:02,34.2 MiB
2025-07-07 19:50:03,34.2 MiB
2025-07-07 19:50:04,34.7 MiB
2025-07-07 19:50:05,34.7 MiB
2025-07-07 19:50:06,34.7 MiB
2025-07-07 19:50:07,34.7 MiB
2025-07-07 19:50:08,34.7 MiB
2025-07-07 19:50:09,34.7 MiB
2025-07-07 19:50:10,34.7 MiB
2025-07-07 19:50:11,34.7 MiB
2025-07-07 19:50:12,34.7 MiB
2025-07-07 19:50:13,34.7 MiB
2025-07-07 19:50:14,34.7 MiB
2025-07-07 19:50:15,34.7 MiB
2025-07-07 19:50:16,34.7 MiB
2025-07-07 19:50:17,34.7 MiB
2025-07-07 19:50:18,34.7 MiB
2025-07-07 19:50:19,35.0 MiB
2025-07-07 19:50:20,35.0 MiB
2025-07-07 19:50:21,35.0 MiB
2025-07-07 19:50:22,35.0 MiB
2025-07-07 19:50:23,35.0 MiB
2025-07-07 19:50:24,35.0 MiB
2025-07-07 19:50:25,35.0 MiB
2025-07-07 19:50:26,35.0 MiB
2025-07-07 19:50:27,35.0 MiB
2025-07-07 19:50:28,35.0 MiB
2025-07-07 19:50:29,35.0 MiB
2025-07-07 19:50:30,35.0 MiB
2025-07-07 19:50:31,35.0 MiB
2025-07-07 19:50:32,35.0 MiB
2025-07-07 19:50:33,35.3 MiB
2025-07-07 19:50:34,35.3 MiB
2025-07-07 19:50:35,35.3 MiB
2025-07-07 19:50:36,35.3 MiB
2025-07-07 19:50:37,35.3 MiB
2025-07-07 19:50:38,35.3 MiB
2025-07-07 19:50:39,35.3 MiB
2025-07-07 19:50:40,35.3 MiB
2025-07-07 19:50:41,35.3 MiB
2025-07-07 19:50:42,35.3 MiB
2025-07-07 19:50:43,35.3 MiB
2025-07-07 19:50:44,35.3 MiB
2025-07-07 19:50:45,36.2 MiB
2025-07-07 19:50:46,36.2 MiB
2025-07-07 19:50:47,36.2 MiB
2025-07-07 19:50:48,36.2 MiB
2025-07-07 19:50:49,36.2 MiB
2025-07-07 19:50:50,36.2 MiB
