"Time","image-preprocess-5f55954c55-gs52z"
2025-07-07 15:13:20,0.00265 cores
2025-07-07 15:13:22,0.00281 cores
2025-07-07 15:13:24,0.00296 cores
2025-07-07 15:13:26,0.00311 cores
2025-07-07 15:13:28,0.00327 cores
2025-07-07 15:13:30,0.00342 cores
2025-07-07 15:13:32,0.00460 cores
2025-07-07 15:13:34,0.00481 cores
2025-07-07 15:13:36,0.00501 cores
2025-07-07 15:13:38,0.00522 cores
2025-07-07 15:13:40,0.00542 cores
2025-07-07 15:13:42,0.00563 cores
2025-07-07 15:13:44,0.00565 cores
2025-07-07 15:13:46,0.00585 cores
2025-07-07 15:13:48,0.00595 cores
2025-07-07 15:13:50,0.00595 cores
2025-07-07 15:13:52,0.00595 cores
2025-07-07 15:13:54,0.00504 cores
2025-07-07 15:13:56,0.00423 cores
2025-07-07 15:13:58,0.00423 cores
2025-07-07 15:14:00,0.00423 cores
2025-07-07 15:14:02,0.00364 cores
2025-07-07 15:14:04,0.00379 cores
2025-07-07 15:14:06,0.00445 cores
2025-07-07 15:14:08,0.00445 cores
2025-07-07 15:14:10,0.00445 cores
2025-07-07 15:14:12,0.00445 cores
2025-07-07 15:14:14,0.00445 cores
2025-07-07 15:14:16,0.00445 cores
2025-07-07 15:14:18,0.00375 cores
2025-07-07 15:14:20,0.00306 cores
2025-07-07 15:14:22,0.00306 cores
2025-07-07 15:14:24,0.00306 cores
2025-07-07 15:14:26,0.00306 cores
2025-07-07 15:14:28,0.00306 cores
2025-07-07 15:14:30,0.00441 cores
2025-07-07 15:14:32,0.00423 cores
2025-07-07 15:14:34,0.00423 cores
2025-07-07 15:14:36,0.00423 cores
2025-07-07 15:14:38,0.00423 cores
2025-07-07 15:14:40,0.00423 cores
2025-07-07 15:14:42,0.00423 cores
2025-07-07 15:14:44,0.00633 cores
2025-07-07 15:14:46,0.00658 cores
2025-07-07 15:14:48,0.00769 cores
2025-07-07 15:14:50,0.00769 cores
2025-07-07 15:14:52,0.00769 cores
2025-07-07 15:14:54,0.00769 cores
2025-07-07 15:14:56,0.00824 cores
2025-07-07 15:14:58,0.00824 cores
2025-07-07 15:15:00,0.00824 cores
2025-07-07 15:15:02,0.00835 cores
2025-07-07 15:15:04,0.00869 cores
2025-07-07 15:15:06,0.01000 cores
2025-07-07 15:15:08,0.01000 cores
2025-07-07 15:15:10,0.00857 cores
2025-07-07 15:15:12,0.00824 cores
2025-07-07 15:15:14,0.0100 cores
2025-07-07 15:15:16,0.0100 cores
2025-07-07 15:15:18,0.0100 cores
2025-07-07 15:15:20,0.00997 cores
2025-07-07 15:15:22,0.00997 cores
2025-07-07 15:15:24,0.00997 cores
2025-07-07 15:15:26,0.00997 cores
2025-07-07 15:15:28,0.00994 cores
2025-07-07 15:15:30,0.00998 cores
2025-07-07 15:15:32,0.00998 cores
2025-07-07 15:15:34,0.00998 cores
2025-07-07 15:15:36,0.00998 cores
2025-07-07 15:15:38,0.00998 cores
2025-07-07 15:15:40,0.00998 cores
2025-07-07 15:15:42,0.0100 cores
2025-07-07 15:15:44,0.00999 cores
2025-07-07 15:15:46,0.00999 cores
2025-07-07 15:15:48,0.00999 cores
2025-07-07 15:15:50,0.00999 cores
2025-07-07 15:15:52,0.00999 cores
2025-07-07 15:15:54,0.0100 cores
2025-07-07 15:15:56,0.00814 cores
2025-07-07 15:15:58,0.00848 cores
2025-07-07 15:16:00,0.01000 cores
2025-07-07 15:16:02,0.01000 cores
2025-07-07 15:16:04,0.01000 cores
2025-07-07 15:16:06,0.01000 cores
2025-07-07 15:16:08,0.00853 cores
2025-07-07 15:16:10,0.00998 cores
2025-07-07 15:16:12,0.00998 cores
2025-07-07 15:16:14,0.0100 cores
2025-07-07 15:16:16,0.0100 cores
2025-07-07 15:16:18,0.0100 cores
2025-07-07 15:16:20,0.0100 cores
2025-07-07 15:16:22,0.0100 cores
2025-07-07 15:16:24,0.0100 cores
2025-07-07 15:16:26,0.00836 cores
2025-07-07 15:16:28,0.0100 cores
2025-07-07 15:16:30,0.0100 cores
2025-07-07 15:16:32,0.0100 cores
2025-07-07 15:16:34,0.0100 cores
2025-07-07 15:16:36,0.0100 cores
2025-07-07 15:16:38,0.0100 cores
2025-07-07 15:16:40,0.0100 cores
2025-07-07 15:16:42,0.00988 cores
2025-07-07 15:16:44,0.00988 cores
2025-07-07 15:16:46,0.00988 cores
2025-07-07 15:16:48,0.00988 cores
2025-07-07 15:16:50,0.00988 cores
2025-07-07 15:16:52,0.00988 cores
2025-07-07 15:16:54,0.00986 cores
2025-07-07 15:16:56,0.00986 cores
2025-07-07 15:16:58,0.00994 cores
2025-07-07 15:17:00,0.00994 cores
2025-07-07 15:17:02,0.00994 cores
2025-07-07 15:17:04,0.00994 cores
2025-07-07 15:17:06,0.00994 cores
2025-07-07 15:17:08,0.00994 cores
2025-07-07 15:17:10,0.00837 cores
2025-07-07 15:17:12,0.00989 cores
2025-07-07 15:17:14,0.00992 cores
2025-07-07 15:17:16,0.00992 cores
2025-07-07 15:17:18,0.00992 cores
2025-07-07 15:17:20,0.00992 cores
2025-07-07 15:17:22,0.00992 cores
2025-07-07 15:17:24,0.00998 cores
2025-07-07 15:17:26,0.00998 cores
2025-07-07 15:17:28,0.0101 cores
2025-07-07 15:17:30,0.0101 cores
2025-07-07 15:17:32,0.0101 cores
2025-07-07 15:17:34,0.0101 cores
2025-07-07 15:17:36,0.0101 cores
2025-07-07 15:17:38,0.0101 cores
2025-07-07 15:17:40,0.00844 cores
2025-07-07 15:17:42,0.0100 cores
2025-07-07 15:17:44,0.0100 cores
2025-07-07 15:17:46,0.0100 cores
2025-07-07 15:17:48,0.0100 cores
2025-07-07 15:17:50,0.0100 cores
2025-07-07 15:17:52,0.0100 cores
2025-07-07 15:17:54,0.0100 cores
2025-07-07 15:17:56,0.0100 cores
2025-07-07 15:17:58,0.00848 cores
2025-07-07 15:18:00,0.00815 cores
2025-07-07 15:18:02,0.00781 cores
2025-07-07 15:18:04,0.00748 cores
2025-07-07 15:18:06,0.00999 cores
2025-07-07 15:18:08,0.00999 cores
2025-07-07 15:18:10,0.00999 cores
2025-07-07 15:18:12,0.00999 cores
2025-07-07 15:18:14,0.00992 cores
2025-07-07 15:18:16,0.00996 cores
2025-07-07 15:18:18,0.00996 cores
2025-07-07 15:18:20,0.00996 cores
2025-07-07 15:18:22,0.00996 cores
2025-07-07 15:18:24,0.00998 cores
2025-07-07 15:18:26,0.00998 cores
2025-07-07 15:18:28,0.00998 cores
2025-07-07 15:18:30,0.00998 cores
2025-07-07 15:18:32,0.00997 cores
2025-07-07 15:18:34,0.00997 cores
2025-07-07 15:18:36,0.00997 cores
2025-07-07 15:18:38,0.00997 cores
2025-07-07 15:18:40,0.00997 cores
2025-07-07 15:18:42,0.00734 cores
2025-07-07 15:18:44,0.00768 cores
2025-07-07 15:18:46,0.00801 cores
2025-07-07 15:18:48,0.00673 cores
2025-07-07 15:18:50,0.00806 cores
2025-07-07 15:18:52,0.00772 cores
2025-07-07 15:18:54,0.00739 cores
2025-07-07 15:18:56,0.00706 cores
2025-07-07 15:18:58,0.00672 cores
2025-07-07 15:19:00,0.00639 cores
2025-07-07 15:19:02,0.00606 cores
2025-07-07 15:19:04,0.00572 cores
2025-07-07 15:19:06,0.00999 cores
2025-07-07 15:19:08,0.00999 cores
2025-07-07 15:19:10,0.00999 cores
2025-07-07 15:19:12,0.00999 cores
2025-07-07 15:19:14,0.00999 cores
2025-07-07 15:19:16,0.0100 cores
2025-07-07 15:19:18,0.0100 cores
2025-07-07 15:19:20,0.0100 cores
2025-07-07 15:19:22,0.00997 cores
2025-07-07 15:19:24,0.00997 cores
2025-07-07 15:19:26,0.00997 cores
2025-07-07 15:19:28,0.00997 cores
2025-07-07 15:19:30,0.00997 cores
2025-07-07 15:19:32,0.00603 cores
2025-07-07 15:19:34,0.00636 cores
2025-07-07 15:19:36,0.00669 cores
2025-07-07 15:19:38,0.00695 cores
2025-07-07 15:19:40,0.00728 cores
2025-07-07 15:19:42,0.00761 cores
2025-07-07 15:19:44,0.00794 cores
2025-07-07 15:19:46,0.00989 cores
2025-07-07 15:19:48,0.00989 cores
2025-07-07 15:19:50,0.00989 cores
2025-07-07 15:19:52,0.00989 cores
2025-07-07 15:19:54,0.00989 cores
2025-07-07 15:19:56,0.00998 cores
2025-07-07 15:19:58,0.00998 cores
2025-07-07 15:20:00,0.00998 cores
2025-07-07 15:20:02,0.00998 cores
2025-07-07 15:20:04,0.00998 cores
2025-07-07 15:20:06,0.0100 cores
2025-07-07 15:20:08,0.0100 cores
2025-07-07 15:20:10,0.0100 cores
2025-07-07 15:20:12,0.0100 cores
2025-07-07 15:20:14,0.0100 cores
2025-07-07 15:20:16,0.0100 cores
2025-07-07 15:20:18,0.0100 cores
2025-07-07 15:20:20,0.0100 cores
2025-07-07 15:20:22,0.0101 cores
2025-07-07 15:20:24,0.0101 cores
2025-07-07 15:20:26,0.0101 cores
2025-07-07 15:20:28,0.0101 cores
2025-07-07 15:20:30,0.0101 cores
2025-07-07 15:20:32,0.0100 cores
2025-07-07 15:20:34,0.0100 cores
2025-07-07 15:20:36,0.0100 cores
2025-07-07 15:20:38,0.00999 cores
2025-07-07 15:20:40,0.00999 cores
2025-07-07 15:20:42,0.00999 cores
2025-07-07 15:20:44,0.00999 cores
2025-07-07 15:20:46,0.00999 cores
2025-07-07 15:20:48,0.00999 cores
2025-07-07 15:20:50,0.00997 cores
2025-07-07 15:20:52,0.00997 cores
2025-07-07 15:20:54,0.00997 cores
2025-07-07 15:20:56,0.00994 cores
2025-07-07 15:20:58,0.00994 cores
2025-07-07 15:21:00,0.00996 cores
2025-07-07 15:21:02,0.00996 cores
2025-07-07 15:21:04,0.00996 cores
2025-07-07 15:21:06,0.00996 cores
2025-07-07 15:21:08,0.00996 cores
2025-07-07 15:21:10,0.00996 cores
2025-07-07 15:21:12,0.00796 cores
2025-07-07 15:21:14,0.00829 cores
2025-07-07 15:21:16,0.00991 cores
2025-07-07 15:21:18,0.00991 cores
2025-07-07 15:21:20,0.00991 cores
2025-07-07 15:21:22,0.00991 cores
2025-07-07 15:21:24,0.00991 cores
2025-07-07 15:21:26,0.00993 cores
2025-07-07 15:21:28,0.00993 cores
2025-07-07 15:21:30,0.00993 cores
2025-07-07 15:21:32,0.00800 cores
2025-07-07 15:21:34,0.00833 cores
2025-07-07 15:21:36,0.00866 cores
2025-07-07 15:21:38,0.00867 cores
2025-07-07 15:21:40,0.0100 cores
2025-07-07 15:21:42,0.0100 cores
2025-07-07 15:21:44,0.0100 cores
2025-07-07 15:21:46,0.0100 cores
2025-07-07 15:21:48,0.0100 cores
2025-07-07 15:21:50,0.0101 cores
2025-07-07 15:21:52,0.0101 cores
2025-07-07 15:21:54,0.0101 cores
2025-07-07 15:21:56,0.0100 cores
2025-07-07 15:21:58,0.0100 cores
2025-07-07 15:22:00,0.0101 cores
2025-07-07 15:22:02,0.0101 cores
2025-07-07 15:22:04,0.0101 cores
2025-07-07 15:22:06,0.0101 cores
2025-07-07 15:22:08,0.0101 cores
2025-07-07 15:22:10,0.0101 cores
2025-07-07 15:22:12,0.0101 cores
2025-07-07 15:22:14,0.00830 cores
2025-07-07 15:22:16,0.00996 cores
2025-07-07 15:22:18,0.00996 cores
2025-07-07 15:22:20,0.00996 cores
2025-07-07 15:22:22,0.00996 cores
2025-07-07 15:22:24,0.00996 cores
2025-07-07 15:22:26,0.00981 cores
2025-07-07 15:22:28,0.00988 cores
2025-07-07 15:22:30,0.00988 cores
2025-07-07 15:22:32,0.00988 cores
2025-07-07 15:22:34,0.00988 cores
2025-07-07 15:22:36,0.00988 cores
2025-07-07 15:22:38,0.00988 cores
2025-07-07 15:22:40,0.00983 cores
2025-07-07 15:22:42,0.00983 cores
2025-07-07 15:22:44,0.00991 cores
2025-07-07 15:22:46,0.00991 cores
