"Time","image-stats-746c9bfb67-ttxt9"
2025-07-07 15:12:48,0 B
2025-07-07 15:12:50,0 B
2025-07-07 15:12:52,0 B
2025-07-07 15:12:54,0 B
2025-07-07 15:12:56,0 B
2025-07-07 15:12:58,0 B
2025-07-07 15:13:00,0 B
2025-07-07 15:13:02,0 B
2025-07-07 15:13:04,300 KiB
2025-07-07 15:13:06,300 KiB
2025-07-07 15:13:08,300 KiB
2025-07-07 15:13:10,300 KiB
2025-07-07 15:13:12,300 KiB
2025-07-07 15:13:14,300 KiB
2025-07-07 15:13:16,300 KiB
2025-07-07 15:13:18,31.3 MiB
2025-07-07 15:13:20,31.3 MiB
2025-07-07 15:13:22,31.3 MiB
2025-07-07 15:13:24,31.3 MiB
2025-07-07 15:13:26,31.3 MiB
2025-07-07 15:13:28,31.3 MiB
2025-07-07 15:13:30,31.3 MiB
2025-07-07 15:13:32,31.3 MiB
2025-07-07 15:13:34,31.3 MiB
2025-07-07 15:13:36,31.3 MiB
2025-07-07 15:13:38,31.3 MiB
2025-07-07 15:13:40,31.3 MiB
2025-07-07 15:13:42,31.3 MiB
2025-07-07 15:13:44,31.3 MiB
2025-07-07 15:13:46,31.3 MiB
2025-07-07 15:13:48,31.3 MiB
2025-07-07 15:13:50,31.3 MiB
2025-07-07 15:13:52,31.3 MiB
2025-07-07 15:13:54,31.3 MiB
2025-07-07 15:13:56,31.3 MiB
2025-07-07 15:13:58,31.3 MiB
2025-07-07 15:14:00,31.5 MiB
2025-07-07 15:14:02,31.5 MiB
2025-07-07 15:14:04,31.5 MiB
2025-07-07 15:14:06,31.5 MiB
2025-07-07 15:14:08,31.5 MiB
2025-07-07 15:14:10,31.5 MiB
2025-07-07 15:14:12,31.5 MiB
2025-07-07 15:14:14,31.5 MiB
2025-07-07 15:14:16,31.5 MiB
2025-07-07 15:14:18,31.5 MiB
2025-07-07 15:14:20,31.5 MiB
2025-07-07 15:14:22,31.5 MiB
2025-07-07 15:14:24,31.5 MiB
2025-07-07 15:14:26,31.7 MiB
2025-07-07 15:14:28,31.7 MiB
2025-07-07 15:14:30,31.7 MiB
2025-07-07 15:14:32,31.7 MiB
2025-07-07 15:14:34,31.7 MiB
2025-07-07 15:14:36,31.7 MiB
2025-07-07 15:14:38,31.7 MiB
2025-07-07 15:14:40,32.9 MiB
2025-07-07 15:14:42,32.9 MiB
2025-07-07 15:14:44,32.9 MiB
2025-07-07 15:14:46,32.9 MiB
2025-07-07 15:14:48,32.9 MiB
2025-07-07 15:14:50,32.9 MiB
2025-07-07 15:14:52,32.9 MiB
2025-07-07 15:14:54,32.9 MiB
2025-07-07 15:14:56,32.9 MiB
2025-07-07 15:14:58,32.9 MiB
2025-07-07 15:15:00,32.9 MiB
2025-07-07 15:15:02,32.9 MiB
2025-07-07 15:15:04,32.9 MiB
2025-07-07 15:15:06,32.9 MiB
2025-07-07 15:15:08,32.9 MiB
2025-07-07 15:15:10,33.3 MiB
2025-07-07 15:15:12,33.3 MiB
2025-07-07 15:15:14,33.3 MiB
2025-07-07 15:15:16,33.3 MiB
2025-07-07 15:15:18,33.3 MiB
2025-07-07 15:15:20,33.3 MiB
2025-07-07 15:15:22,33.3 MiB
2025-07-07 15:15:24,33.3 MiB
2025-07-07 15:15:26,33.7 MiB
2025-07-07 15:15:28,33.7 MiB
2025-07-07 15:15:30,33.7 MiB
2025-07-07 15:15:32,33.7 MiB
2025-07-07 15:15:34,33.7 MiB
2025-07-07 15:15:36,33.7 MiB
2025-07-07 15:15:38,34.0 MiB
2025-07-07 15:15:40,34.0 MiB
2025-07-07 15:15:42,34.0 MiB
2025-07-07 15:15:44,34.0 MiB
2025-07-07 15:15:46,34.0 MiB
2025-07-07 15:15:48,34.0 MiB
2025-07-07 15:15:50,34.0 MiB
2025-07-07 15:15:52,34.0 MiB
2025-07-07 15:15:54,34.0 MiB
2025-07-07 15:15:56,34.0 MiB
2025-07-07 15:15:58,34.0 MiB
2025-07-07 15:16:00,34.0 MiB
2025-07-07 15:16:02,34.0 MiB
2025-07-07 15:16:04,34.0 MiB
2025-07-07 15:16:06,34.0 MiB
2025-07-07 15:16:08,34.0 MiB
2025-07-07 15:16:10,34.0 MiB
2025-07-07 15:16:12,34.0 MiB
2025-07-07 15:16:14,34.0 MiB
2025-07-07 15:16:16,34.1 MiB
2025-07-07 15:16:18,34.1 MiB
2025-07-07 15:16:20,34.1 MiB
2025-07-07 15:16:22,34.1 MiB
2025-07-07 15:16:24,34.1 MiB
2025-07-07 15:16:26,34.1 MiB
2025-07-07 15:16:28,34.1 MiB
2025-07-07 15:16:30,34.1 MiB
2025-07-07 15:16:32,34.1 MiB
2025-07-07 15:16:34,34.2 MiB
2025-07-07 15:16:36,34.2 MiB
2025-07-07 15:16:38,34.2 MiB
2025-07-07 15:16:40,34.2 MiB
2025-07-07 15:16:42,34.2 MiB
2025-07-07 15:16:44,34.2 MiB
2025-07-07 15:16:46,34.2 MiB
2025-07-07 15:16:48,34.4 MiB
2025-07-07 15:16:50,34.4 MiB
2025-07-07 15:16:52,34.4 MiB
2025-07-07 15:16:54,34.4 MiB
2025-07-07 15:16:56,34.4 MiB
2025-07-07 15:16:58,34.4 MiB
2025-07-07 15:17:00,34.4 MiB
2025-07-07 15:17:02,34.4 MiB
2025-07-07 15:17:04,34.4 MiB
2025-07-07 15:17:06,34.4 MiB
2025-07-07 15:17:08,34.4 MiB
2025-07-07 15:17:10,34.4 MiB
2025-07-07 15:17:12,34.4 MiB
2025-07-07 15:17:14,34.4 MiB
2025-07-07 15:17:16,34.4 MiB
2025-07-07 15:17:18,34.4 MiB
2025-07-07 15:17:20,34.4 MiB
2025-07-07 15:17:22,34.4 MiB
2025-07-07 15:17:24,34.4 MiB
2025-07-07 15:17:26,34.4 MiB
2025-07-07 15:17:28,34.4 MiB
2025-07-07 15:17:30,34.5 MiB
2025-07-07 15:17:32,34.5 MiB
2025-07-07 15:17:34,34.5 MiB
2025-07-07 15:17:36,34.5 MiB
2025-07-07 15:17:38,34.5 MiB
2025-07-07 15:17:40,34.5 MiB
2025-07-07 15:17:42,34.6 MiB
2025-07-07 15:17:44,34.6 MiB
2025-07-07 15:17:46,34.6 MiB
2025-07-07 15:17:48,34.6 MiB
2025-07-07 15:17:50,34.6 MiB
2025-07-07 15:17:52,34.6 MiB
2025-07-07 15:17:54,34.6 MiB
2025-07-07 15:17:56,34.6 MiB
2025-07-07 15:17:58,34.6 MiB
2025-07-07 15:18:00,34.6 MiB
2025-07-07 15:18:02,34.6 MiB
2025-07-07 15:18:04,34.6 MiB
2025-07-07 15:18:06,34.6 MiB
2025-07-07 15:18:08,34.6 MiB
2025-07-07 15:18:10,34.6 MiB
2025-07-07 15:18:12,34.6 MiB
2025-07-07 15:18:14,34.6 MiB
2025-07-07 15:18:16,34.7 MiB
2025-07-07 15:18:18,34.7 MiB
2025-07-07 15:18:20,34.7 MiB
2025-07-07 15:18:22,34.7 MiB
2025-07-07 15:18:24,34.7 MiB
2025-07-07 15:18:26,34.7 MiB
2025-07-07 15:18:28,34.7 MiB
2025-07-07 15:18:30,34.8 MiB
2025-07-07 15:18:32,34.8 MiB
2025-07-07 15:18:34,34.8 MiB
2025-07-07 15:18:36,34.8 MiB
2025-07-07 15:18:38,34.8 MiB
