"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:19:03,61.0 B/s
2025-07-07 16:19:04,64.3 B/s
2025-07-07 16:19:05,67.7 B/s
2025-07-07 16:19:06,71.0 B/s
2025-07-07 16:19:07,74.4 B/s
2025-07-07 16:19:08,77.7 B/s
2025-07-07 16:19:09,81.0 B/s
2025-07-07 16:19:10,84.4 B/s
2025-07-07 16:19:11,87.7 B/s
2025-07-07 16:19:12,91.1 B/s
2025-07-07 16:19:13,142 B/s
2025-07-07 16:19:14,147 B/s
2025-07-07 16:19:15,153 B/s
2025-07-07 16:19:16,158 B/s
2025-07-07 16:19:17,163 B/s
2025-07-07 16:19:18,168 B/s
2025-07-07 16:19:19,174 B/s
2025-07-07 16:19:20,179 B/s
2025-07-07 16:19:21,184 B/s
2025-07-07 16:19:22,189 B/s
2025-07-07 16:19:23,194 B/s
2025-07-07 16:19:24,200 B/s
2025-07-07 16:19:25,205 B/s
2025-07-07 16:19:26,210 B/s
2025-07-07 16:19:27,172 B/s
2025-07-07 16:19:28,172 B/s
2025-07-07 16:19:29,172 B/s
2025-07-07 16:19:30,172 B/s
2025-07-07 16:19:31,172 B/s
2025-07-07 16:19:32,172 B/s
2025-07-07 16:19:33,301 B/s
2025-07-07 16:19:34,307 B/s
2025-07-07 16:19:35,314 B/s
2025-07-07 16:19:36,320 B/s
2025-07-07 16:19:37,327 B/s
2025-07-07 16:19:38,333 B/s
2025-07-07 16:19:39,339 B/s
2025-07-07 16:19:40,346 B/s
2025-07-07 16:19:41,352 B/s
2025-07-07 16:19:42,359 B/s
2025-07-07 16:19:43,381 B/s
2025-07-07 16:19:44,388 B/s
2025-07-07 16:19:45,395 B/s
2025-07-07 16:19:46,401 B/s
2025-07-07 16:19:47,403 B/s
2025-07-07 16:19:48,421 B/s
2025-07-07 16:19:49,429 B/s
2025-07-07 16:19:50,437 B/s
2025-07-07 16:19:51,445 B/s
2025-07-07 16:19:52,453 B/s
2025-07-07 16:19:53,461 B/s
2025-07-07 16:19:54,469 B/s
2025-07-07 16:19:55,477 B/s
2025-07-07 16:19:56,477 B/s
2025-07-07 16:19:57,477 B/s
2025-07-07 16:19:58,407 B/s
2025-07-07 16:19:59,400 B/s
2025-07-07 16:20:00,392 B/s
2025-07-07 16:20:01,384 B/s
2025-07-07 16:20:02,376 B/s
2025-07-07 16:20:03,796 B/s
2025-07-07 16:20:04,796 B/s
2025-07-07 16:20:05,796 B/s
2025-07-07 16:20:06,796 B/s
2025-07-07 16:20:07,796 B/s
2025-07-07 16:20:08,796 B/s
2025-07-07 16:20:09,796 B/s
2025-07-07 16:20:10,796 B/s
2025-07-07 16:20:11,796 B/s
2025-07-07 16:20:12,796 B/s
2025-07-07 16:20:13,961 B/s
2025-07-07 16:20:14,982 B/s
2025-07-07 16:20:15,1.00 kB/s
2025-07-07 16:20:16,1.02 kB/s
2025-07-07 16:20:17,1.04 kB/s
2025-07-07 16:20:18,1.22 kB/s
2025-07-07 16:20:19,1.22 kB/s
2025-07-07 16:20:20,1.22 kB/s
2025-07-07 16:20:21,1.22 kB/s
2025-07-07 16:20:22,1.22 kB/s
2025-07-07 16:20:23,1.22 kB/s
2025-07-07 16:20:24,1.22 kB/s
2025-07-07 16:20:25,1.22 kB/s
2025-07-07 16:20:26,1.22 kB/s
2025-07-07 16:20:27,1.22 kB/s
2025-07-07 16:20:28,1.05 kB/s
2025-07-07 16:20:29,1.03 kB/s
2025-07-07 16:20:30,1.01 kB/s
2025-07-07 16:20:31,985 B/s
2025-07-07 16:20:32,965 B/s
2025-07-07 16:20:33,1.49 kB/s
2025-07-07 16:20:34,1.49 kB/s
2025-07-07 16:20:35,1.49 kB/s
2025-07-07 16:20:36,1.49 kB/s
2025-07-07 16:20:37,1.49 kB/s
2025-07-07 16:20:38,1.49 kB/s
2025-07-07 16:20:39,1.49 kB/s
2025-07-07 16:20:40,1.49 kB/s
2025-07-07 16:20:41,1.49 kB/s
2025-07-07 16:20:42,1.49 kB/s
2025-07-07 16:20:43,1.19 kB/s
2025-07-07 16:20:44,1.21 kB/s
2025-07-07 16:20:45,1.24 kB/s
2025-07-07 16:20:46,1.26 kB/s
2025-07-07 16:20:47,1.29 kB/s
2025-07-07 16:20:48,1.51 kB/s
2025-07-07 16:20:49,1.51 kB/s
2025-07-07 16:20:50,1.51 kB/s
2025-07-07 16:20:51,1.51 kB/s
2025-07-07 16:20:52,1.51 kB/s
2025-07-07 16:20:53,1.51 kB/s
2025-07-07 16:20:54,1.51 kB/s
2025-07-07 16:20:55,1.51 kB/s
2025-07-07 16:20:56,1.51 kB/s
2025-07-07 16:20:57,1.51 kB/s
2025-07-07 16:20:58,1.30 kB/s
2025-07-07 16:20:59,1.27 kB/s
2025-07-07 16:21:00,1.25 kB/s
2025-07-07 16:21:01,1.22 kB/s
2025-07-07 16:21:02,1.19 kB/s
2025-07-07 16:21:03,1.33 kB/s
2025-07-07 16:21:04,1.33 kB/s
2025-07-07 16:21:05,1.33 kB/s
2025-07-07 16:21:06,1.33 kB/s
2025-07-07 16:21:07,1.33 kB/s
2025-07-07 16:21:08,1.33 kB/s
2025-07-07 16:21:09,1.33 kB/s
2025-07-07 16:21:10,1.33 kB/s
2025-07-07 16:21:11,1.33 kB/s
2025-07-07 16:21:12,1.33 kB/s
2025-07-07 16:21:13,1.12 kB/s
2025-07-07 16:21:14,1.14 kB/s
2025-07-07 16:21:15,1.16 kB/s
2025-07-07 16:21:16,1.19 kB/s
2025-07-07 16:21:17,1.21 kB/s
2025-07-07 16:21:18,1.42 kB/s
2025-07-07 16:21:19,1.42 kB/s
2025-07-07 16:21:20,1.42 kB/s
2025-07-07 16:21:21,1.42 kB/s
2025-07-07 16:21:22,1.42 kB/s
2025-07-07 16:21:23,1.42 kB/s
2025-07-07 16:21:24,1.42 kB/s
2025-07-07 16:21:25,1.42 kB/s
2025-07-07 16:21:26,1.42 kB/s
2025-07-07 16:21:27,1.42 kB/s
2025-07-07 16:21:28,1.22 kB/s
2025-07-07 16:21:29,1.20 kB/s
2025-07-07 16:21:30,1.17 kB/s
2025-07-07 16:21:31,1.15 kB/s
2025-07-07 16:21:32,1.13 kB/s
2025-07-07 16:21:33,1.34 kB/s
2025-07-07 16:21:34,1.34 kB/s
2025-07-07 16:21:35,1.34 kB/s
2025-07-07 16:21:36,1.34 kB/s
2025-07-07 16:21:37,1.34 kB/s
2025-07-07 16:21:38,1.34 kB/s
2025-07-07 16:21:39,1.34 kB/s
2025-07-07 16:21:40,1.34 kB/s
2025-07-07 16:21:41,1.34 kB/s
2025-07-07 16:21:42,1.34 kB/s
2025-07-07 16:21:43,1.09 kB/s
2025-07-07 16:21:44,1.11 kB/s
2025-07-07 16:21:45,1.13 kB/s
2025-07-07 16:21:46,1.15 kB/s
2025-07-07 16:21:47,1.18 kB/s
2025-07-07 16:21:48,1.20 kB/s
2025-07-07 16:21:49,1.39 kB/s
2025-07-07 16:21:50,1.39 kB/s
2025-07-07 16:21:51,1.39 kB/s
2025-07-07 16:21:52,1.39 kB/s
2025-07-07 16:21:53,1.39 kB/s
2025-07-07 16:21:54,1.39 kB/s
2025-07-07 16:21:55,1.39 kB/s
2025-07-07 16:21:56,1.39 kB/s
2025-07-07 16:21:57,1.39 kB/s
2025-07-07 16:21:58,1.19 kB/s
2025-07-07 16:21:59,1.17 kB/s
2025-07-07 16:22:00,1.15 kB/s
2025-07-07 16:22:01,1.12 kB/s
2025-07-07 16:22:02,1.10 kB/s
2025-07-07 16:22:03,1.26 kB/s
2025-07-07 16:22:04,1.26 kB/s
2025-07-07 16:22:05,1.26 kB/s
2025-07-07 16:22:06,1.26 kB/s
2025-07-07 16:22:07,1.26 kB/s
2025-07-07 16:22:08,1.26 kB/s
2025-07-07 16:22:09,1.26 kB/s
2025-07-07 16:22:10,1.26 kB/s
2025-07-07 16:22:11,1.26 kB/s
2025-07-07 16:22:12,1.26 kB/s
2025-07-07 16:22:13,1.01 kB/s
2025-07-07 16:22:14,1.04 kB/s
2025-07-07 16:22:15,1.06 kB/s
2025-07-07 16:22:16,1.08 kB/s
2025-07-07 16:22:17,1.10 kB/s
2025-07-07 16:22:18,1.12 kB/s
2025-07-07 16:22:19,1.30 kB/s
2025-07-07 16:22:20,1.30 kB/s
2025-07-07 16:22:21,1.30 kB/s
2025-07-07 16:22:22,1.30 kB/s
2025-07-07 16:22:23,1.30 kB/s
2025-07-07 16:22:24,1.30 kB/s
2025-07-07 16:22:25,1.30 kB/s
2025-07-07 16:22:26,1.30 kB/s
2025-07-07 16:22:27,1.30 kB/s
2025-07-07 16:22:28,1.12 kB/s
2025-07-07 16:22:29,1.10 kB/s
2025-07-07 16:22:30,1.07 kB/s
2025-07-07 16:22:31,1.05 kB/s
2025-07-07 16:22:32,1.03 kB/s
2025-07-07 16:22:33,1.02 kB/s
2025-07-07 16:22:34,1.28 kB/s
2025-07-07 16:22:35,1.28 kB/s
2025-07-07 16:22:36,1.28 kB/s
2025-07-07 16:22:37,1.28 kB/s
2025-07-07 16:22:38,1.28 kB/s
2025-07-07 16:22:39,1.28 kB/s
2025-07-07 16:22:40,1.28 kB/s
2025-07-07 16:22:41,1.28 kB/s
2025-07-07 16:22:42,1.28 kB/s
2025-07-07 16:22:43,948 B/s
2025-07-07 16:22:44,987 B/s
2025-07-07 16:22:45,1.01 kB/s
2025-07-07 16:22:46,1.03 kB/s
2025-07-07 16:22:47,1.05 kB/s
2025-07-07 16:22:48,1.07 kB/s
2025-07-07 16:22:49,1.24 kB/s
2025-07-07 16:22:50,1.24 kB/s
2025-07-07 16:22:51,1.24 kB/s
2025-07-07 16:22:52,1.24 kB/s
2025-07-07 16:22:53,1.24 kB/s
2025-07-07 16:22:54,1.24 kB/s
2025-07-07 16:22:55,1.24 kB/s
2025-07-07 16:22:56,1.24 kB/s
2025-07-07 16:22:57,1.24 kB/s
2025-07-07 16:22:58,1.07 kB/s
2025-07-07 16:22:59,1.05 kB/s
2025-07-07 16:23:00,1.03 kB/s
2025-07-07 16:23:01,1.01 kB/s
2025-07-07 16:23:02,987 B/s
2025-07-07 16:23:03,1.03 kB/s
2025-07-07 16:23:04,1.52 kB/s
2025-07-07 16:23:05,1.52 kB/s
2025-07-07 16:23:06,1.52 kB/s
2025-07-07 16:23:07,1.52 kB/s
2025-07-07 16:23:08,1.52 kB/s
2025-07-07 16:23:09,1.52 kB/s
2025-07-07 16:23:10,1.52 kB/s
2025-07-07 16:23:11,1.52 kB/s
2025-07-07 16:23:12,1.52 kB/s
2025-07-07 16:23:13,1.34 kB/s
2025-07-07 16:23:14,1.24 kB/s
2025-07-07 16:23:15,1.27 kB/s
2025-07-07 16:23:16,1.30 kB/s
2025-07-07 16:23:17,1.32 kB/s
2025-07-07 16:23:18,1.35 kB/s
2025-07-07 16:23:19,1.57 kB/s
2025-07-07 16:23:20,1.57 kB/s
2025-07-07 16:23:21,1.57 kB/s
2025-07-07 16:23:22,1.57 kB/s
2025-07-07 16:23:23,1.57 kB/s
2025-07-07 16:23:24,1.57 kB/s
2025-07-07 16:23:25,1.57 kB/s
2025-07-07 16:23:26,1.57 kB/s
2025-07-07 16:23:27,1.57 kB/s
2025-07-07 16:23:28,1.35 kB/s
2025-07-07 16:23:29,1.33 kB/s
2025-07-07 16:23:30,1.30 kB/s
2025-07-07 16:23:31,1.27 kB/s
2025-07-07 16:23:32,1.25 kB/s
2025-07-07 16:23:33,1.22 kB/s
2025-07-07 16:23:34,1.44 kB/s
2025-07-07 16:23:35,1.44 kB/s
2025-07-07 16:23:36,1.44 kB/s
2025-07-07 16:23:37,1.44 kB/s
2025-07-07 16:23:38,1.44 kB/s
2025-07-07 16:23:39,1.44 kB/s
2025-07-07 16:23:40,1.44 kB/s
2025-07-07 16:23:41,1.44 kB/s
2025-07-07 16:23:42,1.44 kB/s
2025-07-07 16:23:43,1.44 kB/s
2025-07-07 16:23:44,909 B/s
2025-07-07 16:23:45,928 B/s
2025-07-07 16:23:46,947 B/s
2025-07-07 16:23:47,966 B/s
2025-07-07 16:23:48,985 B/s
2025-07-07 16:23:49,1.15 kB/s
2025-07-07 16:23:50,1.15 kB/s
2025-07-07 16:23:51,1.15 kB/s
2025-07-07 16:23:52,1.15 kB/s
2025-07-07 16:23:53,1.15 kB/s
2025-07-07 16:23:54,1.15 kB/s
2025-07-07 16:23:55,1.15 kB/s
2025-07-07 16:23:56,1.15 kB/s
2025-07-07 16:23:57,1.15 kB/s
2025-07-07 16:23:58,991 B/s
2025-07-07 16:23:59,972 B/s
2025-07-07 16:24:00,953 B/s
2025-07-07 16:24:01,934 B/s
2025-07-07 16:24:02,915 B/s
2025-07-07 16:24:03,896 B/s
2025-07-07 16:24:04,1.15 kB/s
2025-07-07 16:24:05,1.15 kB/s
2025-07-07 16:24:06,1.15 kB/s
2025-07-07 16:24:07,1.15 kB/s
2025-07-07 16:24:08,1.15 kB/s
2025-07-07 16:24:09,1.15 kB/s
2025-07-07 16:24:10,1.15 kB/s
2025-07-07 16:24:11,1.15 kB/s
2025-07-07 16:24:12,1.15 kB/s
2025-07-07 16:24:13,1.15 kB/s
2025-07-07 16:24:14,1.02 kB/s
2025-07-07 16:24:15,1.04 kB/s
2025-07-07 16:24:16,1.06 kB/s
2025-07-07 16:24:17,1.08 kB/s
2025-07-07 16:24:18,1.10 kB/s
2025-07-07 16:24:19,1.28 kB/s
2025-07-07 16:24:20,1.28 kB/s
2025-07-07 16:24:21,1.28 kB/s
2025-07-07 16:24:22,1.28 kB/s
2025-07-07 16:24:23,1.28 kB/s
2025-07-07 16:24:24,1.28 kB/s
2025-07-07 16:24:25,1.28 kB/s
2025-07-07 16:24:26,1.28 kB/s
2025-07-07 16:24:27,1.28 kB/s
2025-07-07 16:24:28,1.28 kB/s
2025-07-07 16:24:29,1.09 kB/s
2025-07-07 16:24:30,1.07 kB/s
2025-07-07 16:24:31,1.05 kB/s
2025-07-07 16:24:32,1.03 kB/s
2025-07-07 16:24:33,1.01 kB/s
2025-07-07 16:24:34,1.25 kB/s
2025-07-07 16:24:35,1.25 kB/s
2025-07-07 16:24:36,1.25 kB/s
2025-07-07 16:24:37,1.25 kB/s
2025-07-07 16:24:38,1.25 kB/s
2025-07-07 16:24:39,1.25 kB/s
2025-07-07 16:24:40,1.25 kB/s
2025-07-07 16:24:41,1.25 kB/s
2025-07-07 16:24:42,1.25 kB/s
2025-07-07 16:24:43,1.25 kB/s
2025-07-07 16:24:44,1.02 kB/s
2025-07-07 16:24:45,1.04 kB/s
2025-07-07 16:24:46,1.07 kB/s
2025-07-07 16:24:47,1.09 kB/s
2025-07-07 16:24:48,1.11 kB/s
2025-07-07 16:24:49,1.29 kB/s
2025-07-07 16:24:50,1.29 kB/s
2025-07-07 16:24:51,1.29 kB/s
2025-07-07 16:24:52,1.29 kB/s
2025-07-07 16:24:53,1.29 kB/s
2025-07-07 16:24:54,1.29 kB/s
2025-07-07 16:24:55,1.29 kB/s
2025-07-07 16:24:56,1.29 kB/s
2025-07-07 16:24:57,1.29 kB/s
2025-07-07 16:24:58,1.29 kB/s
2025-07-07 16:24:59,1.10 kB/s
2025-07-07 16:25:00,1.08 kB/s
2025-07-07 16:25:01,1.06 kB/s
2025-07-07 16:25:02,1.04 kB/s
2025-07-07 16:25:03,1.02 kB/s
2025-07-07 16:25:04,1.24 kB/s
2025-07-07 16:25:05,1.24 kB/s
2025-07-07 16:25:06,1.24 kB/s
2025-07-07 16:25:07,1.24 kB/s
2025-07-07 16:25:08,1.24 kB/s
2025-07-07 16:25:09,1.24 kB/s
2025-07-07 16:25:10,1.24 kB/s
2025-07-07 16:25:11,1.24 kB/s
2025-07-07 16:25:12,1.24 kB/s
2025-07-07 16:25:13,1.24 kB/s
2025-07-07 16:25:14,1.06 kB/s
2025-07-07 16:25:15,1.08 kB/s
2025-07-07 16:25:16,1.10 kB/s
2025-07-07 16:25:17,1.32 kB/s
2025-07-07 16:25:18,1.32 kB/s
2025-07-07 16:25:19,1.32 kB/s
2025-07-07 16:25:20,1.12 kB/s
2025-07-07 16:25:21,1.10 kB/s
2025-07-07 16:25:22,1.08 kB/s
2025-07-07 16:25:23,1.06 kB/s
2025-07-07 16:25:24,1.40 kB/s
2025-07-07 16:25:25,1.40 kB/s
2025-07-07 16:25:26,1.40 kB/s
2025-07-07 16:25:27,1.40 kB/s
2025-07-07 16:25:28,1.40 kB/s
2025-07-07 16:25:29,1.40 kB/s
2025-07-07 16:25:30,1.40 kB/s
2025-07-07 16:25:31,1.40 kB/s
2025-07-07 16:25:32,1.40 kB/s
2025-07-07 16:25:33,1.40 kB/s
2025-07-07 16:25:34,1.37 kB/s
2025-07-07 16:25:35,1.37 kB/s
2025-07-07 16:25:36,1.37 kB/s
2025-07-07 16:25:37,1.37 kB/s
2025-07-07 16:25:38,1.37 kB/s
2025-07-07 16:25:39,1.37 kB/s
2025-07-07 16:25:40,1.37 kB/s
2025-07-07 16:25:41,1.37 kB/s
2025-07-07 16:25:42,1.37 kB/s
2025-07-07 16:25:43,1.37 kB/s
2025-07-07 16:25:44,1.03 kB/s
2025-07-07 16:25:45,1.05 kB/s
2025-07-07 16:25:46,1.07 kB/s
2025-07-07 16:25:47,1.10 kB/s
2025-07-07 16:25:48,1.12 kB/s
2025-07-07 16:25:49,1.31 kB/s
2025-07-07 16:25:50,1.31 kB/s
2025-07-07 16:25:51,1.31 kB/s
2025-07-07 16:25:52,1.31 kB/s
2025-07-07 16:25:53,1.31 kB/s
2025-07-07 16:25:54,1.31 kB/s
2025-07-07 16:25:55,1.31 kB/s
2025-07-07 16:25:56,1.31 kB/s
2025-07-07 16:25:57,1.31 kB/s
2025-07-07 16:25:58,1.31 kB/s
2025-07-07 16:25:59,1.12 kB/s
2025-07-07 16:26:00,1.10 kB/s
2025-07-07 16:26:01,1.07 kB/s
2025-07-07 16:26:02,1.05 kB/s
2025-07-07 16:26:03,1.03 kB/s
2025-07-07 16:26:04,870 B/s
2025-07-07 16:26:05,888 B/s
2025-07-07 16:26:06,907 B/s
2025-07-07 16:26:07,925 B/s
2025-07-07 16:26:08,944 B/s
2025-07-07 16:26:09,1.11 kB/s
2025-07-07 16:26:10,1.11 kB/s
2025-07-07 16:26:11,1.11 kB/s
2025-07-07 16:26:12,1.11 kB/s
2025-07-07 16:26:13,1.11 kB/s
2025-07-07 16:26:14,1.36 kB/s
2025-07-07 16:26:15,1.36 kB/s
2025-07-07 16:26:16,1.36 kB/s
2025-07-07 16:26:17,1.36 kB/s
2025-07-07 16:26:18,1.36 kB/s
2025-07-07 16:26:19,1.36 kB/s
2025-07-07 16:26:20,1.36 kB/s
2025-07-07 16:26:21,1.36 kB/s
2025-07-07 16:26:22,1.36 kB/s
2025-07-07 16:26:23,1.36 kB/s
2025-07-07 16:26:24,1.42 kB/s
2025-07-07 16:26:25,1.42 kB/s
2025-07-07 16:26:26,1.42 kB/s
2025-07-07 16:26:27,1.42 kB/s
2025-07-07 16:26:28,1.42 kB/s
2025-07-07 16:26:29,1.21 kB/s
2025-07-07 16:26:30,1.19 kB/s
2025-07-07 16:26:31,1.17 kB/s
2025-07-07 16:26:32,1.14 kB/s
2025-07-07 16:26:33,1.12 kB/s
2025-07-07 16:26:34,1.38 kB/s
2025-07-07 16:26:35,1.38 kB/s
2025-07-07 16:26:36,1.38 kB/s
2025-07-07 16:26:37,1.38 kB/s
2025-07-07 16:26:38,1.38 kB/s
2025-07-07 16:26:39,1.38 kB/s
2025-07-07 16:26:40,1.38 kB/s
2025-07-07 16:26:41,1.38 kB/s
2025-07-07 16:26:42,1.38 kB/s
2025-07-07 16:26:43,1.38 kB/s
2025-07-07 16:26:44,1.14 kB/s
2025-07-07 16:26:45,1.17 kB/s
2025-07-07 16:26:46,1.19 kB/s
2025-07-07 16:26:47,1.21 kB/s
2025-07-07 16:26:48,1.24 kB/s
2025-07-07 16:26:49,1.45 kB/s
2025-07-07 16:26:50,1.45 kB/s
2025-07-07 16:26:51,1.45 kB/s
2025-07-07 16:26:52,1.45 kB/s
2025-07-07 16:26:53,1.45 kB/s
2025-07-07 16:26:54,1.45 kB/s
2025-07-07 16:26:55,1.45 kB/s
2025-07-07 16:26:56,1.45 kB/s
2025-07-07 16:26:57,1.45 kB/s
2025-07-07 16:26:58,1.45 kB/s
2025-07-07 16:26:59,1.25 kB/s
2025-07-07 16:27:00,1.22 kB/s
2025-07-07 16:27:01,1.20 kB/s
2025-07-07 16:27:02,1.17 kB/s
2025-07-07 16:27:03,1.15 kB/s
2025-07-07 16:27:04,1.50 kB/s
2025-07-07 16:27:05,1.50 kB/s
