"Time","{instance=""worker3"", interface=""lxc75bda36f2996""}"
2025-07-07 16:19:03,59.2 B/s
2025-07-07 16:19:04,62.5 B/s
2025-07-07 16:19:05,65.7 B/s
2025-07-07 16:19:06,68.9 B/s
2025-07-07 16:19:07,72.1 B/s
2025-07-07 16:19:08,75.4 B/s
2025-07-07 16:19:09,78.6 B/s
2025-07-07 16:19:10,81.8 B/s
2025-07-07 16:19:11,85.0 B/s
2025-07-07 16:19:12,88.3 B/s
2025-07-07 16:19:13,139 B/s
2025-07-07 16:19:14,144 B/s
2025-07-07 16:19:15,149 B/s
2025-07-07 16:19:16,154 B/s
2025-07-07 16:19:17,159 B/s
2025-07-07 16:19:18,165 B/s
2025-07-07 16:19:19,170 B/s
2025-07-07 16:19:20,175 B/s
2025-07-07 16:19:21,180 B/s
2025-07-07 16:19:22,185 B/s
2025-07-07 16:19:23,190 B/s
2025-07-07 16:19:24,195 B/s
2025-07-07 16:19:25,200 B/s
2025-07-07 16:19:26,205 B/s
2025-07-07 16:19:27,168 B/s
2025-07-07 16:19:28,168 B/s
2025-07-07 16:19:29,168 B/s
2025-07-07 16:19:30,168 B/s
2025-07-07 16:19:31,168 B/s
2025-07-07 16:19:32,168 B/s
2025-07-07 16:19:33,291 B/s
2025-07-07 16:19:34,297 B/s
2025-07-07 16:19:35,303 B/s
2025-07-07 16:19:36,309 B/s
2025-07-07 16:19:37,315 B/s
2025-07-07 16:19:38,322 B/s
2025-07-07 16:19:39,328 B/s
2025-07-07 16:19:40,334 B/s
2025-07-07 16:19:41,340 B/s
2025-07-07 16:19:42,346 B/s
2025-07-07 16:19:43,366 B/s
2025-07-07 16:19:44,372 B/s
2025-07-07 16:19:45,379 B/s
2025-07-07 16:19:46,385 B/s
2025-07-07 16:19:47,386 B/s
2025-07-07 16:19:48,405 B/s
2025-07-07 16:19:49,412 B/s
2025-07-07 16:19:50,420 B/s
2025-07-07 16:19:51,428 B/s
2025-07-07 16:19:52,435 B/s
2025-07-07 16:19:53,443 B/s
2025-07-07 16:19:54,450 B/s
2025-07-07 16:19:55,457 B/s
2025-07-07 16:19:56,457 B/s
2025-07-07 16:19:57,457 B/s
2025-07-07 16:19:58,391 B/s
2025-07-07 16:19:59,383 B/s
2025-07-07 16:20:00,375 B/s
2025-07-07 16:20:01,368 B/s
2025-07-07 16:20:02,360 B/s
2025-07-07 16:20:03,48.9 kB/s
2025-07-07 16:20:04,49.9 kB/s
2025-07-07 16:20:05,50.9 kB/s
2025-07-07 16:20:06,51.8 kB/s
2025-07-07 16:20:07,52.8 kB/s
2025-07-07 16:20:08,53.8 kB/s
2025-07-07 16:20:09,54.7 kB/s
2025-07-07 16:20:10,55.7 kB/s
2025-07-07 16:20:11,56.7 kB/s
2025-07-07 16:20:12,57.6 kB/s
2025-07-07 16:20:13,146 kB/s
2025-07-07 16:20:14,149 kB/s
2025-07-07 16:20:15,153 kB/s
2025-07-07 16:20:16,156 kB/s
2025-07-07 16:20:17,160 kB/s
2025-07-07 16:20:18,164 kB/s
2025-07-07 16:20:19,167 kB/s
2025-07-07 16:20:20,171 kB/s
2025-07-07 16:20:21,174 kB/s
2025-07-07 16:20:22,178 kB/s
2025-07-07 16:20:23,182 kB/s
2025-07-07 16:20:24,185 kB/s
2025-07-07 16:20:25,189 kB/s
2025-07-07 16:20:26,192 kB/s
2025-07-07 16:20:27,196 kB/s
2025-07-07 16:20:28,168 kB/s
2025-07-07 16:20:29,168 kB/s
2025-07-07 16:20:30,168 kB/s
2025-07-07 16:20:31,168 kB/s
2025-07-07 16:20:32,168 kB/s
2025-07-07 16:20:33,242 kB/s
2025-07-07 16:20:34,247 kB/s
2025-07-07 16:20:35,251 kB/s
2025-07-07 16:20:36,256 kB/s
2025-07-07 16:20:37,261 kB/s
2025-07-07 16:20:38,266 kB/s
2025-07-07 16:20:39,270 kB/s
2025-07-07 16:20:40,275 kB/s
2025-07-07 16:20:41,280 kB/s
2025-07-07 16:20:42,285 kB/s
2025-07-07 16:20:43,281 kB/s
2025-07-07 16:20:44,287 kB/s
2025-07-07 16:20:45,293 kB/s
2025-07-07 16:20:46,299 kB/s
2025-07-07 16:20:47,305 kB/s
2025-07-07 16:20:48,319 kB/s
2025-07-07 16:20:49,325 kB/s
2025-07-07 16:20:50,331 kB/s
2025-07-07 16:20:51,337 kB/s
2025-07-07 16:20:52,343 kB/s
2025-07-07 16:20:53,349 kB/s
2025-07-07 16:20:54,355 kB/s
2025-07-07 16:20:55,358 kB/s
2025-07-07 16:20:56,358 kB/s
2025-07-07 16:20:57,358 kB/s
2025-07-07 16:20:58,307 kB/s
2025-07-07 16:20:59,301 kB/s
2025-07-07 16:21:00,295 kB/s
2025-07-07 16:21:01,289 kB/s
2025-07-07 16:21:02,283 kB/s
2025-07-07 16:21:03,286 kB/s
2025-07-07 16:21:04,286 kB/s
2025-07-07 16:21:05,286 kB/s
2025-07-07 16:21:06,286 kB/s
2025-07-07 16:21:07,286 kB/s
2025-07-07 16:21:08,286 kB/s
2025-07-07 16:21:09,286 kB/s
2025-07-07 16:21:10,286 kB/s
2025-07-07 16:21:11,286 kB/s
2025-07-07 16:21:12,286 kB/s
2025-07-07 16:21:13,280 kB/s
2025-07-07 16:21:14,286 kB/s
2025-07-07 16:21:15,292 kB/s
2025-07-07 16:21:16,298 kB/s
2025-07-07 16:21:17,304 kB/s
2025-07-07 16:21:18,357 kB/s
2025-07-07 16:21:19,357 kB/s
2025-07-07 16:21:20,357 kB/s
2025-07-07 16:21:21,357 kB/s
2025-07-07 16:21:22,357 kB/s
2025-07-07 16:21:23,357 kB/s
2025-07-07 16:21:24,357 kB/s
2025-07-07 16:21:25,357 kB/s
2025-07-07 16:21:26,357 kB/s
2025-07-07 16:21:27,357 kB/s
2025-07-07 16:21:28,307 kB/s
2025-07-07 16:21:29,301 kB/s
2025-07-07 16:21:30,295 kB/s
2025-07-07 16:21:31,289 kB/s
2025-07-07 16:21:32,283 kB/s
2025-07-07 16:21:33,343 kB/s
2025-07-07 16:21:34,343 kB/s
2025-07-07 16:21:35,343 kB/s
2025-07-07 16:21:36,343 kB/s
2025-07-07 16:21:37,343 kB/s
2025-07-07 16:21:38,343 kB/s
2025-07-07 16:21:39,343 kB/s
2025-07-07 16:21:40,343 kB/s
2025-07-07 16:21:41,343 kB/s
2025-07-07 16:21:42,343 kB/s
2025-07-07 16:21:43,280 kB/s
2025-07-07 16:21:44,286 kB/s
2025-07-07 16:21:45,292 kB/s
2025-07-07 16:21:46,298 kB/s
2025-07-07 16:21:47,303 kB/s
2025-07-07 16:21:48,309 kB/s
2025-07-07 16:21:49,358 kB/s
2025-07-07 16:21:50,358 kB/s
2025-07-07 16:21:51,358 kB/s
2025-07-07 16:21:52,358 kB/s
2025-07-07 16:21:53,358 kB/s
2025-07-07 16:21:54,358 kB/s
2025-07-07 16:21:55,358 kB/s
2025-07-07 16:21:56,358 kB/s
2025-07-07 16:21:57,358 kB/s
2025-07-07 16:21:58,307 kB/s
2025-07-07 16:21:59,301 kB/s
2025-07-07 16:22:00,295 kB/s
2025-07-07 16:22:01,289 kB/s
2025-07-07 16:22:02,283 kB/s
2025-07-07 16:22:03,343 kB/s
2025-07-07 16:22:04,343 kB/s
2025-07-07 16:22:05,343 kB/s
