"Time","image-preprocess-6b97b856cf-8wm7g"
2025-07-07 16:19:00,2.71 MiB
2025-07-07 16:19:01,2.71 MiB
2025-07-07 16:19:02,2.71 MiB
2025-07-07 16:19:03,2.71 MiB
2025-07-07 16:19:04,2.71 MiB
2025-07-07 16:19:05,2.71 MiB
2025-07-07 16:19:06,2.71 MiB
2025-07-07 16:19:07,2.71 MiB
2025-07-07 16:19:08,2.71 MiB
2025-07-07 16:19:09,2.71 MiB
2025-07-07 16:19:10,2.71 MiB
2025-07-07 16:19:11,25.0 MiB
2025-07-07 16:19:12,25.0 MiB
2025-07-07 16:19:13,25.0 MiB
2025-07-07 16:19:14,25.0 MiB
2025-07-07 16:19:15,25.0 MiB
2025-07-07 16:19:16,25.0 MiB
2025-07-07 16:19:17,25.0 MiB
2025-07-07 16:19:18,25.0 MiB
2025-07-07 16:19:19,25.0 MiB
2025-07-07 16:19:20,25.0 MiB
2025-07-07 16:19:21,25.0 MiB
2025-07-07 16:19:22,25.0 MiB
2025-07-07 16:19:23,25.0 MiB
2025-07-07 16:19:24,25.0 MiB
2025-07-07 16:19:25,25.0 MiB
2025-07-07 16:19:26,25.0 MiB
2025-07-07 16:19:27,25.0 MiB
2025-07-07 16:19:28,25.0 MiB
2025-07-07 16:19:29,25.0 MiB
2025-07-07 16:19:30,25.0 MiB
2025-07-07 16:19:31,25.0 MiB
2025-07-07 16:19:32,25.0 MiB
2025-07-07 16:19:33,25.0 MiB
2025-07-07 16:19:34,25.0 MiB
2025-07-07 16:19:35,25.0 MiB
2025-07-07 16:19:36,25.0 MiB
2025-07-07 16:19:37,25.0 MiB
2025-07-07 16:19:38,25.0 MiB
2025-07-07 16:19:39,25.0 MiB
2025-07-07 16:19:40,25.0 MiB
2025-07-07 16:19:41,25.0 MiB
2025-07-07 16:19:42,25.0 MiB
2025-07-07 16:19:43,25.0 MiB
2025-07-07 16:19:44,25.0 MiB
2025-07-07 16:19:45,25.0 MiB
2025-07-07 16:19:46,25.0 MiB
2025-07-07 16:19:47,25.0 MiB
2025-07-07 16:19:48,25.0 MiB
2025-07-07 16:19:49,25.0 MiB
2025-07-07 16:19:50,25.0 MiB
2025-07-07 16:19:51,25.0 MiB
2025-07-07 16:19:52,25.0 MiB
2025-07-07 16:19:53,25.0 MiB
2025-07-07 16:19:54,25.0 MiB
2025-07-07 16:19:55,25.0 MiB
2025-07-07 16:19:56,25.0 MiB
2025-07-07 16:19:57,25.0 MiB
2025-07-07 16:19:58,25.0 MiB
2025-07-07 16:19:59,25.0 MiB
2025-07-07 16:20:00,87.7 MiB
2025-07-07 16:20:01,87.7 MiB
2025-07-07 16:20:02,87.7 MiB
2025-07-07 16:20:03,87.7 MiB
2025-07-07 16:20:04,87.7 MiB
2025-07-07 16:20:05,87.7 MiB
2025-07-07 16:20:06,87.7 MiB
2025-07-07 16:20:07,87.7 MiB
2025-07-07 16:20:08,87.7 MiB
2025-07-07 16:20:09,87.7 MiB
2025-07-07 16:20:10,93.3 MiB
2025-07-07 16:20:11,93.3 MiB
2025-07-07 16:20:12,93.3 MiB
2025-07-07 16:20:13,93.3 MiB
2025-07-07 16:20:14,93.3 MiB
2025-07-07 16:20:15,93.3 MiB
2025-07-07 16:20:16,93.3 MiB
2025-07-07 16:20:17,93.3 MiB
2025-07-07 16:20:18,93.3 MiB
2025-07-07 16:20:19,93.3 MiB
2025-07-07 16:20:20,93.3 MiB
2025-07-07 16:20:21,93.3 MiB
2025-07-07 16:20:22,93.3 MiB
2025-07-07 16:20:23,93.3 MiB
2025-07-07 16:20:24,93.3 MiB
2025-07-07 16:20:25,93.3 MiB
2025-07-07 16:20:26,93.3 MiB
2025-07-07 16:20:27,93.3 MiB
2025-07-07 16:20:28,93.3 MiB
2025-07-07 16:20:29,93.3 MiB
2025-07-07 16:20:30,93.3 MiB
2025-07-07 16:20:31,93.3 MiB
2025-07-07 16:20:32,93.3 MiB
2025-07-07 16:20:33,93.3 MiB
2025-07-07 16:20:34,93.3 MiB
2025-07-07 16:20:35,93.3 MiB
2025-07-07 16:20:36,93.3 MiB
2025-07-07 16:20:37,93.3 MiB
2025-07-07 16:20:38,93.3 MiB
2025-07-07 16:20:39,85.7 MiB
2025-07-07 16:20:40,85.7 MiB
2025-07-07 16:20:41,85.7 MiB
2025-07-07 16:20:42,85.7 MiB
2025-07-07 16:20:43,85.7 MiB
2025-07-07 16:20:44,85.7 MiB
2025-07-07 16:20:45,85.7 MiB
2025-07-07 16:20:46,85.7 MiB
2025-07-07 16:20:47,85.7 MiB
2025-07-07 16:20:48,85.7 MiB
2025-07-07 16:20:49,85.7 MiB
2025-07-07 16:20:50,85.7 MiB
2025-07-07 16:20:51,132 MiB
2025-07-07 16:20:52,132 MiB
2025-07-07 16:20:53,132 MiB
2025-07-07 16:20:54,132 MiB
2025-07-07 16:20:55,132 MiB
2025-07-07 16:20:56,132 MiB
2025-07-07 16:20:57,132 MiB
2025-07-07 16:20:58,132 MiB
2025-07-07 16:20:59,132 MiB
2025-07-07 16:21:00,132 MiB
2025-07-07 16:21:01,132 MiB
2025-07-07 16:21:02,132 MiB
2025-07-07 16:21:03,132 MiB
2025-07-07 16:21:04,132 MiB
2025-07-07 16:21:05,132 MiB
2025-07-07 16:21:06,132 MiB
2025-07-07 16:21:07,132 MiB
2025-07-07 16:21:08,132 MiB
2025-07-07 16:21:09,132 MiB
2025-07-07 16:21:10,132 MiB
2025-07-07 16:21:11,132 MiB
2025-07-07 16:21:12,85.3 MiB
2025-07-07 16:21:13,85.3 MiB
2025-07-07 16:21:14,85.3 MiB
2025-07-07 16:21:15,85.3 MiB
2025-07-07 16:21:16,85.3 MiB
2025-07-07 16:21:17,85.3 MiB
2025-07-07 16:21:18,85.3 MiB
2025-07-07 16:21:19,85.3 MiB
2025-07-07 16:21:20,85.3 MiB
2025-07-07 16:21:21,85.3 MiB
2025-07-07 16:21:22,85.3 MiB
2025-07-07 16:21:23,85.3 MiB
2025-07-07 16:21:24,85.3 MiB
2025-07-07 16:21:25,85.3 MiB
2025-07-07 16:21:26,85.3 MiB
2025-07-07 16:21:27,85.3 MiB
2025-07-07 16:21:28,85.3 MiB
2025-07-07 16:21:29,85.3 MiB
2025-07-07 16:21:30,133 MiB
2025-07-07 16:21:31,133 MiB
2025-07-07 16:21:32,133 MiB
2025-07-07 16:21:33,133 MiB
2025-07-07 16:21:34,133 MiB
2025-07-07 16:21:35,133 MiB
2025-07-07 16:21:36,133 MiB
2025-07-07 16:21:37,133 MiB
2025-07-07 16:21:38,133 MiB
2025-07-07 16:21:39,133 MiB
2025-07-07 16:21:40,133 MiB
2025-07-07 16:21:41,133 MiB
2025-07-07 16:21:42,133 MiB
2025-07-07 16:21:43,133 MiB
2025-07-07 16:21:44,133 MiB
2025-07-07 16:21:45,133 MiB
2025-07-07 16:21:46,133 MiB
2025-07-07 16:21:47,133 MiB
2025-07-07 16:21:48,133 MiB
2025-07-07 16:21:49,133 MiB
2025-07-07 16:21:50,133 MiB
2025-07-07 16:21:51,133 MiB
2025-07-07 16:21:52,133 MiB
2025-07-07 16:21:53,133 MiB
2025-07-07 16:21:54,133 MiB
2025-07-07 16:21:55,133 MiB
2025-07-07 16:21:56,133 MiB
2025-07-07 16:21:57,133 MiB
2025-07-07 16:21:58,133 MiB
2025-07-07 16:21:59,133 MiB
2025-07-07 16:22:00,133 MiB
2025-07-07 16:22:01,133 MiB
2025-07-07 16:22:02,133 MiB
2025-07-07 16:22:03,133 MiB
2025-07-07 16:22:04,133 MiB
2025-07-07 16:22:05,133 MiB
2025-07-07 16:22:06,133 MiB
2025-07-07 16:22:07,133 MiB
2025-07-07 16:22:08,133 MiB
2025-07-07 16:22:09,133 MiB
2025-07-07 16:22:10,133 MiB
2025-07-07 16:22:11,85.4 MiB
2025-07-07 16:22:12,85.4 MiB
