"Time","image-stats-746c9bfb67-8h4gh"
2025-07-07 16:19:00,296 KiB
2025-07-07 16:19:01,296 KiB
2025-07-07 16:19:02,296 KiB
2025-07-07 16:19:03,296 KiB
2025-07-07 16:19:04,296 KiB
2025-07-07 16:19:05,296 KiB
2025-07-07 16:19:06,296 KiB
2025-07-07 16:19:07,296 KiB
2025-07-07 16:19:08,296 KiB
2025-07-07 16:19:09,296 KiB
2025-07-07 16:19:10,31.1 MiB
2025-07-07 16:19:11,31.1 MiB
2025-07-07 16:19:12,31.1 MiB
2025-07-07 16:19:13,31.1 MiB
2025-07-07 16:19:14,31.1 MiB
2025-07-07 16:19:15,31.1 MiB
2025-07-07 16:19:16,31.1 MiB
2025-07-07 16:19:17,31.1 MiB
2025-07-07 16:19:18,31.1 MiB
2025-07-07 16:19:19,31.1 MiB
2025-07-07 16:19:20,31.1 MiB
2025-07-07 16:19:21,31.1 MiB
2025-07-07 16:19:22,31.1 MiB
2025-07-07 16:19:23,31.1 MiB
2025-07-07 16:19:24,31.1 MiB
2025-07-07 16:19:25,31.1 MiB
2025-07-07 16:19:26,31.1 MiB
2025-07-07 16:19:27,31.2 MiB
2025-07-07 16:19:28,31.2 MiB
2025-07-07 16:19:29,31.2 MiB
2025-07-07 16:19:30,31.2 MiB
2025-07-07 16:19:31,31.2 MiB
2025-07-07 16:19:32,31.2 MiB
2025-07-07 16:19:33,31.2 MiB
2025-07-07 16:19:34,31.2 MiB
2025-07-07 16:19:35,31.2 MiB
2025-07-07 16:19:36,31.2 MiB
2025-07-07 16:19:37,31.2 MiB
2025-07-07 16:19:38,31.2 MiB
2025-07-07 16:19:39,31.2 MiB
2025-07-07 16:19:40,31.2 MiB
2025-07-07 16:19:41,31.2 MiB
2025-07-07 16:19:42,31.2 MiB
2025-07-07 16:19:43,31.2 MiB
2025-07-07 16:19:44,31.2 MiB
2025-07-07 16:19:45,31.2 MiB
2025-07-07 16:19:46,31.3 MiB
2025-07-07 16:19:47,31.3 MiB
2025-07-07 16:19:48,31.3 MiB
2025-07-07 16:19:49,31.3 MiB
2025-07-07 16:19:50,31.3 MiB
2025-07-07 16:19:51,31.3 MiB
2025-07-07 16:19:52,31.3 MiB
2025-07-07 16:19:53,31.3 MiB
2025-07-07 16:19:54,31.3 MiB
2025-07-07 16:19:55,31.3 MiB
2025-07-07 16:19:56,31.3 MiB
2025-07-07 16:19:57,31.3 MiB
2025-07-07 16:19:58,31.3 MiB
2025-07-07 16:19:59,31.3 MiB
2025-07-07 16:20:00,31.3 MiB
2025-07-07 16:20:01,31.3 MiB
2025-07-07 16:20:02,31.3 MiB
2025-07-07 16:20:03,31.3 MiB
2025-07-07 16:20:04,31.3 MiB
2025-07-07 16:20:05,31.3 MiB
2025-07-07 16:20:06,31.3 MiB
2025-07-07 16:20:07,31.3 MiB
2025-07-07 16:20:08,31.3 MiB
2025-07-07 16:20:09,31.3 MiB
2025-07-07 16:20:10,31.3 MiB
2025-07-07 16:20:11,31.3 MiB
2025-07-07 16:20:12,31.3 MiB
2025-07-07 16:20:13,31.3 MiB
2025-07-07 16:20:14,31.3 MiB
2025-07-07 16:20:15,33.0 MiB
2025-07-07 16:20:16,33.0 MiB
2025-07-07 16:20:17,33.0 MiB
2025-07-07 16:20:18,33.0 MiB
2025-07-07 16:20:19,33.0 MiB
2025-07-07 16:20:20,33.0 MiB
2025-07-07 16:20:21,33.0 MiB
2025-07-07 16:20:22,33.0 MiB
2025-07-07 16:20:23,33.0 MiB
2025-07-07 16:20:24,33.0 MiB
2025-07-07 16:20:25,33.0 MiB
2025-07-07 16:20:26,33.0 MiB
2025-07-07 16:20:27,33.0 MiB
2025-07-07 16:20:28,33.0 MiB
2025-07-07 16:20:29,33.3 MiB
2025-07-07 16:20:30,33.3 MiB
2025-07-07 16:20:31,33.3 MiB
2025-07-07 16:20:32,33.3 MiB
2025-07-07 16:20:33,33.3 MiB
2025-07-07 16:20:34,33.3 MiB
2025-07-07 16:20:35,33.3 MiB
2025-07-07 16:20:36,33.3 MiB
2025-07-07 16:20:37,33.3 MiB
2025-07-07 16:20:38,33.3 MiB
2025-07-07 16:20:39,33.3 MiB
2025-07-07 16:20:40,33.3 MiB
2025-07-07 16:20:41,33.3 MiB
2025-07-07 16:20:42,33.3 MiB
2025-07-07 16:20:43,33.3 MiB
2025-07-07 16:20:44,33.6 MiB
2025-07-07 16:20:45,33.6 MiB
2025-07-07 16:20:46,33.6 MiB
2025-07-07 16:20:47,33.6 MiB
2025-07-07 16:20:48,33.6 MiB
2025-07-07 16:20:49,33.6 MiB
2025-07-07 16:20:50,33.6 MiB
2025-07-07 16:20:51,33.6 MiB
2025-07-07 16:20:52,33.6 MiB
2025-07-07 16:20:53,33.6 MiB
2025-07-07 16:20:54,33.6 MiB
2025-07-07 16:20:55,33.6 MiB
2025-07-07 16:20:56,33.6 MiB
2025-07-07 16:20:57,33.6 MiB
2025-07-07 16:20:58,33.6 MiB
2025-07-07 16:20:59,33.6 MiB
2025-07-07 16:21:00,33.6 MiB
2025-07-07 16:21:01,33.8 MiB
2025-07-07 16:21:02,33.8 MiB
2025-07-07 16:21:03,33.8 MiB
2025-07-07 16:21:04,33.8 MiB
2025-07-07 16:21:05,33.8 MiB
2025-07-07 16:21:06,33.8 MiB
2025-07-07 16:21:07,33.8 MiB
2025-07-07 16:21:08,33.8 MiB
2025-07-07 16:21:09,33.8 MiB
2025-07-07 16:21:10,33.8 MiB
2025-07-07 16:21:11,33.8 MiB
2025-07-07 16:21:12,33.8 MiB
2025-07-07 16:21:13,33.8 MiB
2025-07-07 16:21:14,33.9 MiB
2025-07-07 16:21:15,33.9 MiB
2025-07-07 16:21:16,33.9 MiB
2025-07-07 16:21:17,33.9 MiB
2025-07-07 16:21:18,33.9 MiB
2025-07-07 16:21:19,33.9 MiB
2025-07-07 16:21:20,33.9 MiB
2025-07-07 16:21:21,33.9 MiB
2025-07-07 16:21:22,33.9 MiB
2025-07-07 16:21:23,33.9 MiB
2025-07-07 16:21:24,33.9 MiB
2025-07-07 16:21:25,33.9 MiB
2025-07-07 16:21:26,33.9 MiB
2025-07-07 16:21:27,33.9 MiB
2025-07-07 16:21:28,33.9 MiB
2025-07-07 16:21:29,33.9 MiB
2025-07-07 16:21:30,33.9 MiB
2025-07-07 16:21:31,33.9 MiB
2025-07-07 16:21:32,33.9 MiB
2025-07-07 16:21:33,34.0 MiB
2025-07-07 16:21:34,34.0 MiB
2025-07-07 16:21:35,34.0 MiB
2025-07-07 16:21:36,34.0 MiB
2025-07-07 16:21:37,34.0 MiB
2025-07-07 16:21:38,34.0 MiB
2025-07-07 16:21:39,34.0 MiB
2025-07-07 16:21:40,34.0 MiB
2025-07-07 16:21:41,34.0 MiB
2025-07-07 16:21:42,34.0 MiB
2025-07-07 16:21:43,34.0 MiB
2025-07-07 16:21:44,34.0 MiB
2025-07-07 16:21:45,34.0 MiB
2025-07-07 16:21:46,34.0 MiB
2025-07-07 16:21:47,34.0 MiB
2025-07-07 16:21:48,34.0 MiB
2025-07-07 16:21:49,34.0 MiB
2025-07-07 16:21:50,34.0 MiB
2025-07-07 16:21:51,34.0 MiB
2025-07-07 16:21:52,34.0 MiB
2025-07-07 16:21:53,34.0 MiB
2025-07-07 16:21:54,34.0 MiB
2025-07-07 16:21:55,34.0 MiB
2025-07-07 16:21:56,34.0 MiB
2025-07-07 16:21:57,34.0 MiB
2025-07-07 16:21:58,34.0 MiB
2025-07-07 16:21:59,34.0 MiB
2025-07-07 16:22:00,34.0 MiB
2025-07-07 16:22:01,34.0 MiB
2025-07-07 16:22:02,34.0 MiB
2025-07-07 16:22:03,34.0 MiB
2025-07-07 16:22:04,34.3 MiB
2025-07-07 16:22:05,34.3 MiB
2025-07-07 16:22:06,34.3 MiB
2025-07-07 16:22:07,34.3 MiB
2025-07-07 16:22:08,34.3 MiB
2025-07-07 16:22:09,34.3 MiB
2025-07-07 16:22:10,34.3 MiB
2025-07-07 16:22:11,34.3 MiB
2025-07-07 16:22:12,34.3 MiB
2025-07-07 16:22:13,34.3 MiB
2025-07-07 16:22:14,34.3 MiB
2025-07-07 16:22:15,34.4 MiB
2025-07-07 16:22:16,34.4 MiB
2025-07-07 16:22:17,34.4 MiB
2025-07-07 16:22:18,34.4 MiB
2025-07-07 16:22:19,34.4 MiB
2025-07-07 16:22:20,34.4 MiB
2025-07-07 16:22:21,34.4 MiB
2025-07-07 16:22:22,34.4 MiB
2025-07-07 16:22:23,34.4 MiB
2025-07-07 16:22:24,34.4 MiB
2025-07-07 16:22:25,34.4 MiB
2025-07-07 16:22:26,34.4 MiB
2025-07-07 16:22:27,34.4 MiB
2025-07-07 16:22:28,34.4 MiB
2025-07-07 16:22:29,34.4 MiB
2025-07-07 16:22:30,34.4 MiB
2025-07-07 16:22:31,34.4 MiB
2025-07-07 16:22:32,34.4 MiB
