"Time","image-preprocess-7b846f7fc5-p92fn"
2025-07-07 20:12:20,0.000565 cores
2025-07-07 20:12:21,0.000554 cores
2025-07-07 20:12:22,0.000543 cores
2025-07-07 20:12:23,0.000531 cores
2025-07-07 20:12:24,0.000520 cores
2025-07-07 20:12:25,0.000509 cores
2025-07-07 20:12:26,0.000498 cores
2025-07-07 20:12:27,0.000486 cores
2025-07-07 20:12:28,0.000475 cores
2025-07-07 20:12:29,0.000464 cores
2025-07-07 20:12:30,0.000452 cores
2025-07-07 20:12:31,0.000462 cores
2025-07-07 20:12:32,0.000451 cores
2025-07-07 20:12:33,0.000439 cores
2025-07-07 20:12:34,0.000428 cores
2025-07-07 20:12:35,0.000416 cores
2025-07-07 20:12:36,0.000695 cores
2025-07-07 20:12:37,0.000695 cores
2025-07-07 20:12:38,0.000695 cores
2025-07-07 20:12:39,0.000695 cores
2025-07-07 20:12:40,0.000695 cores
2025-07-07 20:12:41,0.000695 cores
2025-07-07 20:12:42,0.000695 cores
2025-07-07 20:12:43,0.000695 cores
2025-07-07 20:12:44,0.000700 cores
2025-07-07 20:12:45,0.000700 cores
2025-07-07 20:12:46,0.000700 cores
2025-07-07 20:12:47,0.0555 cores
2025-07-07 20:12:48,0.0565 cores
2025-07-07 20:12:49,0.0576 cores
2025-07-07 20:12:50,0.0586 cores
2025-07-07 20:12:51,0.0597 cores
2025-07-07 20:12:52,0.0607 cores
2025-07-07 20:12:53,0.0618 cores
2025-07-07 20:12:54,0.0628 cores
2025-07-07 20:12:55,0.0630 cores
2025-07-07 20:12:56,0.0630 cores
2025-07-07 20:12:57,0.0630 cores
2025-07-07 20:12:58,0.0630 cores
2025-07-07 20:12:59,0.0630 cores
2025-07-07 20:13:00,0.0630 cores
2025-07-07 20:13:01,0.0630 cores
2025-07-07 20:13:02,0.0630 cores
2025-07-07 20:13:03,0.0778 cores
2025-07-07 20:13:04,0.0778 cores
2025-07-07 20:13:05,0.0778 cores
2025-07-07 20:13:06,0.145 cores
2025-07-07 20:13:07,0.149 cores
2025-07-07 20:13:08,0.154 cores
2025-07-07 20:13:09,0.158 cores
2025-07-07 20:13:10,0.163 cores
2025-07-07 20:13:11,0.167 cores
2025-07-07 20:13:12,0.172 cores
2025-07-07 20:13:13,0.176 cores
2025-07-07 20:13:14,0.180 cores
2025-07-07 20:13:15,0.185 cores
2025-07-07 20:13:16,0.189 cores
2025-07-07 20:13:17,0.145 cores
2025-07-07 20:13:18,0.148 cores
2025-07-07 20:13:19,0.152 cores
2025-07-07 20:13:20,0.155 cores
2025-07-07 20:13:21,0.158 cores
2025-07-07 20:13:22,0.161 cores
2025-07-07 20:13:23,0.165 cores
2025-07-07 20:13:24,0.168 cores
2025-07-07 20:13:25,0.171 cores
2025-07-07 20:13:26,0.174 cores
2025-07-07 20:13:27,0.178 cores
2025-07-07 20:13:28,0.181 cores
2025-07-07 20:13:29,0.184 cores
2025-07-07 20:13:30,0.187 cores
2025-07-07 20:13:31,0.191 cores
2025-07-07 20:13:32,0.165 cores
2025-07-07 20:13:33,0.141 cores
2025-07-07 20:13:34,0.141 cores
2025-07-07 20:13:35,0.141 cores
2025-07-07 20:13:36,0.115 cores
2025-07-07 20:13:37,0.115 cores
2025-07-07 20:13:38,0.115 cores
2025-07-07 20:13:39,0.115 cores
2025-07-07 20:13:40,0.115 cores
2025-07-07 20:13:41,0.115 cores
2025-07-07 20:13:42,0.115 cores
2025-07-07 20:13:43,0.115 cores
2025-07-07 20:13:44,0.115 cores
2025-07-07 20:13:45,0.115 cores
2025-07-07 20:13:46,0.115 cores
2025-07-07 20:13:47,0.000423 cores
2025-07-07 20:13:48,0.000423 cores
2025-07-07 20:13:49,0.000525 cores
2025-07-07 20:13:50,0.000620 cores
2025-07-07 20:13:51,0.000620 cores
2025-07-07 20:13:52,0.000620 cores
2025-07-07 20:13:53,0.000620 cores
2025-07-07 20:13:54,0.000620 cores
2025-07-07 20:13:55,0.000620 cores
2025-07-07 20:13:56,0.000620 cores
2025-07-07 20:13:57,0.000620 cores
2025-07-07 20:13:58,0.000620 cores
2025-07-07 20:13:59,0.000620 cores
2025-07-07 20:14:00,0.000620 cores
2025-07-07 20:14:01,0.000620 cores
2025-07-07 20:14:02,0.000620 cores
2025-07-07 20:14:03,0.000620 cores
2025-07-07 20:14:04,0.000620 cores
2025-07-07 20:14:05,0.000522 cores
2025-07-07 20:14:06,0.000692 cores
2025-07-07 20:14:07,0.000692 cores
2025-07-07 20:14:08,0.000692 cores
2025-07-07 20:14:09,0.000692 cores
2025-07-07 20:14:10,0.000692 cores
2025-07-07 20:14:11,0.000692 cores
2025-07-07 20:14:12,0.000692 cores
2025-07-07 20:14:13,0.000692 cores
2025-07-07 20:14:14,0.000692 cores
2025-07-07 20:14:15,0.000692 cores
