"Time","{instance=""worker3"", interface=""lxccc0e58d40907""}"
2025-07-07 20:12:20,473 B/s
2025-07-07 20:12:21,473 B/s
2025-07-07 20:12:22,473 B/s
2025-07-07 20:12:23,473 B/s
2025-07-07 20:12:24,473 B/s
2025-07-07 20:12:25,473 B/s
2025-07-07 20:12:26,473 B/s
2025-07-07 20:12:27,473 B/s
2025-07-07 20:12:28,406 B/s
2025-07-07 20:12:29,398 B/s
2025-07-07 20:12:30,390 B/s
2025-07-07 20:12:31,382 B/s
2025-07-07 20:12:32,374 B/s
2025-07-07 20:12:33,472 B/s
2025-07-07 20:12:34,472 B/s
2025-07-07 20:12:35,472 B/s
2025-07-07 20:12:36,472 B/s
2025-07-07 20:12:37,472 B/s
2025-07-07 20:12:38,472 B/s
2025-07-07 20:12:39,472 B/s
2025-07-07 20:12:40,472 B/s
2025-07-07 20:12:41,472 B/s
2025-07-07 20:12:42,472 B/s
2025-07-07 20:12:43,2.10 kB/s
2025-07-07 20:12:44,2.14 kB/s
2025-07-07 20:12:45,2.19 kB/s
2025-07-07 20:12:46,2.23 kB/s
2025-07-07 20:12:47,2.28 kB/s
2025-07-07 20:12:48,2.68 kB/s
2025-07-07 20:12:49,2.68 kB/s
2025-07-07 20:12:50,2.68 kB/s
2025-07-07 20:12:51,2.68 kB/s
2025-07-07 20:12:52,2.68 kB/s
2025-07-07 20:12:53,2.68 kB/s
2025-07-07 20:12:54,2.68 kB/s
2025-07-07 20:12:55,2.68 kB/s
2025-07-07 20:12:56,2.68 kB/s
2025-07-07 20:12:57,2.68 kB/s
2025-07-07 20:12:58,2.30 kB/s
2025-07-07 20:12:59,2.26 kB/s
2025-07-07 20:13:00,2.21 kB/s
2025-07-07 20:13:01,2.17 kB/s
2025-07-07 20:13:02,2.12 kB/s
2025-07-07 20:13:03,13.6 kB/s
2025-07-07 20:13:04,13.6 kB/s
2025-07-07 20:13:05,13.6 kB/s
2025-07-07 20:13:06,13.6 kB/s
2025-07-07 20:13:07,13.6 kB/s
2025-07-07 20:13:08,13.6 kB/s
2025-07-07 20:13:09,13.6 kB/s
2025-07-07 20:13:10,13.6 kB/s
2025-07-07 20:13:11,13.6 kB/s
2025-07-07 20:13:12,13.6 kB/s
2025-07-07 20:13:13,13.2 kB/s
2025-07-07 20:13:14,13.5 kB/s
2025-07-07 20:13:15,13.7 kB/s
2025-07-07 20:13:16,14.0 kB/s
2025-07-07 20:13:17,14.3 kB/s
2025-07-07 20:13:18,14.6 kB/s
2025-07-07 20:13:19,16.5 kB/s
2025-07-07 20:13:20,16.8 kB/s
2025-07-07 20:13:21,16.9 kB/s
2025-07-07 20:13:22,16.9 kB/s
2025-07-07 20:13:23,16.9 kB/s
2025-07-07 20:13:24,16.9 kB/s
2025-07-07 20:13:25,16.9 kB/s
2025-07-07 20:13:26,16.9 kB/s
2025-07-07 20:13:27,16.9 kB/s
2025-07-07 20:13:28,14.5 kB/s
2025-07-07 20:13:29,14.2 kB/s
2025-07-07 20:13:30,13.9 kB/s
2025-07-07 20:13:31,13.7 kB/s
2025-07-07 20:13:32,13.4 kB/s
2025-07-07 20:13:33,11.8 kB/s
2025-07-07 20:13:34,11.8 kB/s
2025-07-07 20:13:35,11.8 kB/s
2025-07-07 20:13:36,11.8 kB/s
2025-07-07 20:13:37,11.8 kB/s
2025-07-07 20:13:38,11.8 kB/s
2025-07-07 20:13:39,11.8 kB/s
2025-07-07 20:13:40,11.8 kB/s
2025-07-07 20:13:41,11.8 kB/s
2025-07-07 20:13:42,11.8 kB/s
2025-07-07 20:13:43,379 B/s
2025-07-07 20:13:44,387 B/s
2025-07-07 20:13:45,395 B/s
2025-07-07 20:13:46,403 B/s
2025-07-07 20:13:47,411 B/s
2025-07-07 20:13:48,419 B/s
2025-07-07 20:13:49,485 B/s
2025-07-07 20:13:50,485 B/s
2025-07-07 20:13:51,485 B/s
2025-07-07 20:13:52,485 B/s
2025-07-07 20:13:53,485 B/s
2025-07-07 20:13:54,485 B/s
2025-07-07 20:13:55,485 B/s
2025-07-07 20:13:56,485 B/s
2025-07-07 20:13:57,485 B/s
2025-07-07 20:13:58,418 B/s
2025-07-07 20:13:59,410 B/s
2025-07-07 20:14:00,402 B/s
2025-07-07 20:14:01,394 B/s
2025-07-07 20:14:02,386 B/s
2025-07-07 20:14:03,388 B/s
2025-07-07 20:14:04,482 B/s
2025-07-07 20:14:05,482 B/s
2025-07-07 20:14:06,482 B/s
2025-07-07 20:14:07,482 B/s
2025-07-07 20:14:08,482 B/s
2025-07-07 20:14:09,482 B/s
2025-07-07 20:14:10,482 B/s
2025-07-07 20:14:11,482 B/s
2025-07-07 20:14:12,482 B/s
2025-07-07 20:14:13,386 B/s
2025-07-07 20:14:14,385 B/s
2025-07-07 20:14:15,393 B/s
