"Time","{instance=""worker3"", interface=""lxccc0e58d40907""}"
2025-07-07 20:12:20,460 B/s
2025-07-07 20:12:21,460 B/s
2025-07-07 20:12:22,460 B/s
2025-07-07 20:12:23,460 B/s
2025-07-07 20:12:24,460 B/s
2025-07-07 20:12:25,460 B/s
2025-07-07 20:12:26,460 B/s
2025-07-07 20:12:27,460 B/s
2025-07-07 20:12:28,394 B/s
2025-07-07 20:12:29,386 B/s
2025-07-07 20:12:30,379 B/s
2025-07-07 20:12:31,371 B/s
2025-07-07 20:12:32,363 B/s
2025-07-07 20:12:33,463 B/s
2025-07-07 20:12:34,463 B/s
2025-07-07 20:12:35,463 B/s
2025-07-07 20:12:36,463 B/s
2025-07-07 20:12:37,463 B/s
2025-07-07 20:12:38,463 B/s
2025-07-07 20:12:39,463 B/s
2025-07-07 20:12:40,463 B/s
2025-07-07 20:12:41,463 B/s
2025-07-07 20:12:42,463 B/s
2025-07-07 20:12:43,340 kB/s
2025-07-07 20:12:44,349 kB/s
2025-07-07 20:12:45,357 kB/s
2025-07-07 20:12:46,365 kB/s
2025-07-07 20:12:47,374 kB/s
2025-07-07 20:12:48,382 kB/s
2025-07-07 20:12:49,390 kB/s
2025-07-07 20:12:50,399 kB/s
2025-07-07 20:12:51,407 kB/s
2025-07-07 20:12:52,415 kB/s
2025-07-07 20:12:53,424 kB/s
2025-07-07 20:12:54,432 kB/s
2025-07-07 20:12:55,441 kB/s
2025-07-07 20:12:56,449 kB/s
2025-07-07 20:12:57,457 kB/s
2025-07-07 20:12:58,395 kB/s
2025-07-07 20:12:59,395 kB/s
2025-07-07 20:13:00,395 kB/s
2025-07-07 20:13:01,395 kB/s
2025-07-07 20:13:02,395 kB/s
2025-07-07 20:13:03,2.40 MB/s
2025-07-07 20:13:04,2.45 MB/s
2025-07-07 20:13:05,2.50 MB/s
2025-07-07 20:13:06,2.55 MB/s
2025-07-07 20:13:07,2.60 MB/s
2025-07-07 20:13:08,2.64 MB/s
2025-07-07 20:13:09,2.69 MB/s
2025-07-07 20:13:10,2.74 MB/s
2025-07-07 20:13:11,2.79 MB/s
2025-07-07 20:13:12,2.83 MB/s
2025-07-07 20:13:13,2.40 MB/s
2025-07-07 20:13:14,2.46 MB/s
2025-07-07 20:13:15,2.52 MB/s
2025-07-07 20:13:16,2.58 MB/s
2025-07-07 20:13:17,2.64 MB/s
2025-07-07 20:13:18,2.70 MB/s
2025-07-07 20:13:19,2.76 MB/s
2025-07-07 20:13:20,2.82 MB/s
2025-07-07 20:13:21,2.88 MB/s
2025-07-07 20:13:22,2.94 MB/s
2025-07-07 20:13:23,3.00 MB/s
2025-07-07 20:13:24,3.06 MB/s
2025-07-07 20:13:25,3.12 MB/s
2025-07-07 20:13:26,3.18 MB/s
2025-07-07 20:13:27,3.24 MB/s
2025-07-07 20:13:28,2.80 MB/s
2025-07-07 20:13:29,2.80 MB/s
2025-07-07 20:13:30,2.80 MB/s
2025-07-07 20:13:31,2.80 MB/s
2025-07-07 20:13:32,2.80 MB/s
2025-07-07 20:13:33,2.40 MB/s
2025-07-07 20:13:34,2.44 MB/s
2025-07-07 20:13:35,2.47 MB/s
2025-07-07 20:13:36,2.47 MB/s
2025-07-07 20:13:37,2.47 MB/s
2025-07-07 20:13:38,2.47 MB/s
2025-07-07 20:13:39,2.47 MB/s
2025-07-07 20:13:40,2.47 MB/s
2025-07-07 20:13:41,2.47 MB/s
2025-07-07 20:13:42,2.47 MB/s
2025-07-07 20:13:43,371 B/s
2025-07-07 20:13:44,379 B/s
2025-07-07 20:13:45,387 B/s
2025-07-07 20:13:46,395 B/s
2025-07-07 20:13:47,403 B/s
2025-07-07 20:13:48,411 B/s
2025-07-07 20:13:49,476 B/s
2025-07-07 20:13:50,476 B/s
2025-07-07 20:13:51,476 B/s
2025-07-07 20:13:52,476 B/s
2025-07-07 20:13:53,476 B/s
2025-07-07 20:13:54,476 B/s
2025-07-07 20:13:55,476 B/s
2025-07-07 20:13:56,476 B/s
2025-07-07 20:13:57,476 B/s
2025-07-07 20:13:58,410 B/s
2025-07-07 20:13:59,402 B/s
2025-07-07 20:14:00,394 B/s
2025-07-07 20:14:01,386 B/s
2025-07-07 20:14:02,378 B/s
2025-07-07 20:14:03,381 B/s
2025-07-07 20:14:04,477 B/s
2025-07-07 20:14:05,477 B/s
2025-07-07 20:14:06,477 B/s
2025-07-07 20:14:07,477 B/s
2025-07-07 20:14:08,477 B/s
2025-07-07 20:14:09,477 B/s
2025-07-07 20:14:10,477 B/s
2025-07-07 20:14:11,477 B/s
2025-07-07 20:14:12,477 B/s
2025-07-07 20:14:13,385 B/s
2025-07-07 20:14:14,384 B/s
2025-07-07 20:14:15,392 B/s
