"Time","image-stats-746c9bfb67-rt546"
2025-07-07 20:12:20,32.8 MiB
2025-07-07 20:12:21,32.8 MiB
2025-07-07 20:12:22,32.8 MiB
2025-07-07 20:12:23,32.8 MiB
2025-07-07 20:12:24,32.8 MiB
2025-07-07 20:12:25,32.8 MiB
2025-07-07 20:12:26,32.8 MiB
2025-07-07 20:12:27,32.8 MiB
2025-07-07 20:12:28,32.8 MiB
2025-07-07 20:12:29,32.8 MiB
2025-07-07 20:12:30,32.8 MiB
2025-07-07 20:12:31,32.8 MiB
2025-07-07 20:12:32,32.8 MiB
2025-07-07 20:12:33,32.8 MiB
2025-07-07 20:12:34,32.8 MiB
2025-07-07 20:12:35,32.8 MiB
2025-07-07 20:12:36,33.2 MiB
2025-07-07 20:12:37,33.2 MiB
2025-07-07 20:12:38,33.2 MiB
2025-07-07 20:12:39,33.2 MiB
2025-07-07 20:12:40,33.2 MiB
2025-07-07 20:12:41,33.2 MiB
2025-07-07 20:12:42,33.2 MiB
2025-07-07 20:12:43,33.2 MiB
2025-07-07 20:12:44,33.2 MiB
2025-07-07 20:12:45,33.2 MiB
2025-07-07 20:12:46,33.2 MiB
2025-07-07 20:12:47,35.5 MiB
2025-07-07 20:12:48,35.5 MiB
2025-07-07 20:12:49,35.5 MiB
2025-07-07 20:12:50,35.5 MiB
2025-07-07 20:12:51,35.5 MiB
2025-07-07 20:12:52,35.5 MiB
2025-07-07 20:12:53,35.5 MiB
2025-07-07 20:12:54,35.5 MiB
2025-07-07 20:12:55,35.5 MiB
2025-07-07 20:12:56,35.5 MiB
2025-07-07 20:12:57,35.5 MiB
2025-07-07 20:12:58,35.5 MiB
2025-07-07 20:12:59,35.5 MiB
2025-07-07 20:13:00,35.5 MiB
2025-07-07 20:13:01,35.5 MiB
2025-07-07 20:13:02,35.5 MiB
2025-07-07 20:13:03,35.5 MiB
2025-07-07 20:13:04,35.5 MiB
2025-07-07 20:13:05,36.3 MiB
2025-07-07 20:13:06,36.3 MiB
2025-07-07 20:13:07,36.3 MiB
2025-07-07 20:13:08,36.3 MiB
2025-07-07 20:13:09,36.3 MiB
2025-07-07 20:13:10,36.3 MiB
2025-07-07 20:13:11,36.3 MiB
2025-07-07 20:13:12,36.3 MiB
2025-07-07 20:13:13,36.3 MiB
2025-07-07 20:13:14,36.3 MiB
2025-07-07 20:13:15,36.3 MiB
2025-07-07 20:13:16,36.3 MiB
2025-07-07 20:13:17,36.3 MiB
2025-07-07 20:13:18,36.3 MiB
2025-07-07 20:13:19,36.3 MiB
2025-07-07 20:13:20,36.3 MiB
2025-07-07 20:13:21,36.3 MiB
2025-07-07 20:13:22,36.3 MiB
2025-07-07 20:13:23,36.3 MiB
2025-07-07 20:13:24,36.3 MiB
2025-07-07 20:13:25,36.3 MiB
2025-07-07 20:13:26,36.3 MiB
2025-07-07 20:13:27,36.3 MiB
2025-07-07 20:13:28,36.3 MiB
2025-07-07 20:13:29,36.3 MiB
2025-07-07 20:13:30,36.3 MiB
2025-07-07 20:13:31,36.3 MiB
2025-07-07 20:13:32,36.3 MiB
2025-07-07 20:13:33,36.3 MiB
2025-07-07 20:13:34,36.3 MiB
2025-07-07 20:13:35,36.3 MiB
2025-07-07 20:13:36,36.3 MiB
2025-07-07 20:13:37,36.3 MiB
2025-07-07 20:13:38,36.3 MiB
2025-07-07 20:13:39,36.3 MiB
2025-07-07 20:13:40,36.3 MiB
2025-07-07 20:13:41,36.3 MiB
2025-07-07 20:13:42,36.3 MiB
2025-07-07 20:13:43,36.3 MiB
2025-07-07 20:13:44,36.3 MiB
2025-07-07 20:13:45,36.3 MiB
2025-07-07 20:13:46,36.3 MiB
2025-07-07 20:13:47,36.3 MiB
2025-07-07 20:13:48,36.3 MiB
2025-07-07 20:13:49,36.4 MiB
2025-07-07 20:13:50,36.4 MiB
2025-07-07 20:13:51,36.4 MiB
2025-07-07 20:13:52,36.4 MiB
2025-07-07 20:13:53,36.4 MiB
2025-07-07 20:13:54,36.4 MiB
2025-07-07 20:13:55,36.4 MiB
2025-07-07 20:13:56,36.4 MiB
2025-07-07 20:13:57,36.4 MiB
2025-07-07 20:13:58,36.4 MiB
2025-07-07 20:13:59,36.4 MiB
2025-07-07 20:14:00,36.4 MiB
2025-07-07 20:14:01,36.4 MiB
2025-07-07 20:14:02,36.4 MiB
2025-07-07 20:14:03,36.4 MiB
2025-07-07 20:14:04,36.4 MiB
2025-07-07 20:14:05,36.4 MiB
2025-07-07 20:14:06,36.4 MiB
2025-07-07 20:14:07,36.4 MiB
2025-07-07 20:14:08,36.4 MiB
2025-07-07 20:14:09,36.4 MiB
2025-07-07 20:14:10,36.4 MiB
2025-07-07 20:14:11,36.4 MiB
2025-07-07 20:14:12,36.4 MiB
2025-07-07 20:14:13,36.4 MiB
2025-07-07 20:14:14,36.4 MiB
2025-07-07 20:14:15,36.7 MiB
