"Time","image-filter-cfbfd9b5f-vdtq9"
2025-07-07 19:09:55,0.000532 cores
2025-07-07 19:09:56,0.000520 cores
2025-07-07 19:09:57,0.000509 cores
2025-07-07 19:09:58,0.000498 cores
2025-07-07 19:09:59,0.000487 cores
2025-07-07 19:10:00,0.000476 cores
2025-07-07 19:10:01,0.000452 cores
2025-07-07 19:10:02,0.000441 cores
2025-07-07 19:10:03,0.000430 cores
2025-07-07 19:10:04,0.000419 cores
2025-07-07 19:10:05,0.000408 cores
2025-07-07 19:10:06,0.000750 cores
2025-07-07 19:10:07,0.000750 cores
2025-07-07 19:10:08,0.000750 cores
2025-07-07 19:10:09,0.000750 cores
2025-07-07 19:10:10,0.000750 cores
2025-07-07 19:10:11,0.000750 cores
2025-07-07 19:10:12,0.000750 cores
2025-07-07 19:10:13,0.000750 cores
2025-07-07 19:10:14,0.000750 cores
2025-07-07 19:10:15,0.000750 cores
2025-07-07 19:10:16,0.000750 cores
2025-07-07 19:10:17,0.000750 cores
2025-07-07 19:10:18,0.000799 cores
2025-07-07 19:10:19,0.000799 cores
2025-07-07 19:10:20,0.000761 cores
2025-07-07 19:10:21,0.000761 cores
2025-07-07 19:10:22,0.000761 cores
2025-07-07 19:10:23,0.000761 cores
2025-07-07 19:10:24,0.000761 cores
2025-07-07 19:10:25,0.000761 cores
2025-07-07 19:10:26,0.000761 cores
2025-07-07 19:10:27,0.000761 cores
2025-07-07 19:10:28,0.000761 cores
2025-07-07 19:10:29,0.000761 cores
2025-07-07 19:10:30,0.000761 cores
2025-07-07 19:10:31,0.00102 cores
2025-07-07 19:10:32,0.00102 cores
2025-07-07 19:10:33,0.00102 cores
2025-07-07 19:10:34,0.00102 cores
2025-07-07 19:10:35,0.000780 cores
2025-07-07 19:10:36,0.000802 cores
2025-07-07 19:10:37,0.000824 cores
2025-07-07 19:10:38,0.000846 cores
2025-07-07 19:10:39,0.000868 cores
2025-07-07 19:10:40,0.000890 cores
2025-07-07 19:10:41,0.000911 cores
2025-07-07 19:10:42,0.000933 cores
2025-07-07 19:10:43,0.000955 cores
2025-07-07 19:10:44,0.00112 cores
2025-07-07 19:10:45,0.00115 cores
2025-07-07 19:10:46,0.00117 cores
2025-07-07 19:10:47,0.00120 cores
2025-07-07 19:10:48,0.00122 cores
2025-07-07 19:10:49,0.00125 cores
2025-07-07 19:10:50,0.00127 cores
2025-07-07 19:10:51,0.00130 cores
2025-07-07 19:10:52,0.00150 cores
2025-07-07 19:10:53,0.00150 cores
2025-07-07 19:10:54,0.00150 cores
2025-07-07 19:10:55,0.00150 cores
2025-07-07 19:10:56,0.00150 cores
2025-07-07 19:10:57,0.00158 cores
2025-07-07 19:10:58,0.00158 cores
2025-07-07 19:10:59,0.00158 cores
2025-07-07 19:11:00,0.00158 cores
2025-07-07 19:11:01,0.00158 cores
2025-07-07 19:11:02,0.00158 cores
2025-07-07 19:11:03,0.00158 cores
2025-07-07 19:11:04,0.00158 cores
2025-07-07 19:11:05,0.00158 cores
2025-07-07 19:11:06,0.00168 cores
2025-07-07 19:11:07,0.00192 cores
2025-07-07 19:11:08,0.00195 cores
2025-07-07 19:11:09,0.00195 cores
2025-07-07 19:11:10,0.00195 cores
2025-07-07 19:11:11,0.00195 cores
2025-07-07 19:11:12,0.00195 cores
2025-07-07 19:11:13,0.00195 cores
2025-07-07 19:11:14,0.00195 cores
2025-07-07 19:11:15,0.00195 cores
2025-07-07 19:11:16,0.00195 cores
2025-07-07 19:11:17,0.00195 cores
2025-07-07 19:11:18,0.00195 cores
2025-07-07 19:11:19,0.00195 cores
2025-07-07 19:11:20,0.00189 cores
2025-07-07 19:11:21,0.00189 cores
2025-07-07 19:11:22,0.00164 cores
2025-07-07 19:11:23,0.00161 cores
2025-07-07 19:11:24,0.00158 cores
2025-07-07 19:11:25,0.00155 cores
2025-07-07 19:11:26,0.00152 cores
2025-07-07 19:11:27,0.00181 cores
2025-07-07 19:11:28,0.00181 cores
2025-07-07 19:11:29,0.00181 cores
2025-07-07 19:11:30,0.00181 cores
