"Time","{instance=""worker3"", interface=""lxcc7a949fee869""}"
2025-07-07 19:09:55,1.11 kB/s
2025-07-07 19:09:56,1.11 kB/s
2025-07-07 19:09:57,951 B/s
2025-07-07 19:09:58,932 B/s
2025-07-07 19:09:59,914 B/s
2025-07-07 19:10:00,895 B/s
2025-07-07 19:10:01,877 B/s
2025-07-07 19:10:02,1.06 kB/s
2025-07-07 19:10:03,1.06 kB/s
2025-07-07 19:10:04,1.06 kB/s
2025-07-07 19:10:05,1.06 kB/s
2025-07-07 19:10:06,1.06 kB/s
2025-07-07 19:10:07,1.06 kB/s
2025-07-07 19:10:08,1.06 kB/s
2025-07-07 19:10:09,1.06 kB/s
2025-07-07 19:10:10,1.06 kB/s
2025-07-07 19:10:11,1.06 kB/s
2025-07-07 19:10:12,861 B/s
2025-07-07 19:10:13,879 B/s
2025-07-07 19:10:14,898 B/s
2025-07-07 19:10:15,916 B/s
2025-07-07 19:10:16,934 B/s
2025-07-07 19:10:17,953 B/s
2025-07-07 19:10:18,1.10 kB/s
2025-07-07 19:10:19,1.10 kB/s
2025-07-07 19:10:20,1.10 kB/s
2025-07-07 19:10:21,1.10 kB/s
2025-07-07 19:10:22,1.10 kB/s
2025-07-07 19:10:23,1.10 kB/s
2025-07-07 19:10:24,1.10 kB/s
2025-07-07 19:10:25,1.10 kB/s
2025-07-07 19:10:26,1.10 kB/s
2025-07-07 19:10:27,950 B/s
2025-07-07 19:10:28,931 B/s
2025-07-07 19:10:29,913 B/s
2025-07-07 19:10:30,895 B/s
2025-07-07 19:10:31,876 B/s
2025-07-07 19:10:32,856 B/s
2025-07-07 19:10:33,230 kB/s
2025-07-07 19:10:34,230 kB/s
2025-07-07 19:10:35,230 kB/s
2025-07-07 19:10:36,230 kB/s
2025-07-07 19:10:37,230 kB/s
2025-07-07 19:10:38,230 kB/s
2025-07-07 19:10:39,230 kB/s
2025-07-07 19:10:40,230 kB/s
2025-07-07 19:10:41,230 kB/s
2025-07-07 19:10:42,304 kB/s
2025-07-07 19:10:43,400 kB/s
2025-07-07 19:10:44,409 kB/s
2025-07-07 19:10:45,417 kB/s
2025-07-07 19:10:46,425 kB/s
2025-07-07 19:10:47,434 kB/s
2025-07-07 19:10:48,503 kB/s
2025-07-07 19:10:49,503 kB/s
2025-07-07 19:10:50,503 kB/s
2025-07-07 19:10:51,503 kB/s
2025-07-07 19:10:52,503 kB/s
2025-07-07 19:10:53,503 kB/s
2025-07-07 19:10:54,503 kB/s
2025-07-07 19:10:55,503 kB/s
2025-07-07 19:10:56,503 kB/s
2025-07-07 19:10:57,434 kB/s
2025-07-07 19:10:58,426 kB/s
2025-07-07 19:10:59,417 kB/s
2025-07-07 19:11:00,409 kB/s
2025-07-07 19:11:01,401 kB/s
2025-07-07 19:11:02,532 kB/s
2025-07-07 19:11:03,747 kB/s
2025-07-07 19:11:04,747 kB/s
2025-07-07 19:11:05,747 kB/s
2025-07-07 19:11:06,747 kB/s
2025-07-07 19:11:07,747 kB/s
2025-07-07 19:11:08,747 kB/s
2025-07-07 19:11:09,747 kB/s
2025-07-07 19:11:10,747 kB/s
2025-07-07 19:11:11,747 kB/s
2025-07-07 19:11:12,682 kB/s
2025-07-07 19:11:13,685 kB/s
2025-07-07 19:11:14,699 kB/s
2025-07-07 19:11:15,713 kB/s
2025-07-07 19:11:16,728 kB/s
2025-07-07 19:11:17,742 kB/s
2025-07-07 19:11:18,862 kB/s
2025-07-07 19:11:19,862 kB/s
2025-07-07 19:11:20,862 kB/s
2025-07-07 19:11:21,862 kB/s
2025-07-07 19:11:22,862 kB/s
2025-07-07 19:11:23,862 kB/s
2025-07-07 19:11:24,862 kB/s
2025-07-07 19:11:25,862 kB/s
2025-07-07 19:11:26,862 kB/s
2025-07-07 19:11:27,745 kB/s
2025-07-07 19:11:28,731 kB/s
2025-07-07 19:11:29,716 kB/s
2025-07-07 19:11:30,702 kB/s
2025-07-07 19:11:31,688 kB/s
2025-07-07 19:11:32,673 kB/s
2025-07-07 19:11:33,862 kB/s
2025-07-07 19:11:34,862 kB/s
2025-07-07 19:11:35,862 kB/s
2025-07-07 19:11:36,862 kB/s
2025-07-07 19:11:37,862 kB/s
2025-07-07 19:11:38,862 kB/s
2025-07-07 19:11:39,862 kB/s
2025-07-07 19:11:40,862 kB/s
2025-07-07 19:11:41,862 kB/s
2025-07-07 19:11:42,862 kB/s
2025-07-07 19:11:43,683 kB/s
2025-07-07 19:11:44,698 kB/s
2025-07-07 19:11:45,712 kB/s
2025-07-07 19:11:46,726 kB/s
2025-07-07 19:11:47,741 kB/s
2025-07-07 19:11:48,862 kB/s
2025-07-07 19:11:49,862 kB/s
2025-07-07 19:11:50,862 kB/s
2025-07-07 19:11:51,862 kB/s
2025-07-07 19:11:52,862 kB/s
2025-07-07 19:11:53,862 kB/s
2025-07-07 19:11:54,862 kB/s
2025-07-07 19:11:55,862 kB/s
2025-07-07 19:11:56,862 kB/s
2025-07-07 19:11:57,746 kB/s
2025-07-07 19:11:58,732 kB/s
2025-07-07 19:11:59,717 kB/s
2025-07-07 19:12:00,703 kB/s
2025-07-07 19:12:01,689 kB/s
2025-07-07 19:12:02,674 kB/s
2025-07-07 19:12:03,862 kB/s
2025-07-07 19:12:04,862 kB/s
2025-07-07 19:12:05,862 kB/s
2025-07-07 19:12:06,862 kB/s
2025-07-07 19:12:07,862 kB/s
2025-07-07 19:12:08,862 kB/s
2025-07-07 19:12:09,862 kB/s
2025-07-07 19:12:10,862 kB/s
2025-07-07 19:12:11,862 kB/s
2025-07-07 19:12:12,862 kB/s
2025-07-07 19:12:13,682 kB/s
2025-07-07 19:12:14,696 kB/s
2025-07-07 19:12:15,711 kB/s
2025-07-07 19:12:16,725 kB/s
2025-07-07 19:12:17,739 kB/s
2025-07-07 19:12:18,862 kB/s
2025-07-07 19:12:19,862 kB/s
2025-07-07 19:12:20,862 kB/s
2025-07-07 19:12:21,862 kB/s
