"Time","{instance=""worker3"", interface=""lxcc7a949fee869""}"
2025-07-07 19:09:55,494 B/s
2025-07-07 19:09:56,494 B/s
2025-07-07 19:09:57,425 B/s
2025-07-07 19:09:58,417 B/s
2025-07-07 19:09:59,408 B/s
2025-07-07 19:10:00,400 B/s
2025-07-07 19:10:01,392 B/s
2025-07-07 19:10:02,485 B/s
2025-07-07 19:10:03,485 B/s
2025-07-07 19:10:04,485 B/s
2025-07-07 19:10:05,485 B/s
2025-07-07 19:10:06,485 B/s
2025-07-07 19:10:07,485 B/s
2025-07-07 19:10:08,485 B/s
2025-07-07 19:10:09,485 B/s
2025-07-07 19:10:10,485 B/s
2025-07-07 19:10:11,485 B/s
2025-07-07 19:10:12,381 B/s
2025-07-07 19:10:13,389 B/s
2025-07-07 19:10:14,398 B/s
2025-07-07 19:10:15,406 B/s
2025-07-07 19:10:16,414 B/s
2025-07-07 19:10:17,422 B/s
2025-07-07 19:10:18,489 B/s
2025-07-07 19:10:19,489 B/s
2025-07-07 19:10:20,489 B/s
2025-07-07 19:10:21,489 B/s
2025-07-07 19:10:22,489 B/s
2025-07-07 19:10:23,489 B/s
2025-07-07 19:10:24,489 B/s
2025-07-07 19:10:25,489 B/s
2025-07-07 19:10:26,489 B/s
2025-07-07 19:10:27,421 B/s
2025-07-07 19:10:28,413 B/s
2025-07-07 19:10:29,404 B/s
2025-07-07 19:10:30,396 B/s
2025-07-07 19:10:31,388 B/s
2025-07-07 19:10:32,384 B/s
2025-07-07 19:10:33,1.61 kB/s
2025-07-07 19:10:34,1.61 kB/s
2025-07-07 19:10:35,1.61 kB/s
2025-07-07 19:10:36,1.61 kB/s
2025-07-07 19:10:37,1.61 kB/s
2025-07-07 19:10:38,1.61 kB/s
2025-07-07 19:10:39,1.61 kB/s
2025-07-07 19:10:40,1.61 kB/s
2025-07-07 19:10:41,1.61 kB/s
2025-07-07 19:10:42,1.87 kB/s
2025-07-07 19:10:43,2.46 kB/s
2025-07-07 19:10:44,2.51 kB/s
2025-07-07 19:10:45,2.56 kB/s
2025-07-07 19:10:46,2.61 kB/s
2025-07-07 19:10:47,2.66 kB/s
2025-07-07 19:10:48,3.09 kB/s
2025-07-07 19:10:49,3.09 kB/s
2025-07-07 19:10:50,3.09 kB/s
2025-07-07 19:10:51,3.09 kB/s
2025-07-07 19:10:52,3.09 kB/s
2025-07-07 19:10:53,3.09 kB/s
2025-07-07 19:10:54,3.09 kB/s
2025-07-07 19:10:55,3.09 kB/s
2025-07-07 19:10:56,3.09 kB/s
2025-07-07 19:10:57,2.67 kB/s
2025-07-07 19:10:58,2.61 kB/s
2025-07-07 19:10:59,2.56 kB/s
2025-07-07 19:11:00,2.51 kB/s
2025-07-07 19:11:01,2.46 kB/s
2025-07-07 19:11:02,3.13 kB/s
2025-07-07 19:11:03,4.41 kB/s
2025-07-07 19:11:04,4.41 kB/s
2025-07-07 19:11:05,4.41 kB/s
2025-07-07 19:11:06,4.41 kB/s
2025-07-07 19:11:07,4.41 kB/s
2025-07-07 19:11:08,4.41 kB/s
2025-07-07 19:11:09,4.41 kB/s
2025-07-07 19:11:10,4.41 kB/s
2025-07-07 19:11:11,4.41 kB/s
2025-07-07 19:11:12,4.09 kB/s
2025-07-07 19:11:13,4.08 kB/s
2025-07-07 19:11:14,4.17 kB/s
2025-07-07 19:11:15,4.25 kB/s
2025-07-07 19:11:16,4.34 kB/s
2025-07-07 19:11:17,4.42 kB/s
2025-07-07 19:11:18,5.14 kB/s
2025-07-07 19:11:19,5.14 kB/s
2025-07-07 19:11:20,5.14 kB/s
2025-07-07 19:11:21,5.14 kB/s
2025-07-07 19:11:22,5.14 kB/s
2025-07-07 19:11:23,5.14 kB/s
2025-07-07 19:11:24,5.14 kB/s
2025-07-07 19:11:25,5.14 kB/s
2025-07-07 19:11:26,5.14 kB/s
2025-07-07 19:11:27,4.44 kB/s
2025-07-07 19:11:28,4.36 kB/s
2025-07-07 19:11:29,4.27 kB/s
2025-07-07 19:11:30,4.18 kB/s
2025-07-07 19:11:31,4.10 kB/s
2025-07-07 19:11:32,4.01 kB/s
2025-07-07 19:11:33,5.05 kB/s
2025-07-07 19:11:34,5.05 kB/s
2025-07-07 19:11:35,5.05 kB/s
2025-07-07 19:11:36,5.05 kB/s
2025-07-07 19:11:37,5.05 kB/s
2025-07-07 19:11:38,5.05 kB/s
2025-07-07 19:11:39,5.05 kB/s
2025-07-07 19:11:40,5.05 kB/s
