"Time","image-stats-746c9bfb67-rrk77"
2025-07-07 19:09:55,31.3 MiB
2025-07-07 19:09:56,31.3 MiB
2025-07-07 19:09:57,31.3 MiB
2025-07-07 19:09:58,31.3 MiB
2025-07-07 19:09:59,31.3 MiB
2025-07-07 19:10:00,31.3 MiB
2025-07-07 19:10:01,31.4 MiB
2025-07-07 19:10:02,31.4 MiB
2025-07-07 19:10:03,31.4 MiB
2025-07-07 19:10:04,31.4 MiB
2025-07-07 19:10:05,31.4 MiB
2025-07-07 19:10:06,31.4 MiB
2025-07-07 19:10:07,31.4 MiB
2025-07-07 19:10:08,31.4 MiB
2025-07-07 19:10:09,31.4 MiB
2025-07-07 19:10:10,31.4 MiB
2025-07-07 19:10:11,31.4 MiB
2025-07-07 19:10:12,31.4 MiB
2025-07-07 19:10:13,31.4 MiB
2025-07-07 19:10:14,31.4 MiB
2025-07-07 19:10:15,31.4 MiB
2025-07-07 19:10:16,31.4 MiB
2025-07-07 19:10:17,31.4 MiB
2025-07-07 19:10:18,31.4 MiB
2025-07-07 19:10:19,31.4 MiB
2025-07-07 19:10:20,31.4 MiB
2025-07-07 19:10:21,31.4 MiB
2025-07-07 19:10:22,31.4 MiB
2025-07-07 19:10:23,31.4 MiB
2025-07-07 19:10:24,31.4 MiB
2025-07-07 19:10:25,31.4 MiB
2025-07-07 19:10:26,31.4 MiB
2025-07-07 19:10:27,31.4 MiB
2025-07-07 19:10:28,31.4 MiB
2025-07-07 19:10:29,31.4 MiB
2025-07-07 19:10:30,31.4 MiB
2025-07-07 19:10:31,31.4 MiB
2025-07-07 19:10:32,33.5 MiB
2025-07-07 19:10:33,33.5 MiB
2025-07-07 19:10:34,33.5 MiB
2025-07-07 19:10:35,33.5 MiB
2025-07-07 19:10:36,33.5 MiB
2025-07-07 19:10:37,33.5 MiB
2025-07-07 19:10:38,33.5 MiB
2025-07-07 19:10:39,33.5 MiB
2025-07-07 19:10:40,33.5 MiB
2025-07-07 19:10:41,33.5 MiB
2025-07-07 19:10:42,33.5 MiB
2025-07-07 19:10:43,33.5 MiB
2025-07-07 19:10:44,33.5 MiB
2025-07-07 19:10:45,33.5 MiB
2025-07-07 19:10:46,33.5 MiB
2025-07-07 19:10:47,33.5 MiB
2025-07-07 19:10:48,33.5 MiB
2025-07-07 19:10:49,33.9 MiB
2025-07-07 19:10:50,33.9 MiB
2025-07-07 19:10:51,33.9 MiB
2025-07-07 19:10:52,33.9 MiB
2025-07-07 19:10:53,33.9 MiB
2025-07-07 19:10:54,33.9 MiB
2025-07-07 19:10:55,33.9 MiB
2025-07-07 19:10:56,33.9 MiB
2025-07-07 19:10:57,33.9 MiB
2025-07-07 19:10:58,33.9 MiB
2025-07-07 19:10:59,33.9 MiB
2025-07-07 19:11:00,33.9 MiB
2025-07-07 19:11:01,33.9 MiB
2025-07-07 19:11:02,33.9 MiB
2025-07-07 19:11:03,33.9 MiB
2025-07-07 19:11:04,34.1 MiB
2025-07-07 19:11:05,34.1 MiB
2025-07-07 19:11:06,34.1 MiB
2025-07-07 19:11:07,34.1 MiB
2025-07-07 19:11:08,34.1 MiB
