"Time","image-filter-cfbfd9b5f-tvfzt"
2025-07-08 14:02:00,0.000698 cores
2025-07-08 14:02:02,0.000698 cores
2025-07-08 14:02:04,0.000698 cores
2025-07-08 14:02:06,0.000698 cores
2025-07-08 14:02:08,0.000572 cores
2025-07-08 14:02:10,0.000654 cores
2025-07-08 14:02:12,0.000769 cores
2025-07-08 14:02:14,0.000769 cores
2025-07-08 14:02:16,0.000769 cores
2025-07-08 14:02:18,0.000769 cores
2025-07-08 14:02:20,0.000769 cores
2025-07-08 14:02:22,0.000769 cores
2025-07-08 14:02:24,0.000769 cores
2025-07-08 14:02:26,0.000738 cores
2025-07-08 14:02:28,0.000766 cores
2025-07-08 14:02:30,0.000766 cores
2025-07-08 14:02:32,0.000766 cores
2025-07-08 14:02:34,0.000766 cores
2025-07-08 14:02:36,0.00230 cores
2025-07-08 14:02:38,0.00230 cores
2025-07-08 14:02:40,0.00252 cores
2025-07-08 14:02:42,0.00295 cores
2025-07-08 14:02:44,0.00295 cores
2025-07-08 14:02:46,0.00295 cores
2025-07-08 14:02:48,0.00295 cores
2025-07-08 14:02:50,0.00295 cores
2025-07-08 14:02:52,0.00247 cores
2025-07-08 14:02:54,0.00297 cores
2025-07-08 14:02:56,0.00365 cores
2025-07-08 14:02:58,0.00365 cores
2025-07-08 14:03:00,0.00365 cores
2025-07-08 14:03:02,0.00365 cores
2025-07-08 14:03:04,0.00365 cores
2025-07-08 14:03:06,0.00365 cores
2025-07-08 14:03:08,0.00365 cores
2025-07-08 14:03:10,0.00362 cores
2025-07-08 14:03:12,0.00362 cores
2025-07-08 14:03:14,0.00362 cores
2025-07-08 14:03:16,0.00362 cores
2025-07-08 14:03:18,0.00362 cores
2025-07-08 14:03:20,0.00362 cores
2025-07-08 14:03:22,0.00362 cores
2025-07-08 14:03:24,0.00362 cores
2025-07-08 14:03:26,0.00198 cores
2025-07-08 14:03:28,0.00163 cores
2025-07-08 14:03:30,0.00163 cores
2025-07-08 14:03:32,0.00163 cores
2025-07-08 14:03:34,0.00163 cores
2025-07-08 14:03:36,0.000707 cores
2025-07-08 14:03:38,0.000846 cores
