"Time","image-preprocess-6c747ff9dc-77b5s"
2025-07-08 14:02:00,0.000672 cores
2025-07-08 14:02:02,0.000672 cores
2025-07-08 14:02:04,0.000682 cores
2025-07-08 14:02:06,0.000630 cores
2025-07-08 14:02:08,0.000630 cores
2025-07-08 14:02:10,0.000630 cores
2025-07-08 14:02:12,0.000630 cores
2025-07-08 14:02:14,0.000630 cores
2025-07-08 14:02:16,0.000630 cores
2025-07-08 14:02:18,0.000630 cores
2025-07-08 14:02:20,0.000621 cores
2025-07-08 14:02:22,0.000621 cores
2025-07-08 14:02:24,0.000510 cores
2025-07-08 14:02:26,0.000489 cores
2025-07-08 14:02:28,0.000469 cores
2025-07-08 14:02:30,0.000448 cores
2025-07-08 14:02:32,0.000427 cores
2025-07-08 14:02:34,0.000407 cores
2025-07-08 14:02:36,0.119 cores
2025-07-08 14:02:38,0.119 cores
2025-07-08 14:02:40,0.119 cores
2025-07-08 14:02:42,0.119 cores
2025-07-08 14:02:44,0.119 cores
2025-07-08 14:02:46,0.119 cores
2025-07-08 14:02:48,0.119 cores
2025-07-08 14:02:50,0.141 cores
2025-07-08 14:02:52,0.141 cores
2025-07-08 14:02:54,0.183 cores
2025-07-08 14:02:56,0.183 cores
2025-07-08 14:02:58,0.183 cores
2025-07-08 14:03:00,0.183 cores
2025-07-08 14:03:02,0.141 cores
2025-07-08 14:03:04,0.141 cores
2025-07-08 14:03:06,0.0676 cores
2025-07-08 14:03:08,0.0712 cores
2025-07-08 14:03:10,0.0748 cores
2025-07-08 14:03:12,0.0784 cores
2025-07-08 14:03:14,0.0819 cores
2025-07-08 14:03:16,0.0855 cores
2025-07-08 14:03:18,0.0717 cores
2025-07-08 14:03:20,0.0717 cores
2025-07-08 14:03:22,0.0828 cores
2025-07-08 14:03:24,0.0792 cores
2025-07-08 14:03:26,0.0756 cores
2025-07-08 14:03:28,0.0721 cores
2025-07-08 14:03:30,0.0685 cores
2025-07-08 14:03:32,0.0649 cores
2025-07-08 14:03:34,0.0613 cores
2025-07-08 14:03:36,0.000633 cores
2025-07-08 14:03:38,0.000633 cores
2025-07-08 14:03:40,0.000633 cores
2025-07-08 14:03:42,0.000633 cores
2025-07-08 14:03:44,0.000633 cores
2025-07-08 14:03:46,0.000633 cores
2025-07-08 14:03:48,0.000633 cores
2025-07-08 14:03:50,0.000653 cores
2025-07-08 14:03:52,0.000653 cores
2025-07-08 14:03:54,0.000653 cores
2025-07-08 14:03:56,0.000653 cores
2025-07-08 14:03:58,0.000653 cores
2025-07-08 14:04:00,0.000653 cores
2025-07-08 14:04:08,0.000743 cores
2025-07-08 14:04:10,0.000743 cores
2025-07-08 14:04:12,0.000743 cores
2025-07-08 14:04:14,0.000743 cores
2025-07-08 14:04:16,0.000743 cores
2025-07-08 14:04:18,0.000743 cores
2025-07-08 14:04:20,0.000743 cores
2025-07-08 14:04:22,0.000743 cores
2025-07-08 14:04:24,0.000743 cores
2025-07-08 14:04:26,0.000743 cores
2025-07-08 14:04:28,0.000743 cores
2025-07-08 14:04:30,0.000743 cores
2025-07-08 14:04:32,0.000743 cores
2025-07-08 14:04:34,0.000743 cores
2025-07-08 14:04:36,0.00108 cores
2025-07-08 14:04:38,0.00108 cores
2025-07-08 14:04:40,0.00108 cores
2025-07-08 14:04:42,0.00108 cores
2025-07-08 14:04:44,0.00108 cores
2025-07-08 14:04:46,0.00108 cores
2025-07-08 14:04:48,0.00108 cores
2025-07-08 14:04:50,0.00108 cores
2025-07-08 14:04:52,0.00108 cores
2025-07-08 14:04:54,0.00108 cores
2025-07-08 14:04:56,0.00108 cores
2025-07-08 14:04:58,0.00108 cores
2025-07-08 14:05:00,0.00108 cores
2025-07-08 14:05:02,0.00108 cores
