"Time","{instance=""worker3"", interface=""lxc0058bbbb0c82""}"
2025-07-08 14:02:00,472 B/s
2025-07-08 14:02:02,472 B/s
2025-07-08 14:02:04,472 B/s
2025-07-08 14:02:06,472 B/s
2025-07-08 14:02:08,472 B/s
2025-07-08 14:02:10,472 B/s
2025-07-08 14:02:12,369 B/s
2025-07-08 14:02:14,385 B/s
2025-07-08 14:02:16,401 B/s
2025-07-08 14:02:18,472 B/s
2025-07-08 14:02:20,472 B/s
2025-07-08 14:02:22,472 B/s
2025-07-08 14:02:24,472 B/s
2025-07-08 14:02:26,472 B/s
2025-07-08 14:02:28,398 B/s
2025-07-08 14:02:30,382 B/s
2025-07-08 14:02:32,238 B/s
2025-07-08 14:02:34,6.77 kB/s
2025-07-08 14:02:36,7.04 kB/s
2025-07-08 14:02:38,8.30 kB/s
2025-07-08 14:02:40,8.30 kB/s
2025-07-08 14:02:42,8.30 kB/s
2025-07-08 14:02:44,14.3 kB/s
2025-07-08 14:02:46,14.3 kB/s
2025-07-08 14:02:48,14.3 kB/s
2025-07-08 14:02:50,14.3 kB/s
2025-07-08 14:02:52,17.7 kB/s
2025-07-08 14:02:54,17.7 kB/s
2025-07-08 14:02:56,17.7 kB/s
2025-07-08 14:02:58,15.0 kB/s
2025-07-08 14:03:00,14.4 kB/s
2025-07-08 14:03:02,18.6 kB/s
2025-07-08 14:03:04,14.3 kB/s
2025-07-08 14:03:06,14.3 kB/s
2025-07-08 14:03:08,14.3 kB/s
2025-07-08 14:03:10,14.3 kB/s
2025-07-08 14:03:12,10.3 kB/s
2025-07-08 14:03:14,8.02 kB/s
2025-07-08 14:03:16,8.35 kB/s
2025-07-08 14:03:18,9.92 kB/s
2025-07-08 14:03:20,9.92 kB/s
2025-07-08 14:03:22,9.92 kB/s
2025-07-08 14:03:24,9.92 kB/s
2025-07-08 14:03:26,9.92 kB/s
2025-07-08 14:03:28,8.43 kB/s
2025-07-08 14:03:30,8.10 kB/s
2025-07-08 14:03:32,7.77 kB/s
2025-07-08 14:03:34,482 B/s
2025-07-08 14:03:36,482 B/s
2025-07-08 14:03:38,482 B/s
2025-07-08 14:03:40,482 B/s
2025-07-08 14:03:42,482 B/s
2025-07-08 14:03:44,392 B/s
2025-07-08 14:03:46,408 B/s
2025-07-08 14:03:48,485 B/s
2025-07-08 14:03:50,485 B/s
2025-07-08 14:03:52,485 B/s
2025-07-08 14:03:54,485 B/s
2025-07-08 14:03:56,485 B/s
2025-07-08 14:03:58,413 B/s
2025-07-08 14:04:00,397 B/s
2025-07-08 14:04:02,381 B/s
2025-07-08 14:04:04,481 B/s
2025-07-08 14:04:06,481 B/s
2025-07-08 14:04:08,481 B/s
2025-07-08 14:04:10,481 B/s
2025-07-08 14:04:12,481 B/s
2025-07-08 14:04:14,383 B/s
2025-07-08 14:04:16,398 B/s
2025-07-08 14:04:18,475 B/s
2025-07-08 14:04:20,475 B/s
2025-07-08 14:04:22,475 B/s
2025-07-08 14:04:24,475 B/s
2025-07-08 14:04:26,475 B/s
2025-07-08 14:04:28,405 B/s
2025-07-08 14:04:30,390 B/s
2025-07-08 14:04:32,374 B/s
2025-07-08 14:04:34,481 B/s
2025-07-08 14:04:36,481 B/s
2025-07-08 14:04:38,481 B/s
2025-07-08 14:04:40,481 B/s
2025-07-08 14:04:42,481 B/s
2025-07-08 14:04:44,389 B/s
2025-07-08 14:04:46,405 B/s
2025-07-08 14:04:48,484 B/s
2025-07-08 14:04:50,484 B/s
2025-07-08 14:04:52,484 B/s
2025-07-08 14:04:54,484 B/s
2025-07-08 14:04:56,484 B/s
2025-07-08 14:04:58,413 B/s
2025-07-08 14:05:00,397 B/s
2025-07-08 14:05:02,381 B/s
2025-07-08 14:05:04,481 B/s
2025-07-08 14:05:06,481 B/s
2025-07-08 14:05:08,481 B/s
2025-07-08 14:05:10,481 B/s
2025-07-08 14:05:12,481 B/s
2025-07-08 14:05:14,380 B/s
2025-07-08 14:05:16,395 B/s
2025-07-08 14:05:18,474 B/s
2025-07-08 14:05:20,474 B/s
2025-07-08 14:05:22,474 B/s
2025-07-08 14:05:24,474 B/s
2025-07-08 14:05:26,474 B/s
2025-07-08 14:05:28,406 B/s
2025-07-08 14:05:30,390 B/s
2025-07-08 14:05:32,374 B/s
2025-07-08 14:05:34,472 B/s
2025-07-08 14:05:36,472 B/s
2025-07-08 14:05:38,472 B/s
2025-07-08 14:05:40,472 B/s
2025-07-08 14:05:42,472 B/s
2025-07-08 14:05:44,384 B/s
2025-07-08 14:05:46,399 B/s
2025-07-08 14:05:48,471 B/s
2025-07-08 14:05:50,395 B/s
2025-07-08 14:05:52,379 B/s
2025-07-08 14:05:54,9.65 kB/s
2025-07-08 14:05:56,9.65 kB/s
2025-07-08 14:05:58,9.65 kB/s
2025-07-08 14:06:00,9.65 kB/s
2025-07-08 14:06:02,9.65 kB/s
2025-07-08 14:06:04,15.4 kB/s
2025-07-08 14:06:06,15.4 kB/s
2025-07-08 14:06:08,15.4 kB/s
2025-07-08 14:06:10,15.4 kB/s
2025-07-08 14:06:12,15.4 kB/s
2025-07-08 14:06:14,15.3 kB/s
2025-07-08 14:06:16,15.9 kB/s
2025-07-08 14:06:18,16.5 kB/s
2025-07-08 14:06:20,19.1 kB/s
2025-07-08 14:06:22,19.1 kB/s
2025-07-08 14:06:24,19.1 kB/s
2025-07-08 14:06:26,19.1 kB/s
2025-07-08 14:06:28,16.4 kB/s
2025-07-08 14:06:30,15.8 kB/s
2025-07-08 14:06:32,15.1 kB/s
2025-07-08 14:06:34,6.09 kB/s
2025-07-08 14:06:36,6.34 kB/s
2025-07-08 14:06:38,6.60 kB/s
2025-07-08 14:06:40,7.63 kB/s
2025-07-08 14:06:42,7.63 kB/s
2025-07-08 14:06:44,6.20 kB/s
2025-07-08 14:06:46,6.20 kB/s
2025-07-08 14:06:48,6.20 kB/s
2025-07-08 14:06:50,6.20 kB/s
2025-07-08 14:06:52,6.20 kB/s
2025-07-08 14:06:54,474 B/s
2025-07-08 14:06:56,474 B/s
2025-07-08 14:06:58,408 B/s
2025-07-08 14:07:00,392 B/s
2025-07-08 14:07:02,376 B/s
2025-07-08 14:07:04,474 B/s
2025-07-08 14:07:06,474 B/s
2025-07-08 14:07:08,474 B/s
2025-07-08 14:07:10,474 B/s
2025-07-08 14:07:12,474 B/s
2025-07-08 14:07:14,377 B/s
2025-07-08 14:07:16,393 B/s
2025-07-08 14:07:18,409 B/s
2025-07-08 14:07:20,474 B/s
2025-07-08 14:07:22,474 B/s
2025-07-08 14:07:24,474 B/s
2025-07-08 14:07:26,474 B/s
2025-07-08 14:07:28,408 B/s
2025-07-08 14:07:30,393 B/s
2025-07-08 14:07:32,377 B/s
2025-07-08 14:07:34,474 B/s
2025-07-08 14:07:36,474 B/s
2025-07-08 14:07:38,474 B/s
2025-07-08 14:07:40,474 B/s
2025-07-08 14:07:42,474 B/s
2025-07-08 14:07:44,376 B/s
2025-07-08 14:07:46,392 B/s
2025-07-08 14:07:48,408 B/s
2025-07-08 14:07:50,474 B/s
2025-07-08 14:07:52,474 B/s
2025-07-08 14:07:54,474 B/s
2025-07-08 14:07:56,474 B/s
2025-07-08 14:07:58,409 B/s
2025-07-08 14:08:00,393 B/s
2025-07-08 14:08:02,378 B/s
2025-07-08 14:08:04,472 B/s
2025-07-08 14:08:06,472 B/s
2025-07-08 14:08:08,472 B/s
2025-07-08 14:08:10,472 B/s
2025-07-08 14:08:12,472 B/s
2025-07-08 14:08:14,370 B/s
2025-07-08 14:08:16,386 B/s
2025-07-08 14:08:18,402 B/s
2025-07-08 14:08:20,467 B/s
2025-07-08 14:08:22,467 B/s
2025-07-08 14:08:24,467 B/s
2025-07-08 14:08:26,467 B/s
2025-07-08 14:08:28,404 B/s
2025-07-08 14:08:30,389 B/s
2025-07-08 14:08:32,373 B/s
2025-07-08 14:08:34,467 B/s
2025-07-08 14:08:36,467 B/s
2025-07-08 14:08:38,467 B/s
2025-07-08 14:08:40,467 B/s
2025-07-08 14:08:42,467 B/s
2025-07-08 14:08:44,370 B/s
2025-07-08 14:08:46,385 B/s
2025-07-08 14:08:48,401 B/s
2025-07-08 14:08:50,467 B/s
2025-07-08 14:08:52,467 B/s
2025-07-08 14:08:54,467 B/s
2025-07-08 14:08:56,467 B/s
2025-07-08 14:08:58,467 B/s
2025-07-08 14:09:00,389 B/s
2025-07-08 14:09:02,374 B/s
2025-07-08 14:09:04,7.06 kB/s
2025-07-08 14:09:06,7.06 kB/s
2025-07-08 14:09:08,7.06 kB/s
2025-07-08 14:09:10,7.06 kB/s
2025-07-08 14:09:12,7.06 kB/s
2025-07-08 14:09:14,12.4 kB/s
2025-07-08 14:09:16,13.0 kB/s
2025-07-08 14:09:18,13.5 kB/s
2025-07-08 14:09:20,15.7 kB/s
2025-07-08 14:09:22,15.7 kB/s
2025-07-08 14:09:24,15.7 kB/s
2025-07-08 14:09:26,15.7 kB/s
2025-07-08 14:09:28,15.7 kB/s
2025-07-08 14:09:30,13.1 kB/s
2025-07-08 14:09:32,12.6 kB/s
2025-07-08 14:09:34,14.4 kB/s
2025-07-08 14:09:36,14.4 kB/s
2025-07-08 14:09:38,14.4 kB/s
2025-07-08 14:09:40,14.4 kB/s
2025-07-08 14:09:42,14.4 kB/s
2025-07-08 14:09:44,7.64 kB/s
2025-07-08 14:09:46,7.96 kB/s
2025-07-08 14:09:48,8.28 kB/s
2025-07-08 14:09:50,9.69 kB/s
2025-07-08 14:09:52,9.69 kB/s
2025-07-08 14:09:54,9.69 kB/s
2025-07-08 14:09:56,9.69 kB/s
2025-07-08 14:09:58,9.69 kB/s
2025-07-08 14:10:00,8.10 kB/s
2025-07-08 14:10:02,7.78 kB/s
2025-07-08 14:10:04,2.23 kB/s
2025-07-08 14:10:06,2.23 kB/s
2025-07-08 14:10:08,2.23 kB/s
2025-07-08 14:10:10,2.23 kB/s
2025-07-08 14:10:12,2.23 kB/s
2025-07-08 14:10:14,373 B/s
2025-07-08 14:10:16,389 B/s
2025-07-08 14:10:18,404 B/s
2025-07-08 14:10:20,474 B/s
2025-07-08 14:10:22,474 B/s
2025-07-08 14:10:24,474 B/s
2025-07-08 14:10:26,474 B/s
2025-07-08 14:10:28,474 B/s
2025-07-08 14:10:30,397 B/s
2025-07-08 14:10:32,381 B/s
2025-07-08 14:10:34,474 B/s
2025-07-08 14:10:36,474 B/s
2025-07-08 14:10:38,474 B/s
2025-07-08 14:10:40,474 B/s
2025-07-08 14:10:42,474 B/s
2025-07-08 14:10:44,372 B/s
2025-07-08 14:10:46,388 B/s
2025-07-08 14:10:48,404 B/s
2025-07-08 14:10:50,474 B/s
2025-07-08 14:10:52,474 B/s
2025-07-08 14:10:54,474 B/s
2025-07-08 14:10:56,474 B/s
2025-07-08 14:10:58,474 B/s
2025-07-08 14:11:00,398 B/s
2025-07-08 14:11:02,382 B/s
2025-07-08 14:11:04,474 B/s
2025-07-08 14:11:06,474 B/s
