"Time","{instance=""worker3"", interface=""lxc0058bbbb0c82""}"
2025-07-08 14:02:00,471 B/s
2025-07-08 14:02:02,469 B/s
2025-07-08 14:02:04,469 B/s
2025-07-08 14:02:06,469 B/s
2025-07-08 14:02:08,469 B/s
2025-07-08 14:02:10,469 B/s
2025-07-08 14:02:12,357 B/s
2025-07-08 14:02:14,372 B/s
2025-07-08 14:02:16,388 B/s
2025-07-08 14:02:18,457 B/s
2025-07-08 14:02:20,457 B/s
2025-07-08 14:02:22,457 B/s
2025-07-08 14:02:24,457 B/s
2025-07-08 14:02:26,457 B/s
2025-07-08 14:02:28,385 B/s
2025-07-08 14:02:30,369 B/s
2025-07-08 14:02:32,226 B/s
2025-07-08 14:02:34,1.28 MB/s
2025-07-08 14:02:36,1.33 MB/s
2025-07-08 14:02:38,1.57 MB/s
2025-07-08 14:02:40,1.57 MB/s
2025-07-08 14:02:42,1.57 MB/s
2025-07-08 14:02:44,2.85 MB/s
2025-07-08 14:02:46,2.85 MB/s
2025-07-08 14:02:48,2.85 MB/s
2025-07-08 14:02:50,2.85 MB/s
2025-07-08 14:02:52,3.56 MB/s
2025-07-08 14:02:54,3.56 MB/s
2025-07-08 14:02:56,3.56 MB/s
2025-07-08 14:02:58,3.03 MB/s
2025-07-08 14:03:00,2.91 MB/s
2025-07-08 14:03:02,3.78 MB/s
2025-07-08 14:03:04,2.85 MB/s
2025-07-08 14:03:06,2.85 MB/s
2025-07-08 14:03:08,2.85 MB/s
2025-07-08 14:03:10,2.85 MB/s
2025-07-08 14:03:12,2.11 MB/s
2025-07-08 14:03:14,1.62 MB/s
2025-07-08 14:03:16,1.69 MB/s
2025-07-08 14:03:18,2.01 MB/s
2025-07-08 14:03:20,2.01 MB/s
2025-07-08 14:03:22,2.01 MB/s
2025-07-08 14:03:24,2.01 MB/s
2025-07-08 14:03:26,2.01 MB/s
2025-07-08 14:03:28,1.71 MB/s
2025-07-08 14:03:30,1.64 MB/s
2025-07-08 14:03:32,1.57 MB/s
2025-07-08 14:03:34,456 B/s
2025-07-08 14:03:36,456 B/s
2025-07-08 14:03:38,456 B/s
2025-07-08 14:03:40,456 B/s
2025-07-08 14:03:42,456 B/s
2025-07-08 14:03:44,368 B/s
2025-07-08 14:03:46,383 B/s
2025-07-08 14:03:48,456 B/s
2025-07-08 14:03:50,456 B/s
2025-07-08 14:03:52,456 B/s
2025-07-08 14:03:54,456 B/s
2025-07-08 14:03:56,456 B/s
2025-07-08 14:03:58,388 B/s
2025-07-08 14:04:00,373 B/s
2025-07-08 14:04:02,358 B/s
2025-07-08 14:04:04,449 B/s
2025-07-08 14:04:06,449 B/s
2025-07-08 14:04:08,449 B/s
2025-07-08 14:04:10,449 B/s
2025-07-08 14:04:12,449 B/s
2025-07-08 14:04:14,362 B/s
2025-07-08 14:04:16,377 B/s
2025-07-08 14:04:18,450 B/s
2025-07-08 14:04:20,450 B/s
2025-07-08 14:04:22,450 B/s
2025-07-08 14:04:24,450 B/s
2025-07-08 14:04:26,450 B/s
2025-07-08 14:04:28,384 B/s
2025-07-08 14:04:30,369 B/s
2025-07-08 14:04:32,354 B/s
2025-07-08 14:04:34,470 B/s
2025-07-08 14:04:36,470 B/s
2025-07-08 14:04:38,470 B/s
2025-07-08 14:04:40,470 B/s
2025-07-08 14:04:42,470 B/s
2025-07-08 14:04:44,386 B/s
2025-07-08 14:04:46,402 B/s
2025-07-08 14:04:48,481 B/s
2025-07-08 14:04:50,481 B/s
2025-07-08 14:04:52,481 B/s
2025-07-08 14:04:54,481 B/s
2025-07-08 14:04:56,481 B/s
2025-07-08 14:04:58,411 B/s
2025-07-08 14:05:00,395 B/s
2025-07-08 14:05:02,379 B/s
2025-07-08 14:05:04,480 B/s
2025-07-08 14:05:06,480 B/s
2025-07-08 14:05:08,480 B/s
2025-07-08 14:05:10,480 B/s
2025-07-08 14:05:12,480 B/s
2025-07-08 14:05:14,375 B/s
2025-07-08 14:05:16,391 B/s
2025-07-08 14:05:18,468 B/s
2025-07-08 14:05:20,468 B/s
2025-07-08 14:05:22,468 B/s
2025-07-08 14:05:24,468 B/s
2025-07-08 14:05:26,468 B/s
2025-07-08 14:05:28,401 B/s
2025-07-08 14:05:30,385 B/s
2025-07-08 14:05:32,370 B/s
2025-07-08 14:05:34,464 B/s
2025-07-08 14:05:36,464 B/s
2025-07-08 14:05:38,464 B/s
2025-07-08 14:05:40,464 B/s
2025-07-08 14:05:42,464 B/s
2025-07-08 14:05:44,374 B/s
2025-07-08 14:05:46,390 B/s
2025-07-08 14:05:48,460 B/s
2025-07-08 14:05:50,385 B/s
2025-07-08 14:05:52,370 B/s
2025-07-08 14:05:54,1.84 MB/s
2025-07-08 14:05:56,1.84 MB/s
2025-07-08 14:05:58,1.84 MB/s
2025-07-08 14:06:00,1.84 MB/s
2025-07-08 14:06:02,1.84 MB/s
2025-07-08 14:06:04,2.87 MB/s
2025-07-08 14:06:06,2.87 MB/s
2025-07-08 14:06:08,2.87 MB/s
2025-07-08 14:06:10,2.87 MB/s
2025-07-08 14:06:12,2.87 MB/s
2025-07-08 14:06:14,2.87 MB/s
2025-07-08 14:06:16,2.98 MB/s
2025-07-08 14:06:18,3.10 MB/s
2025-07-08 14:06:20,3.59 MB/s
2025-07-08 14:06:22,3.59 MB/s
2025-07-08 14:06:24,3.59 MB/s
2025-07-08 14:06:26,3.59 MB/s
2025-07-08 14:06:28,3.08 MB/s
2025-07-08 14:06:30,2.96 MB/s
2025-07-08 14:06:32,2.84 MB/s
2025-07-08 14:06:34,1.03 MB/s
2025-07-08 14:06:36,1.07 MB/s
2025-07-08 14:06:38,1.12 MB/s
2025-07-08 14:06:40,1.29 MB/s
2025-07-08 14:06:42,1.29 MB/s
2025-07-08 14:06:44,1.03 MB/s
2025-07-08 14:06:46,1.03 MB/s
2025-07-08 14:06:48,1.03 MB/s
2025-07-08 14:06:50,1.03 MB/s
2025-07-08 14:06:52,1.03 MB/s
2025-07-08 14:06:54,447 B/s
2025-07-08 14:06:56,447 B/s
2025-07-08 14:06:58,385 B/s
2025-07-08 14:07:00,370 B/s
2025-07-08 14:07:02,355 B/s
2025-07-08 14:07:04,447 B/s
2025-07-08 14:07:06,447 B/s
2025-07-08 14:07:08,447 B/s
2025-07-08 14:07:10,447 B/s
2025-07-08 14:07:12,447 B/s
2025-07-08 14:07:14,356 B/s
2025-07-08 14:07:16,370 B/s
2025-07-08 14:07:18,385 B/s
2025-07-08 14:07:20,447 B/s
2025-07-08 14:07:22,447 B/s
2025-07-08 14:07:24,447 B/s
2025-07-08 14:07:26,447 B/s
2025-07-08 14:07:28,385 B/s
2025-07-08 14:07:30,370 B/s
2025-07-08 14:07:32,355 B/s
2025-07-08 14:07:34,448 B/s
2025-07-08 14:07:36,448 B/s
2025-07-08 14:07:38,448 B/s
2025-07-08 14:07:40,448 B/s
2025-07-08 14:07:42,448 B/s
2025-07-08 14:07:44,359 B/s
2025-07-08 14:07:46,374 B/s
2025-07-08 14:07:48,389 B/s
2025-07-08 14:07:50,452 B/s
2025-07-08 14:07:52,452 B/s
2025-07-08 14:07:54,452 B/s
2025-07-08 14:07:56,452 B/s
2025-07-08 14:07:58,390 B/s
2025-07-08 14:08:00,375 B/s
2025-07-08 14:08:02,360 B/s
2025-07-08 14:08:04,458 B/s
2025-07-08 14:08:06,458 B/s
2025-07-08 14:08:08,458 B/s
2025-07-08 14:08:10,458 B/s
2025-07-08 14:08:12,458 B/s
2025-07-08 14:08:14,370 B/s
2025-07-08 14:08:16,385 B/s
2025-07-08 14:08:18,401 B/s
2025-07-08 14:08:20,467 B/s
2025-07-08 14:08:22,467 B/s
2025-07-08 14:08:24,467 B/s
2025-07-08 14:08:26,467 B/s
2025-07-08 14:08:28,404 B/s
2025-07-08 14:08:30,388 B/s
2025-07-08 14:08:32,373 B/s
2025-07-08 14:08:34,464 B/s
2025-07-08 14:08:36,464 B/s
2025-07-08 14:08:38,464 B/s
2025-07-08 14:08:40,464 B/s
2025-07-08 14:08:42,464 B/s
2025-07-08 14:08:44,363 B/s
2025-07-08 14:08:46,378 B/s
2025-07-08 14:08:48,393 B/s
2025-07-08 14:08:50,458 B/s
2025-07-08 14:08:52,458 B/s
2025-07-08 14:08:54,458 B/s
2025-07-08 14:08:56,458 B/s
2025-07-08 14:08:58,458 B/s
2025-07-08 14:09:00,382 B/s
2025-07-08 14:09:02,367 B/s
2025-07-08 14:09:04,1.26 MB/s
2025-07-08 14:09:06,1.26 MB/s
2025-07-08 14:09:08,1.26 MB/s
2025-07-08 14:09:10,1.26 MB/s
2025-07-08 14:09:12,1.26 MB/s
2025-07-08 14:09:14,2.49 MB/s
2025-07-08 14:09:16,2.60 MB/s
2025-07-08 14:09:18,2.71 MB/s
2025-07-08 14:09:20,3.16 MB/s
2025-07-08 14:09:22,3.16 MB/s
2025-07-08 14:09:24,3.16 MB/s
2025-07-08 14:09:26,3.16 MB/s
2025-07-08 14:09:28,3.16 MB/s
2025-07-08 14:09:30,2.64 MB/s
2025-07-08 14:09:32,2.53 MB/s
2025-07-08 14:09:34,2.87 MB/s
2025-07-08 14:09:36,2.87 MB/s
2025-07-08 14:09:38,2.87 MB/s
2025-07-08 14:09:40,2.87 MB/s
2025-07-08 14:09:42,2.87 MB/s
2025-07-08 14:09:44,1.58 MB/s
