"Time","image-filter-cfbfd9b5f-tvfzt"
2025-07-08 14:02:00,28.7 MiB
2025-07-08 14:02:02,28.7 MiB
2025-07-08 14:02:04,28.7 MiB
2025-07-08 14:02:06,28.7 MiB
2025-07-08 14:02:08,28.7 MiB
2025-07-08 14:02:10,28.8 MiB
2025-07-08 14:02:12,28.8 MiB
2025-07-08 14:02:14,28.8 MiB
2025-07-08 14:02:16,28.8 MiB
2025-07-08 14:02:18,28.8 MiB
2025-07-08 14:02:20,28.8 MiB
2025-07-08 14:02:22,28.8 MiB
2025-07-08 14:02:24,28.8 MiB
2025-07-08 14:02:26,28.8 MiB
2025-07-08 14:02:28,28.8 MiB
2025-07-08 14:02:30,28.8 MiB
2025-07-08 14:02:32,28.8 MiB
2025-07-08 14:02:34,28.8 MiB
2025-07-08 14:02:36,29.6 MiB
2025-07-08 14:02:38,29.6 MiB
2025-07-08 14:02:40,29.6 MiB
2025-07-08 14:02:42,29.6 MiB
2025-07-08 14:02:44,29.6 MiB
2025-07-08 14:02:46,29.6 MiB
2025-07-08 14:02:48,29.6 MiB
2025-07-08 14:02:50,29.6 MiB
2025-07-08 14:02:52,29.6 MiB
2025-07-08 14:02:54,30.2 MiB
2025-07-08 14:02:56,30.2 MiB
2025-07-08 14:02:58,30.2 MiB
2025-07-08 14:03:00,30.2 MiB
2025-07-08 14:03:02,30.2 MiB
2025-07-08 14:03:04,30.2 MiB
2025-07-08 14:03:06,30.2 MiB
2025-07-08 14:03:08,30.2 MiB
2025-07-08 14:03:10,30.2 MiB
2025-07-08 14:03:12,30.2 MiB
2025-07-08 14:03:14,30.2 MiB
2025-07-08 14:03:16,30.2 MiB
2025-07-08 14:03:18,30.2 MiB
2025-07-08 14:03:20,30.2 MiB
2025-07-08 14:03:22,30.2 MiB
2025-07-08 14:03:24,30.2 MiB
2025-07-08 14:03:26,30.2 MiB
2025-07-08 14:03:28,30.2 MiB
2025-07-08 14:03:30,30.2 MiB
2025-07-08 14:03:32,30.2 MiB
2025-07-08 14:03:34,30.2 MiB
2025-07-08 14:03:36,30.2 MiB
2025-07-08 14:03:38,30.2 MiB
2025-07-08 14:03:40,30.2 MiB
2025-07-08 14:03:42,30.2 MiB
2025-07-08 14:03:44,30.2 MiB
2025-07-08 14:03:46,30.2 MiB
2025-07-08 14:03:48,30.2 MiB
2025-07-08 14:03:50,30.3 MiB
2025-07-08 14:03:52,30.3 MiB
2025-07-08 14:03:54,30.3 MiB
2025-07-08 14:03:56,30.3 MiB
2025-07-08 14:03:58,30.3 MiB
2025-07-08 14:04:00,30.3 MiB
2025-07-08 14:04:02,30.3 MiB
2025-07-08 14:04:04,30.3 MiB
2025-07-08 14:04:06,30.3 MiB
2025-07-08 14:04:08,30.3 MiB
