"Time","image-stats-746c9bfb67-bzkw5"
2025-07-08 14:02:00,35.2 MiB
2025-07-08 14:02:02,35.0 MiB
2025-07-08 14:02:04,35.0 MiB
2025-07-08 14:02:06,35.0 MiB
2025-07-08 14:02:08,35.0 MiB
2025-07-08 14:02:10,35.0 MiB
2025-07-08 14:02:12,35.0 MiB
2025-07-08 14:02:14,35.0 MiB
2025-07-08 14:02:16,35.0 MiB
2025-07-08 14:02:18,35.0 MiB
2025-07-08 14:02:20,35.0 MiB
2025-07-08 14:02:22,35.0 MiB
2025-07-08 14:02:24,35.1 MiB
2025-07-08 14:02:26,35.1 MiB
2025-07-08 14:02:28,35.1 MiB
2025-07-08 14:02:30,35.1 MiB
2025-07-08 14:02:32,35.1 MiB
2025-07-08 14:02:34,35.1 MiB
2025-07-08 14:02:36,35.1 MiB
2025-07-08 14:02:38,35.1 MiB
2025-07-08 14:02:40,35.1 MiB
2025-07-08 14:02:42,35.7 MiB
2025-07-08 14:02:44,35.7 MiB
2025-07-08 14:02:46,35.7 MiB
2025-07-08 14:02:48,35.7 MiB
2025-07-08 14:02:50,35.7 MiB
2025-07-08 14:02:52,35.7 MiB
2025-07-08 14:02:54,35.8 MiB
2025-07-08 14:02:56,35.8 MiB
2025-07-08 14:02:58,35.8 MiB
2025-07-08 14:03:00,35.8 MiB
2025-07-08 14:03:02,35.8 MiB
2025-07-08 14:03:04,35.8 MiB
2025-07-08 14:03:06,35.8 MiB
2025-07-08 14:03:08,35.8 MiB
2025-07-08 14:03:10,35.8 MiB
2025-07-08 14:03:12,35.8 MiB
2025-07-08 14:03:14,35.8 MiB
2025-07-08 14:03:16,35.8 MiB
2025-07-08 14:03:18,35.8 MiB
2025-07-08 14:03:20,35.8 MiB
2025-07-08 14:03:22,35.8 MiB
2025-07-08 14:03:24,35.8 MiB
2025-07-08 14:03:26,35.8 MiB
2025-07-08 14:03:28,35.9 MiB
2025-07-08 14:03:30,35.9 MiB
2025-07-08 14:03:32,35.9 MiB
2025-07-08 14:03:34,35.9 MiB
2025-07-08 14:03:36,35.9 MiB
2025-07-08 14:03:38,35.9 MiB
