"Time","image-preprocess-86465bd66c-zkmrk"
2025-07-07 13:42:20,0.0121 cores
2025-07-07 13:42:21,0.0121 cores
2025-07-07 13:42:22,0.0121 cores
2025-07-07 13:42:23,0.0121 cores
2025-07-07 13:42:24,0.0121 cores
2025-07-07 13:42:25,0.0121 cores
2025-07-07 13:42:26,0.0121 cores
2025-07-07 13:42:27,0.0121 cores
2025-07-07 13:42:28,0.0121 cores
2025-07-07 13:42:29,0.0121 cores
2025-07-07 13:42:30,0.0121 cores
2025-07-07 13:42:31,0.0121 cores
2025-07-07 13:42:32,0.0219 cores
2025-07-07 13:42:33,0.0219 cores
2025-07-07 13:42:34,0.0219 cores
2025-07-07 13:42:35,0.0219 cores
2025-07-07 13:42:36,0.0219 cores
2025-07-07 13:42:37,0.0219 cores
2025-07-07 13:42:38,0.0219 cores
2025-07-07 13:42:39,0.0219 cores
2025-07-07 13:42:40,0.0219 cores
2025-07-07 13:42:41,0.0219 cores
2025-07-07 13:42:42,0.0219 cores
2025-07-07 13:42:43,0.0219 cores
2025-07-07 13:42:44,0.0231 cores
2025-07-07 13:42:45,0.0236 cores
2025-07-07 13:42:46,0.0240 cores
2025-07-07 13:42:47,0.0243 cores
2025-07-07 13:42:48,0.0243 cores
2025-07-07 13:42:49,0.0243 cores
2025-07-07 13:42:50,0.0243 cores
2025-07-07 13:42:51,0.0243 cores
2025-07-07 13:42:52,0.0243 cores
2025-07-07 13:42:53,0.0243 cores
2025-07-07 13:42:54,0.0199 cores
2025-07-07 13:42:55,0.0199 cores
2025-07-07 13:42:56,0.0199 cores
2025-07-07 13:42:57,0.0199 cores
2025-07-07 13:42:58,0.0199 cores
2025-07-07 13:42:59,0.0199 cores
2025-07-07 13:43:00,0.0115 cores
2025-07-07 13:43:01,0.0118 cores
2025-07-07 13:43:02,0.0120 cores
2025-07-07 13:43:03,0.0123 cores
2025-07-07 13:43:04,0.0125 cores
2025-07-07 13:43:05,0.0128 cores
2025-07-07 13:43:06,0.0113 cores
2025-07-07 13:43:07,0.0130 cores
2025-07-07 13:43:08,0.0127 cores
2025-07-07 13:43:09,0.0125 cores
2025-07-07 13:43:10,0.0103 cores
2025-07-07 13:43:11,0.0103 cores
2025-07-07 13:43:12,0.0103 cores
2025-07-07 13:43:13,0.0103 cores
2025-07-07 13:43:14,0.0103 cores
2025-07-07 13:43:15,0.0103 cores
2025-07-07 13:43:16,0.0103 cores
2025-07-07 13:43:17,0.0103 cores
2025-07-07 13:43:18,0.0103 cores
2025-07-07 13:43:19,0.0103 cores
2025-07-07 13:43:20,0.000876 cores
2025-07-07 13:43:21,0.000876 cores
2025-07-07 13:43:22,0.000876 cores
2025-07-07 13:43:23,0.000876 cores
2025-07-07 13:43:24,0.000763 cores
2025-07-07 13:43:25,0.000858 cores
2025-07-07 13:43:26,0.000858 cores
2025-07-07 13:43:27,0.000858 cores
2025-07-07 13:43:28,0.000858 cores
2025-07-07 13:43:29,0.000858 cores
2025-07-07 13:43:30,0.000858 cores
2025-07-07 13:43:31,0.000858 cores
2025-07-07 13:43:32,0.000854 cores
2025-07-07 13:43:33,0.000854 cores
2025-07-07 13:43:34,0.000854 cores
2025-07-07 13:43:35,0.000854 cores
2025-07-07 13:43:36,0.000854 cores
2025-07-07 13:43:37,0.000854 cores
2025-07-07 13:43:38,0.000872 cores
2025-07-07 13:43:39,0.000872 cores
2025-07-07 13:43:40,0.000872 cores
