"Time","image-stats-746c9bfb67-2sr2g"
2025-07-07 13:42:20,0.000775 cores
2025-07-07 13:42:21,0.000775 cores
2025-07-07 13:42:22,0.000775 cores
2025-07-07 13:42:23,0.000775 cores
2025-07-07 13:42:24,0.000775 cores
2025-07-07 13:42:25,0.000775 cores
2025-07-07 13:42:26,0.000775 cores
2025-07-07 13:42:27,0.000775 cores
2025-07-07 13:42:28,0.000775 cores
2025-07-07 13:42:29,0.000775 cores
2025-07-07 13:42:30,0.000775 cores
2025-07-07 13:42:31,0.000775 cores
2025-07-07 13:42:32,0.000656 cores
2025-07-07 13:42:33,0.000643 cores
2025-07-07 13:42:34,0.000638 cores
2025-07-07 13:42:35,0.00140 cores
2025-07-07 13:42:36,0.00140 cores
2025-07-07 13:42:37,0.00140 cores
2025-07-07 13:42:38,0.00140 cores
2025-07-07 13:42:39,0.00140 cores
2025-07-07 13:42:40,0.00140 cores
2025-07-07 13:42:41,0.00140 cores
2025-07-07 13:42:42,0.00140 cores
2025-07-07 13:42:43,0.00140 cores
2025-07-07 13:42:44,0.00140 cores
2025-07-07 13:42:45,0.00140 cores
2025-07-07 13:42:46,0.00140 cores
2025-07-07 13:42:47,0.00140 cores
2025-07-07 13:42:48,0.00140 cores
2025-07-07 13:42:49,0.00174 cores
2025-07-07 13:42:50,0.00174 cores
2025-07-07 13:42:51,0.00174 cores
2025-07-07 13:42:52,0.00147 cores
2025-07-07 13:42:53,0.00147 cores
2025-07-07 13:42:54,0.00147 cores
2025-07-07 13:42:55,0.00147 cores
2025-07-07 13:42:56,0.00147 cores
2025-07-07 13:42:57,0.00147 cores
2025-07-07 13:42:58,0.00147 cores
2025-07-07 13:42:59,0.00147 cores
2025-07-07 13:43:00,0.00147 cores
2025-07-07 13:43:01,0.00147 cores
2025-07-07 13:43:02,0.00147 cores
2025-07-07 13:43:03,0.00147 cores
2025-07-07 13:43:04,0.00147 cores
2025-07-07 13:43:05,0.00168 cores
2025-07-07 13:43:06,0.00168 cores
2025-07-07 13:43:07,0.00168 cores
2025-07-07 13:43:08,0.00145 cores
2025-07-07 13:43:09,0.00145 cores
2025-07-07 13:43:10,0.00145 cores
2025-07-07 13:43:11,0.00145 cores
2025-07-07 13:43:12,0.00145 cores
2025-07-07 13:43:13,0.00145 cores
2025-07-07 13:43:14,0.00145 cores
2025-07-07 13:43:15,0.00145 cores
2025-07-07 13:43:16,0.000795 cores
2025-07-07 13:43:17,0.000964 cores
2025-07-07 13:43:18,0.000964 cores
2025-07-07 13:43:19,0.000964 cores
2025-07-07 13:43:20,0.000964 cores
2025-07-07 13:43:21,0.000964 cores
2025-07-07 13:43:22,0.000964 cores
2025-07-07 13:43:23,0.000964 cores
2025-07-07 13:43:24,0.000964 cores
2025-07-07 13:43:25,0.000964 cores
2025-07-07 13:43:26,0.000801 cores
2025-07-07 13:43:27,0.000785 cores
2025-07-07 13:43:28,0.000769 cores
2025-07-07 13:43:29,0.000753 cores
2025-07-07 13:43:30,0.000736 cores
2025-07-07 13:43:31,0.000720 cores
2025-07-07 13:43:32,0.000704 cores
2025-07-07 13:43:33,0.000959 cores
2025-07-07 13:43:34,0.000959 cores
2025-07-07 13:43:35,0.000946 cores
2025-07-07 13:43:36,0.000946 cores
2025-07-07 13:43:37,0.000946 cores
2025-07-07 13:43:38,0.000946 cores
2025-07-07 13:43:39,0.000946 cores
2025-07-07 13:43:40,0.000946 cores
2025-07-07 13:43:41,0.000946 cores
2025-07-07 13:43:42,0.000946 cores
2025-07-07 13:43:43,0.000934 cores
2025-07-07 13:43:44,0.000934 cores
2025-07-07 13:43:45,0.000934 cores
2025-07-07 13:43:46,0.000934 cores
2025-07-07 13:43:47,0.000934 cores
2025-07-07 13:43:48,0.000934 cores
2025-07-07 13:43:49,0.000934 cores
2025-07-07 13:43:50,0.000934 cores
2025-07-07 13:43:51,0.000934 cores
2025-07-07 13:43:52,0.000933 cores
2025-07-07 13:43:53,0.000933 cores
2025-07-07 13:43:54,0.000933 cores
2025-07-07 13:43:55,0.000950 cores
2025-07-07 13:43:56,0.000950 cores
2025-07-07 13:43:57,0.000950 cores
2025-07-07 13:43:58,0.000950 cores
2025-07-07 13:43:59,0.000950 cores
2025-07-07 13:44:00,0.000950 cores
2025-07-07 13:44:01,0.000950 cores
2025-07-07 13:44:02,0.000950 cores
2025-07-07 13:44:03,0.000950 cores
2025-07-07 13:44:04,0.000950 cores
2025-07-07 13:44:05,0.000950 cores
2025-07-07 13:44:06,0.000950 cores
2025-07-07 13:44:07,0.000950 cores
2025-07-07 13:44:08,0.000525 cores
2025-07-07 13:44:09,0.000525 cores
2025-07-07 13:44:10,0.000525 cores
2025-07-07 13:44:11,0.000666 cores
2025-07-07 13:44:12,0.000680 cores
2025-07-07 13:44:13,0.000695 cores
2025-07-07 13:44:14,0.000710 cores
2025-07-07 13:44:15,0.000725 cores
2025-07-07 13:44:16,0.000739 cores
2025-07-07 13:44:17,0.000754 cores
2025-07-07 13:44:18,0.000769 cores
2025-07-07 13:44:19,0.000884 cores
2025-07-07 13:44:20,0.000884 cores
2025-07-07 13:44:21,0.000884 cores
2025-07-07 13:44:22,0.000884 cores
2025-07-07 13:44:23,0.000884 cores
2025-07-07 13:44:24,0.000884 cores
2025-07-07 13:44:25,0.000884 cores
2025-07-07 13:44:26,0.000758 cores
2025-07-07 13:44:27,0.000743 cores
2025-07-07 13:44:28,0.000728 cores
2025-07-07 13:44:29,0.000713 cores
2025-07-07 13:44:30,0.000873 cores
2025-07-07 13:44:31,0.000873 cores
2025-07-07 13:44:32,0.000873 cores
2025-07-07 13:44:33,0.000870 cores
2025-07-07 13:44:34,0.000870 cores
2025-07-07 13:44:35,0.000870 cores
2025-07-07 13:44:36,0.000870 cores
2025-07-07 13:44:37,0.000870 cores
2025-07-07 13:44:38,0.000870 cores
2025-07-07 13:44:39,0.000870 cores
2025-07-07 13:44:40,0.000870 cores
2025-07-07 13:44:41,0.000870 cores
2025-07-07 13:44:42,0.000870 cores
2025-07-07 13:44:43,0.000828 cores
2025-07-07 13:44:44,0.000828 cores
2025-07-07 13:44:45,0.000828 cores
2025-07-07 13:44:46,0.000828 cores
2025-07-07 13:44:47,0.000828 cores
2025-07-07 13:44:48,0.000828 cores
2025-07-07 13:44:49,0.000828 cores
2025-07-07 13:44:50,0.000840 cores
2025-07-07 13:44:51,0.000840 cores
2025-07-07 13:44:52,0.000840 cores
2025-07-07 13:44:53,0.000840 cores
2025-07-07 13:44:54,0.000840 cores
2025-07-07 13:44:55,0.000856 cores
2025-07-07 13:44:56,0.000856 cores
2025-07-07 13:44:57,0.000856 cores
2025-07-07 13:44:58,0.000856 cores
2025-07-07 13:44:59,0.000856 cores
2025-07-07 13:45:00,0.000856 cores
2025-07-07 13:45:01,0.000856 cores
2025-07-07 13:45:02,0.000856 cores
2025-07-07 13:45:03,0.000856 cores
2025-07-07 13:45:04,0.000856 cores
2025-07-07 13:45:05,0.000856 cores
2025-07-07 13:45:06,0.000856 cores
2025-07-07 13:45:07,0.000856 cores
2025-07-07 13:45:08,0.000836 cores
