"Time","{instance=""worker3"", interface=""lxccb42d24bd853""}"
2025-07-07 13:42:20,476 B/s
2025-07-07 13:42:21,476 B/s
2025-07-07 13:42:22,476 B/s
2025-07-07 13:42:23,476 B/s
2025-07-07 13:42:24,476 B/s
2025-07-07 13:42:25,476 B/s
2025-07-07 13:42:26,476 B/s
2025-07-07 13:42:27,404 B/s
2025-07-07 13:42:28,396 B/s
2025-07-07 13:42:29,389 B/s
2025-07-07 13:42:30,381 B/s
2025-07-07 13:42:31,373 B/s
2025-07-07 13:42:32,372 B/s
2025-07-07 13:42:33,2.39 kB/s
2025-07-07 13:42:34,2.39 kB/s
2025-07-07 13:42:35,2.39 kB/s
2025-07-07 13:42:36,2.39 kB/s
2025-07-07 13:42:37,2.39 kB/s
2025-07-07 13:42:38,2.39 kB/s
2025-07-07 13:42:39,2.39 kB/s
2025-07-07 13:42:40,2.39 kB/s
2025-07-07 13:42:41,2.39 kB/s
2025-07-07 13:42:42,2.92 kB/s
2025-07-07 13:42:43,2.31 kB/s
2025-07-07 13:42:44,2.35 kB/s
2025-07-07 13:42:45,2.40 kB/s
2025-07-07 13:42:46,2.45 kB/s
2025-07-07 13:42:47,2.85 kB/s
2025-07-07 13:42:48,2.85 kB/s
2025-07-07 13:42:49,2.85 kB/s
2025-07-07 13:42:50,2.85 kB/s
2025-07-07 13:42:51,2.85 kB/s
2025-07-07 13:42:52,2.85 kB/s
2025-07-07 13:42:53,2.85 kB/s
2025-07-07 13:42:54,2.85 kB/s
2025-07-07 13:42:55,2.85 kB/s
2025-07-07 13:42:56,2.85 kB/s
2025-07-07 13:42:57,2.85 kB/s
2025-07-07 13:42:58,2.45 kB/s
2025-07-07 13:42:59,2.40 kB/s
2025-07-07 13:43:00,2.35 kB/s
2025-07-07 13:43:01,2.30 kB/s
2025-07-07 13:43:02,2.91 kB/s
2025-07-07 13:43:03,2.37 kB/s
2025-07-07 13:43:04,2.37 kB/s
2025-07-07 13:43:05,2.37 kB/s
2025-07-07 13:43:06,2.37 kB/s
2025-07-07 13:43:07,2.37 kB/s
2025-07-07 13:43:08,2.37 kB/s
2025-07-07 13:43:09,2.37 kB/s
2025-07-07 13:43:10,2.37 kB/s
2025-07-07 13:43:11,2.37 kB/s
2025-07-07 13:43:12,368 B/s
