"Time","{instance=""worker3"", interface=""lxccb42d24bd853""}"
2025-07-07 13:42:20,465 B/s
2025-07-07 13:42:21,465 B/s
2025-07-07 13:42:22,465 B/s
2025-07-07 13:42:23,465 B/s
2025-07-07 13:42:24,465 B/s
2025-07-07 13:42:25,465 B/s
2025-07-07 13:42:26,465 B/s
2025-07-07 13:42:27,395 B/s
2025-07-07 13:42:28,387 B/s
2025-07-07 13:42:29,380 B/s
2025-07-07 13:42:30,372 B/s
2025-07-07 13:42:31,364 B/s
2025-07-07 13:42:32,359 B/s
2025-07-07 13:42:33,388 kB/s
2025-07-07 13:42:34,395 kB/s
2025-07-07 13:42:35,403 kB/s
2025-07-07 13:42:36,410 kB/s
2025-07-07 13:42:37,418 kB/s
2025-07-07 13:42:38,425 kB/s
2025-07-07 13:42:39,433 kB/s
2025-07-07 13:42:40,440 kB/s
2025-07-07 13:42:41,448 kB/s
2025-07-07 13:42:42,501 kB/s
2025-07-07 13:42:43,389 kB/s
2025-07-07 13:42:44,398 kB/s
2025-07-07 13:42:45,407 kB/s
2025-07-07 13:42:46,417 kB/s
2025-07-07 13:42:47,426 kB/s
2025-07-07 13:42:48,435 kB/s
2025-07-07 13:42:49,444 kB/s
2025-07-07 13:42:50,454 kB/s
2025-07-07 13:42:51,463 kB/s
2025-07-07 13:42:52,472 kB/s
2025-07-07 13:42:53,482 kB/s
2025-07-07 13:42:54,491 kB/s
2025-07-07 13:42:55,500 kB/s
2025-07-07 13:42:56,510 kB/s
2025-07-07 13:42:57,519 kB/s
2025-07-07 13:42:58,449 kB/s
2025-07-07 13:42:59,449 kB/s
2025-07-07 13:43:00,449 kB/s
2025-07-07 13:43:01,449 kB/s
2025-07-07 13:43:02,481 kB/s
2025-07-07 13:43:03,386 kB/s
2025-07-07 13:43:04,393 kB/s
2025-07-07 13:43:05,401 kB/s
2025-07-07 13:43:06,408 kB/s
2025-07-07 13:43:07,416 kB/s
2025-07-07 13:43:08,423 kB/s
2025-07-07 13:43:09,430 kB/s
2025-07-07 13:43:10,438 kB/s
2025-07-07 13:43:11,445 kB/s
2025-07-07 13:43:12,356 B/s
2025-07-07 13:43:13,356 B/s
2025-07-07 13:43:14,364 B/s
2025-07-07 13:43:15,371 B/s
2025-07-07 13:43:16,379 B/s
2025-07-07 13:43:17,387 B/s
2025-07-07 13:43:18,454 B/s
2025-07-07 13:43:19,454 B/s
2025-07-07 13:43:20,454 B/s
2025-07-07 13:43:21,454 B/s
2025-07-07 13:43:22,454 B/s
2025-07-07 13:43:23,454 B/s
2025-07-07 13:43:24,454 B/s
2025-07-07 13:43:25,454 B/s
2025-07-07 13:43:26,454 B/s
2025-07-07 13:43:27,454 B/s
2025-07-07 13:43:28,391 B/s
2025-07-07 13:43:29,383 B/s
2025-07-07 13:43:30,375 B/s
2025-07-07 13:43:31,368 B/s
2025-07-07 13:43:32,360 B/s
2025-07-07 13:43:33,360 B/s
2025-07-07 13:43:34,457 B/s
2025-07-07 13:43:35,457 B/s
2025-07-07 13:43:36,457 B/s
2025-07-07 13:43:37,457 B/s
2025-07-07 13:43:38,457 B/s
2025-07-07 13:43:39,457 B/s
2025-07-07 13:43:40,457 B/s
2025-07-07 13:43:41,457 B/s
2025-07-07 13:43:42,457 B/s
2025-07-07 13:43:43,363 B/s
2025-07-07 13:43:44,366 B/s
2025-07-07 13:43:45,373 B/s
2025-07-07 13:43:46,381 B/s
2025-07-07 13:43:47,389 B/s
2025-07-07 13:43:48,396 B/s
2025-07-07 13:43:49,459 B/s
2025-07-07 13:43:50,459 B/s
2025-07-07 13:43:51,459 B/s
2025-07-07 13:43:52,459 B/s
2025-07-07 13:43:53,459 B/s
2025-07-07 13:43:54,459 B/s
2025-07-07 13:43:55,459 B/s
2025-07-07 13:43:56,459 B/s
2025-07-07 13:43:57,459 B/s
2025-07-07 13:43:58,396 B/s
2025-07-07 13:43:59,388 B/s
2025-07-07 13:44:00,381 B/s
2025-07-07 13:44:01,373 B/s
2025-07-07 13:44:02,365 B/s
2025-07-07 13:44:03,366 B/s
2025-07-07 13:44:04,460 B/s
2025-07-07 13:44:05,460 B/s
2025-07-07 13:44:06,460 B/s
2025-07-07 13:44:07,460 B/s
2025-07-07 13:44:08,460 B/s
2025-07-07 13:44:09,460 B/s
2025-07-07 13:44:10,460 B/s
2025-07-07 13:44:11,460 B/s
2025-07-07 13:44:12,460 B/s
2025-07-07 13:44:13,364 B/s
2025-07-07 13:44:14,366 B/s
