"Time","image-filter-cfbfd9b5f-ntlzz"
2025-07-07 13:42:20,25.7 MiB
2025-07-07 13:42:21,25.7 MiB
2025-07-07 13:42:22,25.7 MiB
2025-07-07 13:42:23,25.7 MiB
2025-07-07 13:42:24,25.7 MiB
2025-07-07 13:42:25,25.7 MiB
2025-07-07 13:42:26,25.7 MiB
2025-07-07 13:42:27,25.7 MiB
2025-07-07 13:42:28,25.7 MiB
2025-07-07 13:42:29,25.7 MiB
2025-07-07 13:42:30,25.7 MiB
2025-07-07 13:42:31,25.7 MiB
2025-07-07 13:42:32,25.7 MiB
2025-07-07 13:42:33,27.4 MiB
2025-07-07 13:42:34,27.4 MiB
2025-07-07 13:42:35,27.4 MiB
2025-07-07 13:42:36,27.4 MiB
2025-07-07 13:42:37,27.4 MiB
2025-07-07 13:42:38,27.4 MiB
2025-07-07 13:42:39,27.4 MiB
2025-07-07 13:42:40,27.4 MiB
2025-07-07 13:42:41,27.4 MiB
2025-07-07 13:42:42,27.4 MiB
2025-07-07 13:42:43,27.4 MiB
2025-07-07 13:42:44,27.4 MiB
2025-07-07 13:42:45,27.4 MiB
2025-07-07 13:42:46,27.4 MiB
2025-07-07 13:42:47,27.4 MiB
2025-07-07 13:42:48,27.4 MiB
2025-07-07 13:42:49,27.4 MiB
2025-07-07 13:42:50,27.4 MiB
2025-07-07 13:42:51,27.4 MiB
2025-07-07 13:42:52,27.4 MiB
2025-07-07 13:42:53,27.4 MiB
2025-07-07 13:42:54,27.4 MiB
2025-07-07 13:42:55,27.4 MiB
2025-07-07 13:42:56,27.4 MiB
2025-07-07 13:42:57,27.4 MiB
2025-07-07 13:42:58,27.4 MiB
2025-07-07 13:42:59,27.4 MiB
2025-07-07 13:43:00,27.4 MiB
2025-07-07 13:43:01,27.4 MiB
2025-07-07 13:43:02,27.4 MiB
2025-07-07 13:43:03,27.4 MiB
2025-07-07 13:43:04,27.4 MiB
2025-07-07 13:43:05,27.4 MiB
2025-07-07 13:43:06,27.4 MiB
2025-07-07 13:43:07,27.4 MiB
2025-07-07 13:43:08,27.4 MiB
2025-07-07 13:43:09,27.4 MiB
2025-07-07 13:43:10,27.4 MiB
2025-07-07 13:43:11,27.4 MiB
2025-07-07 13:43:12,27.4 MiB
2025-07-07 13:43:13,27.4 MiB
2025-07-07 13:43:14,27.4 MiB
2025-07-07 13:43:15,27.4 MiB
2025-07-07 13:43:16,27.4 MiB
2025-07-07 13:43:17,27.4 MiB
2025-07-07 13:43:18,27.4 MiB
2025-07-07 13:43:19,27.4 MiB
2025-07-07 13:43:20,27.4 MiB
2025-07-07 13:43:21,27.4 MiB
2025-07-07 13:43:22,27.4 MiB
2025-07-07 13:43:23,27.4 MiB
2025-07-07 13:43:24,27.4 MiB
2025-07-07 13:43:25,27.4 MiB
2025-07-07 13:43:26,27.4 MiB
2025-07-07 13:43:27,27.5 MiB
2025-07-07 13:43:28,27.5 MiB
2025-07-07 13:43:29,27.5 MiB
2025-07-07 13:43:30,27.5 MiB
2025-07-07 13:43:31,27.5 MiB
2025-07-07 13:43:32,27.5 MiB
2025-07-07 13:43:33,27.5 MiB
2025-07-07 13:43:34,27.5 MiB
2025-07-07 13:43:35,27.5 MiB
2025-07-07 13:43:36,27.5 MiB
2025-07-07 13:43:37,27.6 MiB
2025-07-07 13:43:38,27.6 MiB
2025-07-07 13:43:39,27.6 MiB
2025-07-07 13:43:40,27.6 MiB
2025-07-07 13:43:41,27.6 MiB
2025-07-07 13:43:42,27.6 MiB
2025-07-07 13:43:43,27.6 MiB
2025-07-07 13:43:44,27.6 MiB
2025-07-07 13:43:45,27.6 MiB
2025-07-07 13:43:46,27.6 MiB
2025-07-07 13:43:47,27.6 MiB
2025-07-07 13:43:48,27.6 MiB
2025-07-07 13:43:49,27.6 MiB
2025-07-07 13:43:50,27.6 MiB
2025-07-07 13:43:51,27.6 MiB
2025-07-07 13:43:52,27.6 MiB
2025-07-07 13:43:53,27.6 MiB
2025-07-07 13:43:54,27.6 MiB
2025-07-07 13:43:55,27.6 MiB
2025-07-07 13:43:56,27.6 MiB
2025-07-07 13:43:57,27.6 MiB
2025-07-07 13:43:58,27.6 MiB
2025-07-07 13:43:59,27.6 MiB
2025-07-07 13:44:00,27.6 MiB
2025-07-07 13:44:01,27.6 MiB
2025-07-07 13:44:02,27.6 MiB
2025-07-07 13:44:03,27.6 MiB
2025-07-07 13:44:04,27.6 MiB
2025-07-07 13:44:05,27.6 MiB
2025-07-07 13:44:06,27.6 MiB
2025-07-07 13:44:07,27.6 MiB
2025-07-07 13:44:08,27.6 MiB
2025-07-07 13:44:09,27.6 MiB
2025-07-07 13:44:10,27.6 MiB
2025-07-07 13:44:11,27.7 MiB
2025-07-07 13:44:12,27.7 MiB
2025-07-07 13:44:13,27.7 MiB
2025-07-07 13:44:14,27.7 MiB
2025-07-07 13:44:15,27.7 MiB
2025-07-07 13:44:16,27.7 MiB
2025-07-07 13:44:17,27.7 MiB
2025-07-07 13:44:18,27.7 MiB
2025-07-07 13:44:19,27.7 MiB
2025-07-07 13:44:20,27.7 MiB
2025-07-07 13:44:21,27.7 MiB
2025-07-07 13:44:22,27.7 MiB
2025-07-07 13:44:23,27.7 MiB
2025-07-07 13:44:24,27.7 MiB
2025-07-07 13:44:25,27.7 MiB
2025-07-07 13:44:26,27.7 MiB
2025-07-07 13:44:27,27.7 MiB
2025-07-07 13:44:28,27.7 MiB
2025-07-07 13:44:29,27.7 MiB
2025-07-07 13:44:30,27.7 MiB
2025-07-07 13:44:31,27.7 MiB
2025-07-07 13:44:32,27.7 MiB
2025-07-07 13:44:33,27.7 MiB
2025-07-07 13:44:34,27.7 MiB
2025-07-07 13:44:35,27.7 MiB
2025-07-07 13:44:36,27.7 MiB
2025-07-07 13:44:37,27.7 MiB
2025-07-07 13:44:38,27.7 MiB
2025-07-07 13:44:39,27.7 MiB
2025-07-07 13:44:40,27.7 MiB
2025-07-07 13:44:41,27.7 MiB
2025-07-07 13:44:42,27.7 MiB
2025-07-07 13:44:43,27.7 MiB
2025-07-07 13:44:44,27.7 MiB
2025-07-07 13:44:45,27.7 MiB
2025-07-07 13:44:46,27.7 MiB
2025-07-07 13:44:47,27.7 MiB
2025-07-07 13:44:48,27.7 MiB
2025-07-07 13:44:49,27.7 MiB
2025-07-07 13:44:50,27.7 MiB
2025-07-07 13:44:51,27.7 MiB
2025-07-07 13:44:52,27.7 MiB
2025-07-07 13:44:53,27.7 MiB
2025-07-07 13:44:54,27.8 MiB
2025-07-07 13:44:55,27.8 MiB
2025-07-07 13:44:56,27.8 MiB
2025-07-07 13:44:57,27.8 MiB
2025-07-07 13:44:58,27.8 MiB
2025-07-07 13:44:59,27.8 MiB
2025-07-07 13:45:00,27.8 MiB
2025-07-07 13:45:01,27.8 MiB
2025-07-07 13:45:02,27.8 MiB
2025-07-07 13:45:03,27.8 MiB
2025-07-07 13:45:04,27.8 MiB
2025-07-07 13:45:05,27.8 MiB
2025-07-07 13:45:06,27.8 MiB
2025-07-07 13:45:07,27.8 MiB
2025-07-07 13:45:08,27.8 MiB
2025-07-07 13:45:09,27.8 MiB
2025-07-07 13:45:10,27.8 MiB
2025-07-07 13:45:11,27.8 MiB
2025-07-07 13:45:12,27.8 MiB
2025-07-07 13:45:13,27.8 MiB
2025-07-07 13:45:14,27.8 MiB
2025-07-07 13:45:15,27.8 MiB
2025-07-07 13:45:16,27.8 MiB
2025-07-07 13:45:17,27.8 MiB
2025-07-07 13:45:18,27.8 MiB
2025-07-07 13:45:19,27.8 MiB
2025-07-07 13:45:20,27.8 MiB
2025-07-07 13:45:21,27.8 MiB
2025-07-07 13:45:22,27.8 MiB
2025-07-07 13:45:23,27.9 MiB
2025-07-07 13:45:24,27.9 MiB
2025-07-07 13:45:25,27.9 MiB
2025-07-07 13:45:26,27.9 MiB
2025-07-07 13:45:27,27.9 MiB
2025-07-07 13:45:28,27.9 MiB
2025-07-07 13:45:29,27.9 MiB
2025-07-07 13:45:30,27.9 MiB
2025-07-07 13:45:31,27.9 MiB
2025-07-07 13:45:32,27.9 MiB
2025-07-07 13:45:33,27.9 MiB
2025-07-07 13:45:34,27.9 MiB
2025-07-07 13:45:35,27.9 MiB
2025-07-07 13:45:36,27.9 MiB
2025-07-07 13:45:37,27.9 MiB
2025-07-07 13:45:38,27.9 MiB
2025-07-07 13:45:39,27.9 MiB
2025-07-07 13:45:40,27.9 MiB
2025-07-07 13:45:41,27.9 MiB
2025-07-07 13:45:42,27.9 MiB
2025-07-07 13:45:43,27.9 MiB
2025-07-07 13:45:44,27.9 MiB
2025-07-07 13:45:45,27.9 MiB
2025-07-07 13:45:46,27.9 MiB
2025-07-07 13:45:47,27.9 MiB
2025-07-07 13:45:48,27.9 MiB
2025-07-07 13:45:49,27.9 MiB
2025-07-07 13:45:50,27.9 MiB
2025-07-07 13:45:51,27.9 MiB
2025-07-07 13:45:52,27.9 MiB
2025-07-07 13:45:53,27.9 MiB
2025-07-07 13:45:54,27.9 MiB
2025-07-07 13:45:55,27.9 MiB
2025-07-07 13:45:56,27.9 MiB
2025-07-07 13:45:57,28.0 MiB
2025-07-07 13:45:58,28.0 MiB
2025-07-07 13:45:59,28.0 MiB
2025-07-07 13:46:00,28.0 MiB
2025-07-07 13:46:01,28.0 MiB
2025-07-07 13:46:02,28.0 MiB
2025-07-07 13:46:03,28.0 MiB
2025-07-07 13:46:04,28.0 MiB
2025-07-07 13:46:05,28.0 MiB
2025-07-07 13:46:06,28.0 MiB
2025-07-07 13:46:07,28.0 MiB
2025-07-07 13:46:08,28.0 MiB
2025-07-07 13:46:09,28.0 MiB
2025-07-07 13:46:10,28.0 MiB
2025-07-07 13:46:11,28.0 MiB
2025-07-07 13:46:12,28.0 MiB
2025-07-07 13:46:13,28.0 MiB
2025-07-07 13:46:14,28.0 MiB
2025-07-07 13:46:15,28.0 MiB
2025-07-07 13:46:16,28.0 MiB
2025-07-07 13:46:17,28.0 MiB
2025-07-07 13:46:18,28.0 MiB
2025-07-07 13:46:19,28.0 MiB
2025-07-07 13:46:20,28.1 MiB
2025-07-07 13:46:21,28.1 MiB
2025-07-07 13:46:22,28.1 MiB
2025-07-07 13:46:23,28.1 MiB
2025-07-07 13:46:24,28.1 MiB
2025-07-07 13:46:25,28.1 MiB
2025-07-07 13:46:26,28.1 MiB
2025-07-07 13:46:27,28.1 MiB
2025-07-07 13:46:28,28.1 MiB
2025-07-07 13:46:29,28.1 MiB
2025-07-07 13:46:30,28.1 MiB
2025-07-07 13:46:31,28.1 MiB
2025-07-07 13:46:32,28.1 MiB
2025-07-07 13:46:33,28.1 MiB
2025-07-07 13:46:34,28.1 MiB
2025-07-07 13:46:35,28.4 MiB
2025-07-07 13:46:36,28.4 MiB
2025-07-07 13:46:37,28.4 MiB
2025-07-07 13:46:38,28.4 MiB
2025-07-07 13:46:39,28.4 MiB
2025-07-07 13:46:40,28.4 MiB
2025-07-07 13:46:41,28.4 MiB
2025-07-07 13:46:42,28.4 MiB
2025-07-07 13:46:43,28.4 MiB
2025-07-07 13:46:44,28.4 MiB
2025-07-07 13:46:45,28.4 MiB
2025-07-07 13:46:46,28.4 MiB
2025-07-07 13:46:47,28.4 MiB
2025-07-07 13:46:48,28.4 MiB
2025-07-07 13:46:49,28.4 MiB
2025-07-07 13:46:50,28.4 MiB
2025-07-07 13:46:51,28.4 MiB
2025-07-07 13:46:52,28.4 MiB
2025-07-07 13:46:53,28.4 MiB
2025-07-07 13:46:54,28.4 MiB
2025-07-07 13:46:55,28.4 MiB
2025-07-07 13:46:56,28.4 MiB
2025-07-07 13:46:57,28.4 MiB
2025-07-07 13:46:58,28.4 MiB
2025-07-07 13:46:59,28.4 MiB
2025-07-07 13:47:00,28.4 MiB
2025-07-07 13:47:01,28.4 MiB
2025-07-07 13:47:02,28.4 MiB
2025-07-07 13:47:03,28.4 MiB
2025-07-07 13:47:04,28.4 MiB
2025-07-07 13:47:05,28.4 MiB
2025-07-07 13:47:06,28.4 MiB
2025-07-07 13:47:07,28.4 MiB
2025-07-07 13:47:08,28.4 MiB
2025-07-07 13:47:09,28.4 MiB
2025-07-07 13:47:10,28.4 MiB
2025-07-07 13:47:11,28.4 MiB
2025-07-07 13:47:12,28.4 MiB
2025-07-07 13:47:13,28.4 MiB
2025-07-07 13:47:14,28.4 MiB
2025-07-07 13:47:15,28.4 MiB
2025-07-07 13:47:16,28.4 MiB
2025-07-07 13:47:17,28.4 MiB
