"Time","image-stats-746c9bfb67-2sr2g"
2025-07-07 13:42:20,31.5 MiB
2025-07-07 13:42:21,31.5 MiB
2025-07-07 13:42:22,31.5 MiB
2025-07-07 13:42:23,31.5 MiB
2025-07-07 13:42:24,31.5 MiB
2025-07-07 13:42:25,31.5 MiB
2025-07-07 13:42:26,31.5 MiB
2025-07-07 13:42:27,31.5 MiB
2025-07-07 13:42:28,31.5 MiB
2025-07-07 13:42:29,31.5 MiB
2025-07-07 13:42:30,31.5 MiB
2025-07-07 13:42:31,31.5 MiB
2025-07-07 13:42:32,31.5 MiB
2025-07-07 13:42:33,31.5 MiB
2025-07-07 13:42:34,31.5 MiB
2025-07-07 13:42:35,33.6 MiB
2025-07-07 13:42:36,33.6 MiB
2025-07-07 13:42:37,33.6 MiB
2025-07-07 13:42:38,33.6 MiB
2025-07-07 13:42:39,33.6 MiB
2025-07-07 13:42:40,33.6 MiB
2025-07-07 13:42:41,33.6 MiB
2025-07-07 13:42:42,33.6 MiB
2025-07-07 13:42:43,33.6 MiB
2025-07-07 13:42:44,33.6 MiB
2025-07-07 13:42:45,33.6 MiB
2025-07-07 13:42:46,33.6 MiB
2025-07-07 13:42:47,33.6 MiB
2025-07-07 13:42:48,33.6 MiB
2025-07-07 13:42:49,33.6 MiB
2025-07-07 13:42:50,33.6 MiB
2025-07-07 13:42:51,33.6 MiB
2025-07-07 13:42:52,33.7 MiB
2025-07-07 13:42:53,33.7 MiB
2025-07-07 13:42:54,33.7 MiB
2025-07-07 13:42:55,33.7 MiB
2025-07-07 13:42:56,33.7 MiB
2025-07-07 13:42:57,33.7 MiB
2025-07-07 13:42:58,33.7 MiB
2025-07-07 13:42:59,33.7 MiB
2025-07-07 13:43:00,33.7 MiB
2025-07-07 13:43:01,33.7 MiB
2025-07-07 13:43:02,33.7 MiB
2025-07-07 13:43:03,33.7 MiB
2025-07-07 13:43:04,33.7 MiB
2025-07-07 13:43:05,33.7 MiB
2025-07-07 13:43:06,33.7 MiB
2025-07-07 13:43:07,33.7 MiB
2025-07-07 13:43:08,33.7 MiB
2025-07-07 13:43:09,33.7 MiB
2025-07-07 13:43:10,33.7 MiB
2025-07-07 13:43:11,33.7 MiB
2025-07-07 13:43:12,33.7 MiB
2025-07-07 13:43:13,33.7 MiB
2025-07-07 13:43:14,33.7 MiB
2025-07-07 13:43:15,33.7 MiB
2025-07-07 13:43:16,33.7 MiB
2025-07-07 13:43:17,33.7 MiB
2025-07-07 13:43:18,33.7 MiB
2025-07-07 13:43:19,33.7 MiB
2025-07-07 13:43:20,33.7 MiB
2025-07-07 13:43:21,33.7 MiB
2025-07-07 13:43:22,33.7 MiB
2025-07-07 13:43:23,33.7 MiB
2025-07-07 13:43:24,33.7 MiB
2025-07-07 13:43:25,33.7 MiB
2025-07-07 13:43:26,33.7 MiB
