"Time","image-preprocess-5d9dd96f5-gpdxl"
2025-07-07 14:37:30,0.000718 cores
2025-07-07 14:37:31,0.000718 cores
2025-07-07 14:37:32,0.000718 cores
2025-07-07 14:37:33,0.000718 cores
2025-07-07 14:37:34,0.000718 cores
2025-07-07 14:37:35,0.000718 cores
2025-07-07 14:37:36,0.000766 cores
2025-07-07 14:37:37,0.000766 cores
2025-07-07 14:37:38,0.000766 cores
2025-07-07 14:37:39,0.000766 cores
2025-07-07 14:37:40,0.000766 cores
2025-07-07 14:37:41,0.000766 cores
2025-07-07 14:37:42,0.000766 cores
2025-07-07 14:37:43,0.000766 cores
2025-07-07 14:37:44,0.000798 cores
2025-07-07 14:37:45,0.000798 cores
2025-07-07 14:37:46,0.000798 cores
2025-07-07 14:37:47,0.000798 cores
2025-07-07 14:37:48,0.000798 cores
2025-07-07 14:37:49,0.000798 cores
2025-07-07 14:37:50,0.000798 cores
2025-07-07 14:37:51,0.000798 cores
2025-07-07 14:37:52,0.000798 cores
2025-07-07 14:37:53,0.000815 cores
2025-07-07 14:37:54,0.000815 cores
2025-07-07 14:37:55,0.0636 cores
2025-07-07 14:37:56,0.0648 cores
2025-07-07 14:37:57,0.0660 cores
2025-07-07 14:37:58,0.0673 cores
2025-07-07 14:37:59,0.0685 cores
2025-07-07 14:38:00,0.0697 cores
2025-07-07 14:38:01,0.0710 cores
2025-07-07 14:38:02,0.0722 cores
2025-07-07 14:38:03,0.0734 cores
2025-07-07 14:38:04,0.0738 cores
2025-07-07 14:38:05,0.0738 cores
2025-07-07 14:38:06,0.0738 cores
2025-07-07 14:38:07,0.0738 cores
2025-07-07 14:38:08,0.0738 cores
2025-07-07 14:38:09,0.0917 cores
2025-07-07 14:38:10,0.0766 cores
2025-07-07 14:38:11,0.0766 cores
2025-07-07 14:38:12,0.0766 cores
2025-07-07 14:38:13,0.0766 cores
2025-07-07 14:38:14,0.0766 cores
2025-07-07 14:38:15,0.0766 cores
2025-07-07 14:38:16,0.0766 cores
2025-07-07 14:38:17,0.0766 cores
2025-07-07 14:38:18,0.145 cores
2025-07-07 14:38:19,0.148 cores
2025-07-07 14:38:20,0.151 cores
2025-07-07 14:38:21,0.153 cores
2025-07-07 14:38:22,0.156 cores
2025-07-07 14:38:23,0.159 cores
2025-07-07 14:38:24,0.159 cores
2025-07-07 14:38:25,0.159 cores
2025-07-07 14:38:26,0.179 cores
2025-07-07 14:38:27,0.183 cores
2025-07-07 14:38:28,0.187 cores
2025-07-07 14:38:29,0.191 cores
2025-07-07 14:38:30,0.195 cores
2025-07-07 14:38:31,0.199 cores
2025-07-07 14:38:32,0.203 cores
2025-07-07 14:38:33,0.207 cores
2025-07-07 14:38:34,0.211 cores
2025-07-07 14:38:35,0.216 cores
2025-07-07 14:38:36,0.144 cores
2025-07-07 14:38:37,0.147 cores
2025-07-07 14:38:38,0.150 cores
2025-07-07 14:38:39,0.152 cores
2025-07-07 14:38:40,0.155 cores
2025-07-07 14:38:41,0.157 cores
2025-07-07 14:38:42,0.157 cores
2025-07-07 14:38:43,0.157 cores
2025-07-07 14:38:44,0.117 cores
2025-07-07 14:38:45,0.117 cores
2025-07-07 14:38:46,0.117 cores
2025-07-07 14:38:47,0.117 cores
2025-07-07 14:38:48,0.117 cores
