"Time","image-stats-746c9bfb67-frt5h"
2025-07-07 14:37:30,0.000758 cores
2025-07-07 14:37:31,0.000785 cores
2025-07-07 14:37:32,0.000785 cores
2025-07-07 14:37:33,0.000785 cores
2025-07-07 14:37:34,0.000785 cores
2025-07-07 14:37:35,0.000785 cores
2025-07-07 14:37:36,0.000785 cores
2025-07-07 14:37:37,0.000785 cores
2025-07-07 14:37:38,0.000785 cores
2025-07-07 14:37:39,0.000785 cores
2025-07-07 14:37:40,0.000785 cores
2025-07-07 14:37:41,0.000676 cores
2025-07-07 14:37:42,0.000816 cores
2025-07-07 14:37:43,0.000816 cores
2025-07-07 14:37:44,0.000816 cores
2025-07-07 14:37:45,0.000816 cores
2025-07-07 14:37:46,0.000870 cores
2025-07-07 14:37:47,0.000870 cores
2025-07-07 14:37:48,0.000870 cores
2025-07-07 14:37:49,0.000870 cores
2025-07-07 14:37:50,0.000870 cores
2025-07-07 14:37:51,0.000870 cores
2025-07-07 14:37:52,0.000870 cores
2025-07-07 14:37:53,0.000870 cores
2025-07-07 14:37:54,0.000870 cores
2025-07-07 14:37:55,0.000870 cores
2025-07-07 14:37:56,0.000870 cores
2025-07-07 14:37:57,0.000870 cores
2025-07-07 14:37:58,0.00254 cores
2025-07-07 14:37:59,0.00254 cores
2025-07-07 14:38:00,0.00274 cores
2025-07-07 14:38:01,0.00279 cores
2025-07-07 14:38:02,0.00285 cores
2025-07-07 14:38:03,0.00291 cores
2025-07-07 14:38:04,0.00338 cores
2025-07-07 14:38:05,0.00338 cores
2025-07-07 14:38:06,0.00338 cores
2025-07-07 14:38:07,0.00338 cores
2025-07-07 14:38:08,0.00338 cores
2025-07-07 14:38:09,0.00338 cores
2025-07-07 14:38:10,0.00338 cores
2025-07-07 14:38:11,0.00338 cores
2025-07-07 14:38:12,0.00293 cores
2025-07-07 14:38:13,0.00287 cores
2025-07-07 14:38:14,0.00281 cores
2025-07-07 14:38:15,0.00276 cores
2025-07-07 14:38:16,0.00270 cores
2025-07-07 14:38:17,0.00265 cores
2025-07-07 14:38:18,0.00349 cores
2025-07-07 14:38:19,0.00341 cores
2025-07-07 14:38:20,0.00365 cores
2025-07-07 14:38:21,0.00365 cores
2025-07-07 14:38:22,0.00365 cores
2025-07-07 14:38:23,0.00365 cores
2025-07-07 14:38:24,0.00365 cores
2025-07-07 14:38:25,0.00365 cores
2025-07-07 14:38:26,0.00365 cores
2025-07-07 14:38:27,0.00365 cores
2025-07-07 14:38:28,0.00365 cores
2025-07-07 14:38:29,0.00365 cores
2025-07-07 14:38:30,0.00365 cores
2025-07-07 14:38:31,0.00484 cores
2025-07-07 14:38:32,0.00484 cores
2025-07-07 14:38:33,0.00484 cores
2025-07-07 14:38:34,0.00484 cores
2025-07-07 14:38:35,0.00484 cores
2025-07-07 14:38:36,0.00351 cores
2025-07-07 14:38:37,0.00351 cores
2025-07-07 14:38:38,0.00351 cores
2025-07-07 14:38:39,0.00351 cores
2025-07-07 14:38:40,0.00351 cores
2025-07-07 14:38:41,0.00351 cores
2025-07-07 14:38:42,0.00351 cores
2025-07-07 14:38:43,0.00351 cores
2025-07-07 14:38:44,0.00351 cores
2025-07-07 14:38:45,0.00351 cores
2025-07-07 14:38:46,0.00176 cores
2025-07-07 14:38:47,0.00176 cores
2025-07-07 14:38:48,0.00150 cores
2025-07-07 14:38:49,0.00150 cores
2025-07-07 14:38:50,0.00150 cores
2025-07-07 14:38:51,0.00150 cores
2025-07-07 14:38:52,0.00150 cores
