"Time","{instance=""worker3"", interface=""lxcb5c0d26fec32""}"
2025-07-07 14:37:30,373 B/s
2025-07-07 14:37:31,473 B/s
2025-07-07 14:37:32,473 B/s
2025-07-07 14:37:33,473 B/s
2025-07-07 14:37:34,473 B/s
2025-07-07 14:37:35,473 B/s
2025-07-07 14:37:36,473 B/s
2025-07-07 14:37:37,473 B/s
2025-07-07 14:37:38,473 B/s
2025-07-07 14:37:39,473 B/s
2025-07-07 14:37:40,473 B/s
2025-07-07 14:37:41,371 B/s
2025-07-07 14:37:42,379 B/s
2025-07-07 14:37:43,387 B/s
2025-07-07 14:37:44,395 B/s
2025-07-07 14:37:45,402 B/s
2025-07-07 14:37:46,472 B/s
2025-07-07 14:37:47,472 B/s
2025-07-07 14:37:48,472 B/s
2025-07-07 14:37:49,472 B/s
2025-07-07 14:37:50,472 B/s
2025-07-07 14:37:51,472 B/s
2025-07-07 14:37:52,472 B/s
2025-07-07 14:37:53,472 B/s
2025-07-07 14:37:54,472 B/s
2025-07-07 14:37:55,472 B/s
2025-07-07 14:37:56,404 B/s
2025-07-07 14:37:57,396 B/s
2025-07-07 14:37:58,388 B/s
2025-07-07 14:37:59,380 B/s
2025-07-07 14:38:00,372 B/s
2025-07-07 14:38:01,12.8 kB/s
2025-07-07 14:38:02,13.0 kB/s
2025-07-07 14:38:03,13.2 kB/s
2025-07-07 14:38:04,13.3 kB/s
2025-07-07 14:38:05,13.3 kB/s
2025-07-07 14:38:06,13.3 kB/s
2025-07-07 14:38:07,13.3 kB/s
2025-07-07 14:38:08,13.3 kB/s
2025-07-07 14:38:09,13.3 kB/s
2025-07-07 14:38:10,13.3 kB/s
2025-07-07 14:38:11,12.9 kB/s
2025-07-07 14:38:12,13.2 kB/s
2025-07-07 14:38:13,13.4 kB/s
2025-07-07 14:38:14,13.7 kB/s
2025-07-07 14:38:15,14.0 kB/s
2025-07-07 14:38:16,14.2 kB/s
2025-07-07 14:38:17,14.5 kB/s
2025-07-07 14:38:18,14.8 kB/s
2025-07-07 14:38:19,15.1 kB/s
2025-07-07 14:38:20,15.3 kB/s
2025-07-07 14:38:21,15.6 kB/s
2025-07-07 14:38:22,15.9 kB/s
2025-07-07 14:38:23,16.2 kB/s
2025-07-07 14:38:24,16.4 kB/s
2025-07-07 14:38:25,16.5 kB/s
2025-07-07 14:38:26,14.1 kB/s
2025-07-07 14:38:27,13.8 kB/s
2025-07-07 14:38:28,13.6 kB/s
2025-07-07 14:38:29,13.3 kB/s
2025-07-07 14:38:30,13.0 kB/s
2025-07-07 14:38:31,13.0 kB/s
2025-07-07 14:38:32,13.2 kB/s
2025-07-07 14:38:33,13.3 kB/s
2025-07-07 14:38:34,13.3 kB/s
2025-07-07 14:38:35,13.3 kB/s
2025-07-07 14:38:36,13.3 kB/s
2025-07-07 14:38:37,13.3 kB/s
2025-07-07 14:38:38,13.3 kB/s
2025-07-07 14:38:39,13.3 kB/s
2025-07-07 14:38:40,13.3 kB/s
2025-07-07 14:38:41,369 B/s
2025-07-07 14:38:42,377 B/s
2025-07-07 14:38:43,385 B/s
2025-07-07 14:38:44,393 B/s
2025-07-07 14:38:45,401 B/s
2025-07-07 14:38:46,472 B/s
2025-07-07 14:38:47,472 B/s
2025-07-07 14:38:48,472 B/s
2025-07-07 14:38:49,472 B/s
2025-07-07 14:38:50,472 B/s
2025-07-07 14:38:51,472 B/s
2025-07-07 14:38:52,472 B/s
2025-07-07 14:38:53,472 B/s
2025-07-07 14:38:54,472 B/s
2025-07-07 14:38:55,472 B/s
2025-07-07 14:38:56,405 B/s
2025-07-07 14:38:57,397 B/s
2025-07-07 14:38:58,389 B/s
2025-07-07 14:38:59,382 B/s
2025-07-07 14:39:00,374 B/s
2025-07-07 14:39:01,471 B/s
2025-07-07 14:39:02,471 B/s
