"Time","{instance=""worker3"", interface=""lxcb5c0d26fec32""}"
2025-07-07 14:37:30,363 B/s
2025-07-07 14:37:31,466 B/s
2025-07-07 14:37:32,466 B/s
2025-07-07 14:37:33,466 B/s
2025-07-07 14:37:34,466 B/s
2025-07-07 14:37:35,466 B/s
2025-07-07 14:37:36,466 B/s
2025-07-07 14:37:37,466 B/s
2025-07-07 14:37:38,466 B/s
2025-07-07 14:37:39,466 B/s
2025-07-07 14:37:40,466 B/s
2025-07-07 14:37:41,370 B/s
2025-07-07 14:37:42,377 B/s
2025-07-07 14:37:43,385 B/s
2025-07-07 14:37:44,393 B/s
2025-07-07 14:37:45,401 B/s
2025-07-07 14:37:46,470 B/s
2025-07-07 14:37:47,470 B/s
2025-07-07 14:37:48,470 B/s
2025-07-07 14:37:49,470 B/s
2025-07-07 14:37:50,470 B/s
2025-07-07 14:37:51,470 B/s
2025-07-07 14:37:52,470 B/s
2025-07-07 14:37:53,470 B/s
2025-07-07 14:37:54,470 B/s
2025-07-07 14:37:55,470 B/s
2025-07-07 14:37:56,402 B/s
2025-07-07 14:37:57,395 B/s
2025-07-07 14:37:58,387 B/s
2025-07-07 14:37:59,379 B/s
2025-07-07 14:38:00,371 B/s
2025-07-07 14:38:01,2.41 MB/s
2025-07-07 14:38:02,2.46 MB/s
2025-07-07 14:38:03,2.51 MB/s
2025-07-07 14:38:04,2.56 MB/s
2025-07-07 14:38:05,2.60 MB/s
2025-07-07 14:38:06,2.65 MB/s
2025-07-07 14:38:07,2.70 MB/s
2025-07-07 14:38:08,2.75 MB/s
2025-07-07 14:38:09,2.79 MB/s
2025-07-07 14:38:10,2.84 MB/s
2025-07-07 14:38:11,2.41 MB/s
2025-07-07 14:38:12,2.47 MB/s
2025-07-07 14:38:13,2.53 MB/s
2025-07-07 14:38:14,2.59 MB/s
2025-07-07 14:38:15,2.65 MB/s
2025-07-07 14:38:16,2.71 MB/s
2025-07-07 14:38:17,2.77 MB/s
2025-07-07 14:38:18,2.83 MB/s
2025-07-07 14:38:19,2.89 MB/s
2025-07-07 14:38:20,2.95 MB/s
2025-07-07 14:38:21,3.01 MB/s
2025-07-07 14:38:22,3.07 MB/s
2025-07-07 14:38:23,3.13 MB/s
2025-07-07 14:38:24,3.19 MB/s
2025-07-07 14:38:25,3.25 MB/s
2025-07-07 14:38:26,2.80 MB/s
2025-07-07 14:38:27,2.80 MB/s
2025-07-07 14:38:28,2.80 MB/s
2025-07-07 14:38:29,2.80 MB/s
2025-07-07 14:38:30,2.80 MB/s
2025-07-07 14:38:31,2.41 MB/s
2025-07-07 14:38:32,2.46 MB/s
2025-07-07 14:38:33,2.50 MB/s
2025-07-07 14:38:34,2.55 MB/s
2025-07-07 14:38:35,2.60 MB/s
2025-07-07 14:38:36,2.65 MB/s
2025-07-07 14:38:37,2.69 MB/s
2025-07-07 14:38:38,2.74 MB/s
2025-07-07 14:38:39,2.79 MB/s
2025-07-07 14:38:40,2.84 MB/s
2025-07-07 14:38:41,364 B/s
2025-07-07 14:38:42,372 B/s
2025-07-07 14:38:43,380 B/s
2025-07-07 14:38:44,387 B/s
2025-07-07 14:38:45,395 B/s
2025-07-07 14:38:46,465 B/s
2025-07-07 14:38:47,465 B/s
2025-07-07 14:38:48,465 B/s
2025-07-07 14:38:49,465 B/s
2025-07-07 14:38:50,465 B/s
2025-07-07 14:38:51,465 B/s
2025-07-07 14:38:52,465 B/s
2025-07-07 14:38:53,465 B/s
2025-07-07 14:38:54,465 B/s
2025-07-07 14:38:55,465 B/s
2025-07-07 14:38:56,400 B/s
2025-07-07 14:38:57,392 B/s
2025-07-07 14:38:58,384 B/s
2025-07-07 14:38:59,376 B/s
2025-07-07 14:39:00,369 B/s
2025-07-07 14:39:01,472 B/s
2025-07-07 14:39:02,472 B/s
2025-07-07 14:39:03,472 B/s
2025-07-07 14:39:04,472 B/s
2025-07-07 14:39:05,472 B/s
2025-07-07 14:39:06,472 B/s
2025-07-07 14:39:07,472 B/s
2025-07-07 14:39:08,472 B/s
2025-07-07 14:39:09,472 B/s
2025-07-07 14:39:10,472 B/s
2025-07-07 14:39:11,369 B/s
2025-07-07 14:39:12,377 B/s
2025-07-07 14:39:13,384 B/s
2025-07-07 14:39:14,392 B/s
2025-07-07 14:39:15,400 B/s
2025-07-07 14:39:16,408 B/s
2025-07-07 14:39:17,472 B/s
2025-07-07 14:39:18,472 B/s
2025-07-07 14:39:19,472 B/s
2025-07-07 14:39:20,472 B/s
2025-07-07 14:39:21,472 B/s
2025-07-07 14:39:22,472 B/s
2025-07-07 14:39:23,472 B/s
2025-07-07 14:39:24,472 B/s
2025-07-07 14:39:25,472 B/s
2025-07-07 14:39:26,406 B/s
2025-07-07 14:39:27,398 B/s
2025-07-07 14:39:28,390 B/s
2025-07-07 14:39:29,382 B/s
2025-07-07 14:39:30,375 B/s
2025-07-07 14:39:31,480 B/s
2025-07-07 14:39:32,480 B/s
2025-07-07 14:39:33,480 B/s
2025-07-07 14:39:34,480 B/s
2025-07-07 14:39:35,480 B/s
2025-07-07 14:39:36,480 B/s
2025-07-07 14:39:37,480 B/s
2025-07-07 14:39:38,480 B/s
2025-07-07 14:39:39,480 B/s
2025-07-07 14:39:40,480 B/s
2025-07-07 14:39:41,380 B/s
2025-07-07 14:39:42,381 B/s
2025-07-07 14:39:43,389 B/s
2025-07-07 14:39:44,397 B/s
2025-07-07 14:39:45,405 B/s
2025-07-07 14:39:46,413 B/s
2025-07-07 14:39:47,478 B/s
2025-07-07 14:39:48,478 B/s
2025-07-07 14:39:49,478 B/s
2025-07-07 14:39:50,478 B/s
2025-07-07 14:39:51,478 B/s
2025-07-07 14:39:52,478 B/s
2025-07-07 14:39:53,478 B/s
2025-07-07 14:39:54,478 B/s
2025-07-07 14:39:55,478 B/s
2025-07-07 14:39:56,412 B/s
2025-07-07 14:39:57,404 B/s
2025-07-07 14:39:58,396 B/s
2025-07-07 14:39:59,388 B/s
2025-07-07 14:40:00,380 B/s
2025-07-07 14:40:01,382 B/s
2025-07-07 14:40:02,481 B/s
2025-07-07 14:40:03,481 B/s
2025-07-07 14:40:04,481 B/s
2025-07-07 14:40:05,481 B/s
2025-07-07 14:40:06,481 B/s
2025-07-07 14:40:07,481 B/s
2025-07-07 14:40:08,481 B/s
2025-07-07 14:40:09,481 B/s
2025-07-07 14:40:10,481 B/s
2025-07-07 14:40:11,379 B/s
2025-07-07 14:40:12,376 B/s
2025-07-07 14:40:13,384 B/s
2025-07-07 14:40:14,392 B/s
2025-07-07 14:40:15,400 B/s
2025-07-07 14:40:16,408 B/s
2025-07-07 14:40:17,473 B/s
2025-07-07 14:40:18,473 B/s
2025-07-07 14:40:19,473 B/s
2025-07-07 14:40:20,473 B/s
2025-07-07 14:40:21,473 B/s
2025-07-07 14:40:22,473 B/s
2025-07-07 14:40:23,473 B/s
2025-07-07 14:40:24,473 B/s
2025-07-07 14:40:25,473 B/s
2025-07-07 14:40:26,409 B/s
2025-07-07 14:40:27,401 B/s
2025-07-07 14:40:28,393 B/s
2025-07-07 14:40:29,385 B/s
2025-07-07 14:40:30,377 B/s
2025-07-07 14:40:31,375 B/s
2025-07-07 14:40:32,464 B/s
2025-07-07 14:40:33,464 B/s
2025-07-07 14:40:34,464 B/s
2025-07-07 14:40:35,464 B/s
2025-07-07 14:40:36,464 B/s
2025-07-07 14:40:37,464 B/s
2025-07-07 14:40:38,464 B/s
2025-07-07 14:40:39,464 B/s
2025-07-07 14:40:40,464 B/s
2025-07-07 14:40:41,464 B/s
2025-07-07 14:40:42,370 B/s
2025-07-07 14:40:43,378 B/s
2025-07-07 14:40:44,386 B/s
2025-07-07 14:40:45,394 B/s
2025-07-07 14:40:46,401 B/s
2025-07-07 14:40:47,466 B/s
2025-07-07 14:40:48,466 B/s
2025-07-07 14:40:49,466 B/s
2025-07-07 14:40:50,466 B/s
2025-07-07 14:40:51,466 B/s
2025-07-07 14:40:52,466 B/s
2025-07-07 14:40:53,466 B/s
2025-07-07 14:40:54,466 B/s
2025-07-07 14:40:55,466 B/s
2025-07-07 14:40:56,403 B/s
2025-07-07 14:40:57,396 B/s
2025-07-07 14:40:58,388 B/s
2025-07-07 14:40:59,380 B/s
2025-07-07 14:41:00,372 B/s
2025-07-07 14:41:01,365 B/s
2025-07-07 14:41:02,469 B/s
2025-07-07 14:41:03,469 B/s
2025-07-07 14:41:04,469 B/s
2025-07-07 14:41:05,469 B/s
2025-07-07 14:41:06,469 B/s
2025-07-07 14:41:07,469 B/s
2025-07-07 14:41:08,469 B/s
2025-07-07 14:41:09,469 B/s
2025-07-07 14:41:10,469 B/s
2025-07-07 14:41:11,469 B/s
2025-07-07 14:41:12,380 B/s
2025-07-07 14:41:13,388 B/s
2025-07-07 14:41:14,396 B/s
2025-07-07 14:41:15,404 B/s
2025-07-07 14:41:16,412 B/s
2025-07-07 14:41:17,480 B/s
2025-07-07 14:41:18,480 B/s
2025-07-07 14:41:19,480 B/s
2025-07-07 14:41:20,480 B/s
2025-07-07 14:41:21,480 B/s
2025-07-07 14:41:22,480 B/s
2025-07-07 14:41:23,480 B/s
2025-07-07 14:41:24,480 B/s
2025-07-07 14:41:25,480 B/s
2025-07-07 14:41:26,480 B/s
2025-07-07 14:41:27,408 B/s
2025-07-07 14:41:28,400 B/s
2025-07-07 14:41:29,392 B/s
2025-07-07 14:41:30,384 B/s
2025-07-07 14:41:31,376 B/s
2025-07-07 14:41:32,471 B/s
2025-07-07 14:41:33,471 B/s
2025-07-07 14:41:34,471 B/s
2025-07-07 14:41:35,471 B/s
2025-07-07 14:41:36,471 B/s
2025-07-07 14:41:37,471 B/s
2025-07-07 14:41:38,471 B/s
2025-07-07 14:41:39,471 B/s
2025-07-07 14:41:40,471 B/s
2025-07-07 14:41:41,471 B/s
2025-07-07 14:41:42,1.70 MB/s
2025-07-07 14:41:43,1.74 MB/s
2025-07-07 14:41:44,1.77 MB/s
2025-07-07 14:41:45,1.81 MB/s
2025-07-07 14:41:46,1.84 MB/s
