"Time","image-filter-cfbfd9b5f-2fjgv"
2025-07-07 14:37:30,25.7 MiB
2025-07-07 14:37:31,25.7 MiB
2025-07-07 14:37:32,25.7 MiB
2025-07-07 14:37:33,25.8 MiB
2025-07-07 14:37:34,25.8 MiB
2025-07-07 14:37:35,25.8 MiB
2025-07-07 14:37:36,25.8 MiB
2025-07-07 14:37:37,25.8 MiB
2025-07-07 14:37:38,25.8 MiB
2025-07-07 14:37:39,25.8 MiB
2025-07-07 14:37:40,25.8 MiB
2025-07-07 14:37:41,25.8 MiB
2025-07-07 14:37:42,25.8 MiB
2025-07-07 14:37:43,25.8 MiB
2025-07-07 14:37:44,25.8 MiB
2025-07-07 14:37:45,25.8 MiB
2025-07-07 14:37:46,25.8 MiB
2025-07-07 14:37:47,25.8 MiB
2025-07-07 14:37:48,25.8 MiB
2025-07-07 14:37:49,25.8 MiB
2025-07-07 14:37:50,25.8 MiB
2025-07-07 14:37:51,25.8 MiB
2025-07-07 14:37:52,25.8 MiB
2025-07-07 14:37:53,25.8 MiB
2025-07-07 14:37:54,25.8 MiB
2025-07-07 14:37:55,25.8 MiB
2025-07-07 14:37:56,29.0 MiB
2025-07-07 14:37:57,29.0 MiB
2025-07-07 14:37:58,29.0 MiB
2025-07-07 14:37:59,29.0 MiB
2025-07-07 14:38:00,29.0 MiB
2025-07-07 14:38:01,29.0 MiB
2025-07-07 14:38:02,29.0 MiB
2025-07-07 14:38:03,29.0 MiB
2025-07-07 14:38:04,29.0 MiB
2025-07-07 14:38:05,29.0 MiB
2025-07-07 14:38:06,29.0 MiB
2025-07-07 14:38:07,29.0 MiB
2025-07-07 14:38:08,29.0 MiB
2025-07-07 14:38:09,29.0 MiB
2025-07-07 14:38:10,29.0 MiB
2025-07-07 14:38:11,29.0 MiB
2025-07-07 14:38:12,29.4 MiB
2025-07-07 14:38:13,29.4 MiB
2025-07-07 14:38:14,29.4 MiB
2025-07-07 14:38:15,29.4 MiB
2025-07-07 14:38:16,29.4 MiB
2025-07-07 14:38:17,29.4 MiB
2025-07-07 14:38:18,29.4 MiB
2025-07-07 14:38:19,29.4 MiB
2025-07-07 14:38:20,29.4 MiB
2025-07-07 14:38:21,29.4 MiB
2025-07-07 14:38:22,29.4 MiB
2025-07-07 14:38:23,29.4 MiB
2025-07-07 14:38:24,29.4 MiB
2025-07-07 14:38:25,29.4 MiB
