"Time","{instance=""worker3"", interface=""lxccf62c8061f6e""}"
2025-07-07 13:03:30,377 B/s
2025-07-07 13:03:31,385 B/s
2025-07-07 13:03:32,393 B/s
2025-07-07 13:03:33,401 B/s
2025-07-07 13:03:34,409 B/s
2025-07-07 13:03:35,474 B/s
2025-07-07 13:03:36,474 B/s
2025-07-07 13:03:37,474 B/s
2025-07-07 13:03:38,474 B/s
2025-07-07 13:03:39,474 B/s
2025-07-07 13:03:40,474 B/s
2025-07-07 13:03:41,474 B/s
2025-07-07 13:03:42,474 B/s
2025-07-07 13:03:43,474 B/s
2025-07-07 13:03:44,408 B/s
2025-07-07 13:03:45,400 B/s
2025-07-07 13:03:46,392 B/s
2025-07-07 13:03:47,384 B/s
2025-07-07 13:03:48,377 B/s
2025-07-07 13:03:49,375 B/s
2025-07-07 13:03:50,471 B/s
2025-07-07 13:03:51,471 B/s
2025-07-07 13:03:52,471 B/s
2025-07-07 13:03:53,471 B/s
2025-07-07 13:03:54,471 B/s
2025-07-07 13:03:55,471 B/s
2025-07-07 13:03:56,471 B/s
2025-07-07 13:03:57,471 B/s
2025-07-07 13:03:58,471 B/s
2025-07-07 13:03:59,372 B/s
2025-07-07 13:04:00,373 B/s
2025-07-07 13:04:01,381 B/s
2025-07-07 13:04:02,388 B/s
2025-07-07 13:04:03,396 B/s
2025-07-07 13:04:04,404 B/s
2025-07-07 13:04:05,469 B/s
2025-07-07 13:04:06,469 B/s
2025-07-07 13:04:07,469 B/s
2025-07-07 13:04:08,469 B/s
2025-07-07 13:04:09,469 B/s
2025-07-07 13:04:10,469 B/s
2025-07-07 13:04:11,469 B/s
2025-07-07 13:04:12,469 B/s
2025-07-07 13:04:13,469 B/s
2025-07-07 13:04:14,404 B/s
2025-07-07 13:04:15,397 B/s
2025-07-07 13:04:16,389 B/s
2025-07-07 13:04:17,381 B/s
2025-07-07 13:04:18,373 B/s
2025-07-07 13:04:19,370 B/s
2025-07-07 13:04:20,5.70 kB/s
2025-07-07 13:04:21,5.70 kB/s
2025-07-07 13:04:22,5.70 kB/s
2025-07-07 13:04:23,5.70 kB/s
2025-07-07 13:04:24,5.70 kB/s
2025-07-07 13:04:25,5.70 kB/s
2025-07-07 13:04:26,5.70 kB/s
2025-07-07 13:04:27,5.70 kB/s
2025-07-07 13:04:28,5.70 kB/s
2025-07-07 13:04:29,7.16 kB/s
2025-07-07 13:04:30,5.56 kB/s
2025-07-07 13:04:31,5.68 kB/s
2025-07-07 13:04:32,5.79 kB/s
2025-07-07 13:04:33,5.91 kB/s
2025-07-07 13:04:34,6.03 kB/s
2025-07-07 13:04:35,6.45 kB/s
2025-07-07 13:04:36,6.57 kB/s
2025-07-07 13:04:37,6.68 kB/s
2025-07-07 13:04:38,6.80 kB/s
2025-07-07 13:04:39,6.92 kB/s
2025-07-07 13:04:40,6.99 kB/s
2025-07-07 13:04:41,6.99 kB/s
2025-07-07 13:04:42,6.99 kB/s
2025-07-07 13:04:43,6.99 kB/s
2025-07-07 13:04:44,6.99 kB/s
2025-07-07 13:04:45,6.03 kB/s
2025-07-07 13:04:46,5.92 kB/s
2025-07-07 13:04:47,5.80 kB/s
2025-07-07 13:04:48,5.68 kB/s
2025-07-07 13:04:49,5.57 kB/s
2025-07-07 13:04:50,7.04 kB/s
2025-07-07 13:04:51,5.70 kB/s
2025-07-07 13:04:52,5.70 kB/s
2025-07-07 13:04:53,5.70 kB/s
2025-07-07 13:04:54,5.70 kB/s
2025-07-07 13:04:55,5.70 kB/s
2025-07-07 13:04:56,5.70 kB/s
2025-07-07 13:04:57,5.70 kB/s
2025-07-07 13:04:58,5.70 kB/s
2025-07-07 13:04:59,5.70 kB/s
