"Time","{instance=""worker3"", interface=""lxccf62c8061f6e""}"
2025-07-07 13:03:30,375 B/s
2025-07-07 13:03:31,383 B/s
2025-07-07 13:03:32,391 B/s
2025-07-07 13:03:33,398 B/s
2025-07-07 13:03:34,406 B/s
2025-07-07 13:03:35,471 B/s
2025-07-07 13:03:36,471 B/s
2025-07-07 13:03:37,471 B/s
2025-07-07 13:03:38,471 B/s
2025-07-07 13:03:39,471 B/s
2025-07-07 13:03:40,471 B/s
2025-07-07 13:03:41,471 B/s
2025-07-07 13:03:42,471 B/s
2025-07-07 13:03:43,471 B/s
2025-07-07 13:03:44,405 B/s
2025-07-07 13:03:45,398 B/s
2025-07-07 13:03:46,390 B/s
2025-07-07 13:03:47,382 B/s
2025-07-07 13:03:48,374 B/s
2025-07-07 13:03:49,372 B/s
2025-07-07 13:03:50,476 B/s
2025-07-07 13:03:51,476 B/s
2025-07-07 13:03:52,476 B/s
2025-07-07 13:03:53,476 B/s
2025-07-07 13:03:54,476 B/s
2025-07-07 13:03:55,476 B/s
2025-07-07 13:03:56,476 B/s
2025-07-07 13:03:57,476 B/s
2025-07-07 13:03:58,476 B/s
2025-07-07 13:03:59,383 B/s
2025-07-07 13:04:00,379 B/s
2025-07-07 13:04:01,387 B/s
2025-07-07 13:04:02,395 B/s
2025-07-07 13:04:03,403 B/s
2025-07-07 13:04:04,411 B/s
2025-07-07 13:04:05,477 B/s
2025-07-07 13:04:06,477 B/s
2025-07-07 13:04:07,477 B/s
2025-07-07 13:04:08,477 B/s
2025-07-07 13:04:09,477 B/s
2025-07-07 13:04:10,477 B/s
2025-07-07 13:04:11,477 B/s
2025-07-07 13:04:12,477 B/s
2025-07-07 13:04:13,477 B/s
2025-07-07 13:04:14,412 B/s
2025-07-07 13:04:15,404 B/s
2025-07-07 13:04:16,396 B/s
2025-07-07 13:04:17,388 B/s
2025-07-07 13:04:18,380 B/s
2025-07-07 13:04:19,378 B/s
2025-07-07 13:04:20,694 kB/s
2025-07-07 13:04:21,707 kB/s
2025-07-07 13:04:22,721 kB/s
2025-07-07 13:04:23,734 kB/s
2025-07-07 13:04:24,748 kB/s
2025-07-07 13:04:25,761 kB/s
2025-07-07 13:04:26,775 kB/s
2025-07-07 13:04:27,789 kB/s
2025-07-07 13:04:28,802 kB/s
2025-07-07 13:04:29,896 kB/s
2025-07-07 13:04:30,693 kB/s
2025-07-07 13:04:31,710 kB/s
2025-07-07 13:04:32,727 kB/s
2025-07-07 13:04:33,744 kB/s
2025-07-07 13:04:34,761 kB/s
2025-07-07 13:04:35,778 kB/s
2025-07-07 13:04:36,795 kB/s
2025-07-07 13:04:37,812 kB/s
2025-07-07 13:04:38,829 kB/s
2025-07-07 13:04:39,846 kB/s
2025-07-07 13:04:40,862 kB/s
2025-07-07 13:04:41,879 kB/s
2025-07-07 13:04:42,896 kB/s
2025-07-07 13:04:43,913 kB/s
2025-07-07 13:04:44,930 kB/s
2025-07-07 13:04:45,808 kB/s
2025-07-07 13:04:46,808 kB/s
2025-07-07 13:04:47,808 kB/s
2025-07-07 13:04:48,808 kB/s
2025-07-07 13:04:49,808 kB/s
2025-07-07 13:04:50,866 kB/s
2025-07-07 13:04:51,706 kB/s
2025-07-07 13:04:52,720 kB/s
2025-07-07 13:04:53,733 kB/s
2025-07-07 13:04:54,747 kB/s
2025-07-07 13:04:55,760 kB/s
2025-07-07 13:04:56,774 kB/s
2025-07-07 13:04:57,788 kB/s
2025-07-07 13:04:58,801 kB/s
