"Time","image-filter-cfbfd9b5f-rvzhc"
2025-07-07 13:03:30,25.5 MiB
2025-07-07 13:03:31,25.5 MiB
2025-07-07 13:03:32,25.5 MiB
2025-07-07 13:03:33,25.5 MiB
2025-07-07 13:03:34,25.5 MiB
2025-07-07 13:03:35,25.5 MiB
2025-07-07 13:03:36,25.5 MiB
2025-07-07 13:03:37,25.5 MiB
2025-07-07 13:03:38,25.5 MiB
2025-07-07 13:03:39,25.6 MiB
2025-07-07 13:03:40,25.6 MiB
2025-07-07 13:03:41,25.6 MiB
2025-07-07 13:03:42,25.6 MiB
2025-07-07 13:03:43,25.6 MiB
2025-07-07 13:03:44,25.6 MiB
2025-07-07 13:03:45,25.6 MiB
2025-07-07 13:03:46,25.6 MiB
2025-07-07 13:03:47,25.6 MiB
2025-07-07 13:03:48,25.6 MiB
2025-07-07 13:03:49,25.6 MiB
2025-07-07 13:03:50,25.6 MiB
2025-07-07 13:03:51,25.6 MiB
2025-07-07 13:03:52,25.6 MiB
2025-07-07 13:03:53,25.6 MiB
2025-07-07 13:03:54,25.6 MiB
2025-07-07 13:03:55,25.6 MiB
2025-07-07 13:03:56,25.6 MiB
2025-07-07 13:03:57,25.6 MiB
2025-07-07 13:03:58,25.6 MiB
2025-07-07 13:03:59,25.6 MiB
2025-07-07 13:04:00,25.6 MiB
2025-07-07 13:04:01,25.6 MiB
2025-07-07 13:04:02,25.6 MiB
2025-07-07 13:04:03,25.6 MiB
2025-07-07 13:04:04,25.6 MiB
2025-07-07 13:04:05,25.6 MiB
2025-07-07 13:04:06,25.6 MiB
2025-07-07 13:04:07,25.6 MiB
2025-07-07 13:04:08,25.6 MiB
2025-07-07 13:04:09,25.6 MiB
2025-07-07 13:04:10,25.6 MiB
2025-07-07 13:04:11,25.6 MiB
2025-07-07 13:04:12,25.6 MiB
2025-07-07 13:04:13,25.6 MiB
2025-07-07 13:04:14,25.6 MiB
2025-07-07 13:04:15,25.6 MiB
2025-07-07 13:04:16,25.6 MiB
2025-07-07 13:04:17,25.6 MiB
2025-07-07 13:04:18,25.6 MiB
2025-07-07 13:04:19,25.6 MiB
2025-07-07 13:04:20,25.6 MiB
2025-07-07 13:04:21,25.6 MiB
2025-07-07 13:04:22,25.6 MiB
2025-07-07 13:04:23,25.6 MiB
2025-07-07 13:04:24,25.6 MiB
2025-07-07 13:04:25,25.6 MiB
2025-07-07 13:04:26,25.6 MiB
2025-07-07 13:04:27,25.6 MiB
2025-07-07 13:04:28,25.6 MiB
2025-07-07 13:04:29,25.6 MiB
2025-07-07 13:04:30,25.6 MiB
2025-07-07 13:04:31,25.7 MiB
2025-07-07 13:04:32,25.7 MiB
2025-07-07 13:04:33,25.7 MiB
2025-07-07 13:04:34,25.7 MiB
2025-07-07 13:04:35,25.7 MiB
2025-07-07 13:04:36,25.7 MiB
2025-07-07 13:04:37,25.7 MiB
2025-07-07 13:04:38,25.7 MiB
2025-07-07 13:04:39,25.7 MiB
2025-07-07 13:04:40,25.7 MiB
2025-07-07 13:04:41,25.7 MiB
2025-07-07 13:04:42,25.7 MiB
2025-07-07 13:04:43,25.7 MiB
2025-07-07 13:04:44,25.7 MiB
2025-07-07 13:04:45,25.7 MiB
2025-07-07 13:04:46,25.7 MiB
2025-07-07 13:04:47,25.7 MiB
2025-07-07 13:04:48,25.7 MiB
2025-07-07 13:04:49,25.7 MiB
2025-07-07 13:04:50,25.7 MiB
2025-07-07 13:04:51,25.7 MiB
2025-07-07 13:04:52,25.7 MiB
2025-07-07 13:04:53,25.7 MiB
2025-07-07 13:04:54,25.7 MiB
2025-07-07 13:04:55,25.7 MiB
2025-07-07 13:04:56,25.7 MiB
2025-07-07 13:04:57,25.7 MiB
2025-07-07 13:04:58,25.7 MiB
2025-07-07 13:04:59,25.7 MiB
2025-07-07 13:05:00,25.8 MiB
2025-07-07 13:05:01,25.8 MiB
2025-07-07 13:05:02,25.8 MiB
2025-07-07 13:05:03,25.8 MiB
2025-07-07 13:05:04,25.8 MiB
2025-07-07 13:05:05,25.8 MiB
2025-07-07 13:05:06,25.8 MiB
2025-07-07 13:05:07,25.8 MiB
2025-07-07 13:05:08,25.8 MiB
2025-07-07 13:05:09,25.8 MiB
2025-07-07 13:05:10,25.8 MiB
2025-07-07 13:05:11,25.8 MiB
2025-07-07 13:05:12,25.8 MiB
2025-07-07 13:05:13,25.8 MiB
2025-07-07 13:05:14,25.8 MiB
2025-07-07 13:05:15,25.8 MiB
2025-07-07 13:05:16,25.8 MiB
2025-07-07 13:05:17,25.8 MiB
2025-07-07 13:05:18,25.8 MiB
2025-07-07 13:05:19,25.8 MiB
2025-07-07 13:05:20,25.8 MiB
2025-07-07 13:05:21,25.8 MiB
2025-07-07 13:05:22,25.8 MiB
2025-07-07 13:05:23,25.8 MiB
2025-07-07 13:05:24,25.8 MiB
2025-07-07 13:05:25,25.8 MiB
2025-07-07 13:05:26,25.8 MiB
2025-07-07 13:05:27,25.8 MiB
2025-07-07 13:05:28,25.8 MiB
2025-07-07 13:05:29,25.8 MiB
2025-07-07 13:05:30,25.8 MiB
2025-07-07 13:05:31,25.8 MiB
2025-07-07 13:05:32,25.8 MiB
2025-07-07 13:05:33,25.9 MiB
2025-07-07 13:05:34,25.9 MiB
2025-07-07 13:05:35,25.9 MiB
2025-07-07 13:05:36,25.9 MiB
2025-07-07 13:05:37,25.9 MiB
2025-07-07 13:05:38,25.9 MiB
