"Time","image-stats-746c9bfb67-qjqbn"
2025-07-07 13:03:30,31.6 MiB
2025-07-07 13:03:31,31.6 MiB
2025-07-07 13:03:32,31.6 MiB
2025-07-07 13:03:33,31.6 MiB
2025-07-07 13:03:34,31.6 MiB
2025-07-07 13:03:35,31.6 MiB
2025-07-07 13:03:36,31.6 MiB
2025-07-07 13:03:37,31.6 MiB
2025-07-07 13:03:38,31.6 MiB
2025-07-07 13:03:39,31.6 MiB
2025-07-07 13:03:40,31.6 MiB
2025-07-07 13:03:41,31.6 MiB
2025-07-07 13:03:42,31.6 MiB
2025-07-07 13:03:43,31.6 MiB
2025-07-07 13:03:44,31.6 MiB
2025-07-07 13:03:45,31.6 MiB
2025-07-07 13:03:46,31.7 MiB
2025-07-07 13:03:47,31.7 MiB
2025-07-07 13:03:48,31.7 MiB
2025-07-07 13:03:49,31.7 MiB
2025-07-07 13:03:50,31.7 MiB
2025-07-07 13:03:51,31.7 MiB
2025-07-07 13:03:52,31.7 MiB
2025-07-07 13:03:53,31.7 MiB
2025-07-07 13:03:54,31.7 MiB
2025-07-07 13:03:55,31.7 MiB
2025-07-07 13:03:56,31.7 MiB
2025-07-07 13:03:57,31.7 MiB
2025-07-07 13:03:58,31.7 MiB
2025-07-07 13:03:59,31.7 MiB
2025-07-07 13:04:00,31.7 MiB
2025-07-07 13:04:01,31.7 MiB
2025-07-07 13:04:02,31.7 MiB
2025-07-07 13:04:03,31.7 MiB
2025-07-07 13:04:04,31.7 MiB
2025-07-07 13:04:05,31.7 MiB
2025-07-07 13:04:06,31.7 MiB
2025-07-07 13:04:07,31.7 MiB
2025-07-07 13:04:08,31.7 MiB
2025-07-07 13:04:09,31.7 MiB
2025-07-07 13:04:10,31.7 MiB
2025-07-07 13:04:11,31.7 MiB
2025-07-07 13:04:12,31.7 MiB
2025-07-07 13:04:13,31.7 MiB
2025-07-07 13:04:14,31.7 MiB
2025-07-07 13:04:15,31.7 MiB
2025-07-07 13:04:16,31.7 MiB
2025-07-07 13:04:17,31.7 MiB
2025-07-07 13:04:18,31.7 MiB
2025-07-07 13:04:19,31.8 MiB
2025-07-07 13:04:20,31.8 MiB
2025-07-07 13:04:21,31.8 MiB
2025-07-07 13:04:22,31.8 MiB
2025-07-07 13:04:23,31.8 MiB
2025-07-07 13:04:24,31.8 MiB
2025-07-07 13:04:25,31.8 MiB
2025-07-07 13:04:26,31.8 MiB
2025-07-07 13:04:27,31.8 MiB
2025-07-07 13:04:28,31.8 MiB
2025-07-07 13:04:29,31.8 MiB
2025-07-07 13:04:30,31.8 MiB
2025-07-07 13:04:31,31.8 MiB
2025-07-07 13:04:32,31.8 MiB
2025-07-07 13:04:33,31.8 MiB
2025-07-07 13:04:34,31.8 MiB
2025-07-07 13:04:35,31.8 MiB
2025-07-07 13:04:36,31.8 MiB
2025-07-07 13:04:37,31.8 MiB
2025-07-07 13:04:38,31.8 MiB
2025-07-07 13:04:39,31.8 MiB
2025-07-07 13:04:40,31.8 MiB
2025-07-07 13:04:41,31.8 MiB
2025-07-07 13:04:42,31.8 MiB
2025-07-07 13:04:43,31.8 MiB
2025-07-07 13:04:44,31.8 MiB
2025-07-07 13:04:45,31.8 MiB
2025-07-07 13:04:46,31.8 MiB
2025-07-07 13:04:47,31.8 MiB
2025-07-07 13:04:48,31.8 MiB
2025-07-07 13:04:49,31.8 MiB
2025-07-07 13:04:50,31.8 MiB
2025-07-07 13:04:51,31.8 MiB
2025-07-07 13:04:52,31.8 MiB
2025-07-07 13:04:53,31.8 MiB
2025-07-07 13:04:54,31.9 MiB
2025-07-07 13:04:55,31.9 MiB
2025-07-07 13:04:56,31.9 MiB
2025-07-07 13:04:57,31.9 MiB
2025-07-07 13:04:58,31.9 MiB
2025-07-07 13:04:59,31.9 MiB
2025-07-07 13:05:00,31.9 MiB
2025-07-07 13:05:01,31.9 MiB
2025-07-07 13:05:02,31.9 MiB
2025-07-07 13:05:03,31.9 MiB
2025-07-07 13:05:04,31.9 MiB
2025-07-07 13:05:05,31.9 MiB
2025-07-07 13:05:06,31.9 MiB
2025-07-07 13:05:07,31.9 MiB
2025-07-07 13:05:08,31.9 MiB
2025-07-07 13:05:09,31.9 MiB
2025-07-07 13:05:10,31.9 MiB
2025-07-07 13:05:11,31.9 MiB
2025-07-07 13:05:12,31.9 MiB
2025-07-07 13:05:13,31.9 MiB
2025-07-07 13:05:14,31.9 MiB
2025-07-07 13:05:15,31.9 MiB
2025-07-07 13:05:16,31.9 MiB
2025-07-07 13:05:17,31.9 MiB
2025-07-07 13:05:18,31.9 MiB
2025-07-07 13:05:19,31.9 MiB
2025-07-07 13:05:20,31.9 MiB
2025-07-07 13:05:21,31.9 MiB
2025-07-07 13:05:22,31.9 MiB
2025-07-07 13:05:23,31.9 MiB
2025-07-07 13:05:24,31.9 MiB
2025-07-07 13:05:25,31.9 MiB
2025-07-07 13:05:26,31.9 MiB
2025-07-07 13:05:27,31.9 MiB
2025-07-07 13:05:28,31.9 MiB
2025-07-07 13:05:29,31.9 MiB
2025-07-07 13:05:30,31.9 MiB
2025-07-07 13:05:31,32.0 MiB
2025-07-07 13:05:32,32.0 MiB
2025-07-07 13:05:33,32.0 MiB
2025-07-07 13:05:34,32.0 MiB
2025-07-07 13:05:35,32.0 MiB
2025-07-07 13:05:36,32.0 MiB
